"IR1","RED1","IR2","RED2","IR3","RED3","IR4","RED4"
1406,1813,34963,41210,155622,181187,149977,179350
1410,1805,34927,41158,155590,181094,151572,181015
1403,1802,34923,41156,155799,181260,172360,200685
1409,1807,34907,41155,155810,181254,174125,202173
1393,1811,34910,41153,155836,181259,175758,203557
1393,1794,34910,41153,155810,181312,185945,213162
1385,1794,34921,41224,155810,181312,185945,213162
1385,1794,34926,41138,155825,181356,187513,214697
1391,1831,34926,41138,155716,181340,195026,222709
1401,1805,34911,41210,155716,181340,195026,222709
1401,1805,34931,41145,155635,181272,196643,224464
1401,1894,34931,41145,155675,181212,205051,233606
1415,1810,34943,41185,155675,181212,205051,233606
1415,1810,34924,41134,155671,181232,205618,234369
1437,1767,34926,41152,155759,181292,209619,238430
1410,1822,34931,41132,155759,181292,209619,238430
1410,1822,34946,41148,155763,181325,211086,239804
1410,1858,34930,41135,155886,181435,213333,242241
1403,1818,34919,41116,155886,181435,213333,242241
1403,1818,34923,41129,155962,181447,214255,243066
1401,1862,34929,41132,156158,181706,223989,252918
1409,1814,34895,41085,156158,181706,223989,252918
1409,1814,34895,41085,156250,181775,225608,254662
1382,1808,34896,41137,156798,182368,229540,259043
1411,1814,34871,41079,156798,182368,229540,259043
1411,1814,34934,41103,156837,182401,231773,261191
1420,1880,34934,41103,156859,182391,242170,262143
1397,1821,34900,41104,156859,182391,242170,262143
1397,1821,34945,41106,156801,182342,243163,262143
1390,1822,34945,41106,156784,182198,242460,262143
1399,1823,34908,41111,156784,182198,242460,262143
1399,1823,34926,41115,156738,182184,241535,262143
1364,1817,34926,41115,156798,182190,242783,262143
1402,1814,34896,41129,156798,182190,242783,262143
1402,1814,34966,41180,156785,182228,242956,262143
1369,1807,34966,41180,156805,182141,245015,262143
1405,1813,35031,41145,156805,182141,245015,262143
1405,1813,34960,41158,156809,182145,245740,262143
1391,1816,34960,41158,156734,182161,248600,262143
1409,1822,35023,41120,156734,182161,248600,262143
1409,1822,34960,41130,156689,182167,248850,262143
1373,1807,34960,41130,156452,181908,256036,262143
1398,1817,34982,41111,156452,181908,256036,262143
1398,1817,35277,41442,156482,181934,257186,262143
1437,1795,35277,41442,156408,181830,259254,262143
1413,1816,35357,41463,156408,181830,259254,262143
1413,1816,35353,41530,156363,181737,259284,262143
1458,1755,35353,41530,156218,181549,259186,262143
1401,1822,35406,41469,156218,181549,259186,262143
1401,1822,35246,41409,156351,181624,259109,262143
1379,1811,35246,41409,156483,181869,253776,262143
1399,1821,35285,41360,156490,181852,252463,262143
1399,1821,35104,41285,156610,181951,252809,262143
1422,1813,35106,41277,156813,182186,253225,262143
1411,1809,35104,41272,156813,182186,254773,262143
1411,1809,35057,41243,156809,182205,254881,262143
1440,1801,35057,41243,156791,182205,252701,262143
1412,1807,35034,41230,156582,181984,252701,262143
1412,1807,35050,41219,156582,181984,252826,262143
1406,1825,35050,41219,156509,181960,255948,262143
1405,1819,35102,41176,156730,182048,255948,262143
1405,1819,35049,41255,156704,182027,256645,262143
1406,1884,35049,41255,156677,182004,258379,262143
1401,1815,35113,41225,156581,181899,258379,262143
1401,1815,35044,41215,156747,182011,258955,262143
1407,1804,35044,41215,156747,182011,260538,262143
1405,1805,35109,41180,156733,182012,260538,262143
1405,1805,35022,41188,156559,181849,260897,262143
1385,1801,35022,41188,156559,181849,262143,262143
1409,1816,34979,41192,156551,181842,262143,262143
1413,1803,35022,41184,156539,181794,262143,262143
1408,1807,35022,41184,156539,181794,262143,262143
1403,1821,35090,41147,156523,181799,262143,262143
1399,1811,35026,41189,156762,181980,262143,262143
1399,1811,35026,41189,156762,181980,261209,262143
1370,1810,35097,41164,156821,181931,261209,262143
1411,1825,35051,41218,156732,181987,260671,262143
1407,1820,35051,41218,156732,181987,260599,262143
1420,1800,35070,41202,156703,182004,260599,262143
1409,1821,35047,41198,156898,182153,260621,262143
1409,1821,35047,41198,156898,182153,261143,262143
1454,1770,35051,41269,156953,182142,261143,262143
1400,1810,35063,41205,157038,182314,260935,262143
1400,1810,35063,41205,157038,182314,257988,262143
1404,1781,35066,41192,157093,182324,257988,262143
1400,1807,35061,41203,157079,182317,256698,262143
1400,1807,35061,41203,157079,182317,257160,262143
1424,1801,35051,41183,157070,182318,257160,262143
1410,1813,35048,41194,157099,182227,257158,262143
1410,1813,35048,41194,157099,182227,254174,262143
1439,1757,35059,41279,157046,182177,254174,262143
1415,1811,35068,41234,156562,181590,252515,262143
1415,1811,35070,41304,156562,181590,246823,262143
1399,1867,35082,41254,156592,181586,246823,262143
1393,1823,35052,41214,156703,181732,246510,262143
1393,1823,35041,41214,156703,181732,244787,262143
1374,1823,35055,41214,156742,181761,244787,262143
1413,1818,35048,41195,156829,181809,243828,262143
1413,1818,35051,41173,156829,181809,246005,262143
1400,1861,35014,41192,156864,181904,246005,262143
1401,1800,35048,41187,157029,181918,247367,262143
1411,1820,35012,41168,156933,181839,247661,262143
1394,1820,34997,41167,156962,181857,247710,262143
1408,1811,35005,41154,156978,181903,247696,262143
1408,1805,34994,41151,157148,182124,249395,262143
1407,1799,35010,41141,157143,182104,249395,262143
1407,1815,35004,41158,156559,181460,249751,262143
1407,1815,35004,41158,156559,181460,251336,262143
1423,1772,34969,41154,156324,181242,251336,262143
1401,1818,35005,41145,156169,181048,251424,262143
1401,1818,35005,41145,156169,181048,251050,262143
1409,1802,34985,41157,156277,181219,251050,262143
1401,1803,35010,41156,156601,181525,250935,262143
1401,1803,35010,41156,156601,181525,251328,262143
1458,1783,35049,41117,156562,181492,251328,262143
1395,1806,35036,41179,156493,181285,251679,262143
1395,1806,35036,41179,156493,181285,250799,262143
1375,1805,35029,41169,156437,181247,250799,262143
1393,1811,35038,41171,156845,181541,250167,262143
1393,1811,35038,41171,156845,181541,247548,262143
1415,1797,35074,41144,156868,181596,247548,262143
1417,1813,35043,41155,157141,181862,247502,262143
1417,1813,35043,41155,157141,181862,246364,262143
1454,1762,35068,41164,157159,181922,246364,262143
1411,1821,35047,41161,157155,181938,245785,262143
1411,1821,35047,41161,157155,181938,243046,262143
1411,1802,35078,41121,157090,181939,243046,262143
1397,1816,35040,41158,156797,181493,243273,262143
1397,1816,35040,41158,156797,181493,243610,262143
1408,1801,35034,41200,156693,181407,243871,262143
1409,1805,35026,41163,156696,181457,244942,262143
1409,1805,35026,41163,156696,181457,244905,262143
1350,1823,35002,41142,156771,181443,244490,262143
1410,1812,35041,41152,156814,181657,244490,262143
1410,1812,35041,41152,156814,181657,244647,262143
1432,1813,35098,41131,156753,181677,245314,262143
1430,1812,35042,41136,156806,181688,245314,262143
1430,1812,35042,41136,156806,181688,245474,262143
1383,1819,35049,41109,156849,181700,246329,262143
1415,1817,35050,41128,156732,181562,246329,262143
1415,1817,35050,41128,156732,181562,246194,262143
1349,1821,35021,41132,156686,181532,245670,262143
1404,1819,35055,41143,156762,181546,245670,262143
1404,1819,35055,41143,156762,181546,245407,262143
1394,1812,35053,41171,156751,181549,244894,262143
1405,1805,35047,41161,156695,181483,244894,262143
1405,1805,35047,41161,156695,181483,244893,262143
1364,1804,35095,41107,156697,181449,244948,262143
1410,1826,35041,41127,156705,181440,245232,262143
1410,1826,35041,41127,156705,181440,246753,262143
1365,1830,35050,41146,156743,181523,246991,262143
1407,1818,35052,41133,157187,181934,244429,262143
1418,1811,35033,41132,157187,181934,244429,262143
1405,1830,35047,41113,157255,182007,244501,262143
1421,1823,35047,41113,157312,182057,243034,262143
1421,1823,35049,41196,157312,182057,243034,262143
1400,1773,35052,41129,157267,182006,242622,262143
1408,1815,35052,41129,156825,181526,243385,262143
1408,1815,35031,41134,156825,181526,243385,262143
1408,1799,35053,41139,156832,181442,243439,262143
1409,1802,35053,41139,156805,181469,244327,262143
1409,1802,35046,41175,156805,181469,244327,262143
1400,1886,35049,41146,156887,181600,244164,262143
1405,1802,35049,41146,157188,181903,244084,262143
1405,1802,35065,41162,157188,181903,244084,262143
1454,1796,35040,41120,157225,181920,244338,262143
1396,1819,35040,41120,157228,181960,245070,262143
1396,1819,35051,41096,157228,181960,245070,262143
1433,1797,35042,41120,157293,181951,245038,262143
1414,1813,35042,41120,157340,182054,243546,262143
1414,1813,35094,41108,157340,182054,243546,262143
1411,1758,35068,41150,157337,182089,243422,262143
1403,1807,35068,41150,157279,181925,241293,262143
1403,1807,35062,41114,157279,181925,241293,262143
1406,1778,35050,41126,157314,181869,240607,262143
1393,1802,35050,41126,157480,182078,240621,262143
1393,1802,35030,41189,157480,182078,240621,262143
1351,1812,35045,41119,157480,182105,240370,262143
1404,1809,35045,41119,157464,182033,240328,262143
1404,1809,35047,41187,157464,182033,240328,262143
1394,1819,35033,41100,157515,182126,240265,262143
1406,1814,35033,41100,157575,182199,239163,262143
1406,1814,35031,41079,157575,182199,239163,262143
1343,1805,35037,41115,157550,182208,238854,262143
1395,1803,35037,41115,157693,182362,239454,262143
1395,1803,35017,41159,157693,182362,239454,262143
1417,1788,35009,41090,157668,182347,239706,262143
1408,1814,35009,41090,157587,182166,239096,262143
1408,1814,35009,41157,157587,182166,239096,262143
1354,1804,34976,41095,157551,182187,238739,262143
1405,1817,35020,41100,157257,181768,237241,262143
1417,1809,35003,41076,157257,181768,237241,262143
1411,1867,35019,41094,157102,181638,237361,262143
1369,1806,35028,41101,157535,181963,237697,262143
1396,1809,35028,41101,157535,181963,237697,262143
1392,1817,35009,41115,157947,182485,238304,262143
1394,1815,35005,41082,158603,183300,239345,262143
1407,1806,35010,41081,158603,183300,239345,262143
1407,1806,35009,41064,158718,183471,239166,262143
1419,1790,34994,41074,159266,184032,238750,262143
1404,1813,34943,41069,159266,184032,238750,262143
1407,1797,34994,41062,159326,184120,238897,262143
1415,1804,34998,41060,159945,184533,238824,262143
1409,1801,34973,41065,159945,184533,238824,262143
1409,1801,34989,41090,159977,184552,238825,262143
1413,1869,34991,41061,160126,184680,239284,262143
1416,1806,34936,40995,160126,184680,239284,262143
1416,1806,34926,40983,160151,184714,239361,262143
1394,1826,34932,40971,160366,184849,239556,262143
1420,1813,34929,40978,160366,184849,239556,262143
1420,1813,34944,41034,160422,184923,239410,262143
1390,1872,34874,40963,160836,185393,239978,262143
1395,1793,34934,40963,160836,185393,239978,262143
1395,1793,34959,41017,160860,185495,240054,262143
1384,1812,34968,41027,161009,185665,240427,262143
1394,1805,34958,41031,161009,185665,240427,262143
1394,1805,34958,41031,160971,185636,240401,262143
1414,1882,34951,41036,161022,185707,240446,262143
1422,1821,34939,41012,161022,185707,240446,262143
1422,1821,34939,41012,161078,185707,240705,262143
1398,1826,34937,41032,161420,186125,240945,262143
1424,1816,34939,41011,161420,186125,240945,262143
1424,1816,34939,41011,161525,186178,241017,262143
1381,1805,34935,41028,161599,186235,241719,262143
1408,1811,34949,41000,161599,186235,241719,262143
1408,1811,34949,41000,161680,186231,241613,262143
1371,1818,34948,40994,162023,186683,242925,262143
1402,1814,34938,40990,162023,186683,242925,262143
1402,1814,34938,40990,162145,186758,243006,262143
1390,1807,34952,41038,162412,187045,243101,262143
1413,1817,34948,41002,162412,187045,243101,262143
1413,1817,34948,41002,162432,187002,242950,262143
1399,1820,34955,40947,162357,186873,242889,262143
1415,1822,34931,40976,162357,186873,242889,262143
1415,1822,34931,40976,162350,186857,243213,262143
1380,1815,34913,40984,162436,186870,247281,262143
1408,1815,34931,40980,162436,186870,247281,262143
1408,1815,34931,40980,162465,186813,247629,262143
1475,1761,34881,40960,162463,186910,247007,262143
1414,1805,34944,40979,162463,186910,247007,262143
1414,1805,34944,40979,162488,186982,247566,262143
1337,1798,34923,40974,162590,187151,251845,262143
1391,1798,34935,40963,162590,187151,251845,262143
1391,1798,34935,40963,162632,187222,252007,262143
1362,1810,34986,40925,162709,187274,249294,262143
1414,1810,34927,40979,162709,187274,249294,262143
1414,1810,34927,40979,162701,187275,247750,262143
1479,1786,35009,40940,162744,187211,246273,262143
1403,1810,34941,40988,162744,187211,246273,262143
1403,1810,34941,40988,162699,187167,246142,262143
1408,1783,34919,40982,162585,187002,244834,262143
1406,1805,34900,40949,162688,187103,247612,262143
1408,1814,34900,40949,162667,187097,247612,262143
1374,1812,34854,40949,162628,187054,248154,262143
1392,1802,34903,40936,162538,186909,249693,262143
1397,1794,34903,40936,162552,186940,249693,262143
1400,1816,34865,40944,162700,187101,250152,262143
1381,1812,34907,40932,162700,187101,254431,262143
1407,1809,34907,40932,162643,187074,254431,262143
1407,1809,34896,41008,162652,187036,255457,262143
1380,1793,34892,40936,162652,187036,257984,262143
1410,1816,34892,40936,162709,187079,257984,262143
1393,1805,34900,40991,162963,187326,257964,262143
1411,1859,34844,40875,162963,187326,257847,262143
1382,1815,34844,40875,162912,187285,257847,262143
1413,1807,34840,40856,162745,187001,258184,262143
1413,1807,34868,40882,162745,187001,259137,262143
1402,1800,34868,40882,162813,187060,259137,262143
1407,1807,34815,40861,163034,187381,259089,262143
1407,1807,34911,40905,163034,187381,261567,262143
1460,1770,34911,40905,163057,187443,261567,262143
1390,1790,34880,40925,162963,187386,261987,262143
1390,1790,34960,40970,162963,187386,262143,262143
1381,1786,34960,40970,162961,187396,262143,262143
1388,1799,35023,40930,162909,187393,262143,262143
1388,1799,34965,40968,162938,187400,262143,262143
1465,1748,34965,40968,162718,187275,262143,262143
1404,1797,34933,40947,162652,187217,262143,262143
1404,1797,34977,40984,162558,187150,262143,262143
1456,1768,34977,40984,162529,187097,262143,262143
1399,1808,35030,40934,162293,186872,262143,262143
1399,1808,35067,41046,162296,186857,262143,262143
1400,1825,35067,41046,162277,186868,262143,262143
1413,1807,35064,41099,162291,186861,262143,262143
1413,1807,35129,41123,162198,186802,262143,262143
1449,1751,35129,41123,162243,186803,262143,262143
1408,1805,35152,41069,162250,186822,262143,262143
1408,1805,35138,41108,162250,186822,262143,262143
1428,1762,35138,41108,162241,186808,262143,262143
1405,1802,35159,41137,162300,186826,262143,262143
1405,1802,35186,41152,162300,186826,262143,262143
1404,1842,35186,41152,162264,186847,262143,262143
1401,1793,35193,41155,162214,186711,262143,262143
1401,1793,35239,41184,162177,186698,262143,262143
1377,1809,35239,41184,162154,186615,262143,262143
1395,1795,35233,41255,161728,186105,262143,262143
1395,1795,35289,41261,161712,186071,262143,262143
1402,1863,35289,41261,161903,186262,262143,262143
1391,1817,35270,41277,161903,186262,262143,262143
1391,1817,35328,41303,161910,186318,262143,262143
1392,1861,35328,41303,161943,186355,262143,262143
1411,1822,35343,41363,161669,186177,262143,262143
1402,1810,35717,41694,161651,186168,262143,262143
1403,1801,35746,41712,161771,186390,262143,262143
1396,1797,35734,41687,161771,186390,262143,262143
1396,1797,35746,41732,161795,186398,259229,262143
1391,1812,35768,41724,161664,186396,259229,262143
1392,1790,35759,41723,161664,186396,257317,262143
1392,1790,35762,41719,161711,186380,254449,262143
1404,1875,35791,41730,161653,186272,254449,262143
1409,1803,35791,41730,161653,186272,253566,262143
1409,1803,35776,41735,161553,186188,246626,262143
1403,1810,35743,41695,161408,185946,246626,262143
1409,1788,35743,41695,161408,185946,244818,262143
1409,1788,35773,41636,161496,185928,239984,262143
1388,1822,35701,41660,161654,186146,239984,262143
1386,1799,35701,41660,161654,186146,240084,262143
1386,1799,35695,41653,161677,186182,238983,262143
1364,1795,35685,41641,161749,186225,238983,262143
1394,1811,35685,41641,161749,186225,238614,262143
1394,1811,35679,41653,161734,186139,240635,262143
1388,1807,35662,41636,161759,186148,240635,262143
1404,1809,35663,41637,161759,186148,241893,262143
1404,1809,35672,41634,161848,186148,245182,262143
1408,1868,35691,41635,161933,186420,245182,262143
1400,1812,35712,41681,161933,186420,244905,262143
