"X","Y","Z"
-0.1651,0.1581,-0.9488
-0.1651,0.1581,-0.9488
-0.1501,0.1581,-0.9478
-0.1321,0.1301,-0.9798
-0.1561,0.1301,-0.9758
-0.1581,0.1591,-0.9418
-0.1411,0.1701,-0.9498
-0.1361,0.1651,-0.9678
-0.1341,0.1611,-0.9878
-0.0991,0.1521,-0.9738
-0.045,0.1521,-0.9618
-0.048,0.1661,-0.9508
-0.0861,0.2132,-0.9658
-0.051,0.2302,-0.9748
0.02,0.2072,-0.9878
0.019,0.2102,-0.9928
-0.027,0.2382,-0.9748
-0.029,0.2882,-0.9938
0.015,0.3153,-1.0008
0.02,0.3283,-0.9638
0.0801,0.2142,-0.8917
0.1151,0.1902,-0.9498
0.1721,0.1771,-1.0118
0.1932,0.1952,-1.0298
0.2082,0.1801,-0.9968
0.2452,0.1511,-1.0358
0.2682,0.1201,-1.0849
0.2652,0.0951,-1.0889
0.2532,0.0731,-1.0569
0.2062,0.0851,-1.1089
0.1962,0.0681,-1.1159
0.2012,0.037,-1.1069
0.1942,0.002,-1.0699
0.1671,-0.03,-1.0609
0.1421,-0.061,-1.0819
0.1341,-0.0731,-1.0799
0.1341,-0.0731,-1.0549
0.1431,-0.1181,-1.0298
0.1481,-0.1511,-1.0418
0.1401,-0.1541,-1.0779
0.1291,-0.1761,-1.1179
0.1141,-0.2092,-1.1219
0.1181,-0.2462,-1.1509
0.0921,-0.2492,-1.1579
0.0961,-0.2732,-1.0939
0.0931,-0.2832,-1.0469
0.1091,-0.2802,-1.0208
0.0901,-0.2742,-1.0298
0.0781,-0.2672,-0.9868
0.0671,-0.2612,-1.0308
-0.053,-0.2742,-0.9728
-0.0661,-0.2612,-1.0098
-0.031,-0.2622,-1.0589
-0.0681,-0.2592,-1.0398
-0.1431,-0.2542,-0.9618
-0.1581,-0.2382,-0.9638
-0.1271,-0.2412,-0.9828
-0.1341,-0.2312,-0.9758
-0.1711,-0.1972,-0.9608
-0.1982,-0.1571,-0.9808
-0.2132,-0.1441,-0.9818
-0.2192,-0.1241,-0.9578
-0.1972,-0.1021,-0.9348
-0.1571,-0.0681,-0.9608
-0.1481,-0.031,-0.9418
-0.1661,-0.031,-0.9388
-0.2142,0.003,-0.9638
-0.2252,0.02,-0.9698
-0.2032,0.023,-1.0178
-0.1932,0.0641,-1.0048
-0.1932,0.0641,-1.0048
-0.1721,0.1381,-1.0348
