"X","Y","Z"
-0.2942,-0.058,-0.9358
-0.3303,-0.017,-0.9708
-0.3453,-0.033,-0.9498
-0.3153,-0.0631,-0.9458
-0.2992,-0.0861,-0.9298
-0.3263,-0.1251,-0.9067
-0.3283,-0.1211,-0.9017
-0.3103,-0.1311,-0.9288
-0.2892,-0.1161,-0.9408
-0.3022,-0.1141,-0.8897
-0.3413,-0.1141,-0.8947
-0.3483,-0.0871,-0.9268
-0.3463,-0.058,-0.9508
-0.3503,-0.0881,-0.9258
-0.3353,-0.1451,-0.9258
-0.2932,-0.1071,-1.0398
-0.3083,-0.041,-1.1009
-0.3603,-0.0671,-1.0218
-0.3873,-0.1621,-0.9037
-0.3153,-0.2912,-0.9057
-0.1992,-0.2682,-0.9768
-0.2612,-0.2062,-0.9468
-0.3673,-0.1511,-0.8527
-0.4314,-0.1962,-0.7816
-0.3533,-0.1471,-0.8327
-0.3533,-0.1471,-0.8327
-0.3763,-0.1181,-0.7806
-0.4604,-0.0861,-0.7316
-0.4604,-0.0861,-0.7706
-0.4404,-0.033,-0.7896
-0.4474,-0.0661,-0.7816
-0.3703,-0.1151,-0.7906
-0.3523,-0.1051,-0.8587
-0.4233,-0.054,-0.8697
-0.5004,-0.044,-0.8477
-0.4874,-0.044,-0.9137
-0.4123,-0.0721,-0.9177
-0.3953,-0.0951,-0.9127
-0.4003,-0.1231,-0.9017
-0.3553,-0.1171,-0.9077
-0.3353,-0.1231,-0.8657
-0.3313,-0.1271,-0.7906
-0.3343,-0.1071,-0.8087
-0.3573,-0.0691,-0.7906
-0.3773,-0.044,-0.8077
-0.3913,-0.017,-0.8277
-0.3563,-0.012,-0.8617
-0.3723,0.014,-0.8797
-0.3423,0.022,-0.8867
-0.3753,0.0881,-0.7736
-0.4324,-0.1231,-1.1559
-0.2702,-0.1731,-1.1459
-0.2182,-0.2062,-1.175
-0.2542,-0.2502,-1.1089
-0.2482,-0.2742,-1.0969
-0.2222,-0.2392,-1.0749
-0.2402,-0.1992,-0.9928
-0.2432,-0.1541,-1.0158
-0.2882,-0.0921,-1.0228
-0.3843,-0.057,-0.9207
-0.4243,-0.0871,-0.8787
-0.2852,-0.035,-0.9628
-0.2592,-0.002,-0.9558
-0.3603,-0.019,-0.8587
-0.4354,-0.027,-0.8117
-0.4584,-0.003,-0.8017
-0.4664,-0.021,-0.7656
-0.4624,-0.051,-0.6926
-0.4303,-0.1301,-0.6545
-0.3723,-0.1922,-0.6545
-0.3663,-0.2342,-0.6315
-0.3443,-0.2222,-0.5975
-0.3713,-0.1771,-0.5214
-0.3813,-0.1121,-0.4544
-0.2612,-0.0911,-0.4303
-0.2362,-0.0811,-0.2392
-0.1942,-0.0641,-0.1401
-0.2102,-0.018,-0.0991
-0.2142,0.01,-0.032
-0.1061,0.053,0.014
-0.001,0.059,0.1661
0.019,0.1061,0.3523
0.046,0.0821,0.3403
0.1541,0.0871,0.2132
0.2642,-0.014,0.2812
0.2692,-0.1441,0.4233
0.1171,-0.06,0.4464
-0.012,0.1561,0.1962
-0.016,0.3283,-0.0701
0.1351,0.2212,-0.0921
0.3803,0.023,0.027
0.5384,-0.1541,0.1741
0.6265,-0.06,-0.004
0.6295,0.3243,-0.4454
0.2872,0.2302,-0.2932
0.3333,-0.3633,-0.1561
