"X","Y","Z"
0.1501,-0.0791,-0.9718
0.1341,-0.0621,-0.9888
0.1561,-0.0781,-1.0318
0.1561,-0.0801,-1.0679
0.1381,-0.0991,-1.0208
0.1191,-0.1361,-0.9968
0.1111,-0.1421,-1.0028
0.1131,-0.1041,-1.0028
0.0881,-0.0701,-0.9888
0.0701,-0.0631,-0.9768
0.0961,-0.053,-0.9898
0.1131,-0.04,-1.0228
0.1071,-0.037,-1.0228
0.1011,-0.037,-1.0068
0.1141,-0.041,-1.0028
0.1371,-0.052,-1.0248
0.1361,-0.059,-1.0228
0.1191,-0.0661,-1.0048
0.1221,-0.0781,-0.9928
0.1421,-0.0861,-1.0028
0.1381,-0.0851,-0.9988
0.1111,-0.0771,-0.9878
0.1021,-0.0691,-0.9828
0.1201,-0.0731,-1.0028
0.1231,-0.0741,-1.0028
0.1141,-0.0621,-0.9798
0.0981,-0.049,-0.9628
0.1041,-0.043,-0.9738
0.1011,-0.04,-0.9958
0.0931,-0.042,-0.9908
0.1001,-0.05,-0.9828
0.1191,-0.053,-0.9868
0.1251,-0.053,-1.0058
0.1041,-0.046,-1.0038
0.0971,-0.04,-1.0008
0.1021,-0.037,-1.0068
0.1031,-0.035,-1.0078
0.0921,-0.02,-1.0018
0.0831,-0.009,-0.9978
0.0811,-0.002,-1.0068
0.0781,0.001,-1.0238
0.0691,0.005,-1.0138
0.0671,0.011,-0.9968
0.0771,0.009,-0.9988
0.0911,0.009,-0.9968
0.0921,0.01,-0.9908
0.0961,-0.002,-0.9838
0.0981,-0.008,-0.9868
0.1061,-0.012,-0.9958
0.1141,-0.023,-0.9898
0.1201,-0.1381,-1.0028
0.1191,-0.1431,-1.0188
0.1051,-0.1361,-1.0338
0.056,-0.1221,-1.0499
0.016,-0.1181,-1.0418
0.011,-0.1291,-1.0258
0.019,-0.1501,-1.0198
0.018,-0.1761,-0.9938
0.012,-0.1982,-0.9778
0.015,-0.2052,-0.9778
0.035,-0.2162,-0.9878
0.052,-0.2262,-1.0018
0.054,-0.2182,-1.0048
0.055,-0.2132,-1.0118
0.057,-0.1982,-1.0378
0.0691,-0.1902,-1.0428
0.0731,-0.1821,-1.0178
0.0691,-0.1751,-1.0198
0.0681,-0.1671,-1.0288
0.0881,-0.1691,-1.0308
0.0971,-0.1441,-1.0428
0.0771,-0.1151,-1.0458
0.0671,-0.0991,-1.0358
0.0871,-0.0971,-1.0328
0.0941,-0.0821,-1.0368
0.0751,-0.059,-1.0358
0.0671,-0.044,-0.9808
0.1021,-0.06,-0.9808
0.1021,-0.053,-0.9438
0.1211,-0.053,-0.9438
0.1051,-0.059,-0.9638
0.0831,-0.0681,-0.9638
0.0971,-0.0811,-0.9678
0.1211,-0.0861,-1.0018
0.1111,-0.0801,-1.0058
0.0911,-0.0801,-0.9778
0.0941,-0.0801,-0.9438
0.1251,-0.0781,-0.9308
0.1351,-0.0751,-0.9227
0.1061,-0.0821,-0.9107
0.0901,-0.0961,-0.9127
0.1091,-0.0931,-0.9448
0.1101,-0.0871,-0.9668
0.1001,-0.1161,-0.9468
0.1051,-0.1511,-0.9518
0.1191,-0.1721,-0.9868
0.1191,-0.1711,-1.0098
0.0841,-0.1711,-1.0168
0.057,-0.1791,-1.0298
0.0641,-0.1902,-1.0509
0.058,-0.058,-0.8407
0.0631,-0.06,-0.8797
0.1001,-0.0771,-0.9438
0.0781,-0.057,-0.9908
0.058,-0.048,-1.0358
0.1001,-0.055,-1.0939
0.1521,-0.0721,-1.1269
0.1571,-0.0891,-1.1089
0.1271,-0.0921,-1.0789
0.1201,-0.0951,-1.0989
0.1271,-0.1041,-1.1439
0.0951,-0.1011,-1.1549
0.051,-0.0781,-1.1279
0.058,-0.0621,-1.0959
0.0831,-0.0691,-1.0779
0.0831,-0.0691,-1.0779
0.0901,-0.1011,-1.0589
0.0861,-0.1091,-1.0298
0.1131,-0.0891,-0.9958
0.1181,-0.0791,-0.9157
0.1341,-0.0791,-0.9248
0.1501,-0.0741,-0.9428
0.1381,-0.025,-0.9478
0.1221,0.016,-0.9248
0.1761,0.024,-0.9227
0.2142,0.032,-0.9698
0.1872,0.034,-0.9938
0.1171,0.037,-1.0148
0.0741,0.037,-1.0569
0.0811,0.013,-1.0859
0.0951,-0.017,-1.0549
0.0661,-0.027,-1.0008
0.043,-0.029,-0.9588
0.0791,-0.033,-0.9358
0.1181,-0.037,-0.9458
0.1361,-0.039,-0.9278
0.1121,-0.007,-0.8867
0.1061,-0.019,-0.8117
0.2452,-0.1221,-0.8947
0.2812,-0.2302,-0.7856
0.2602,-0.2282,-0.7326
0.1781,-0.1511,-0.9197
0.0891,-0.0871,-1.0719
0.1121,-0.038,-1.1469
0.2042,-0.046,-1.1559
0.2022,-0.017,-1.1579
0.1591,0.004,-1.229
0.1922,-0.037,-1.241
0.2582,-0.0911,-1.195
0.2982,-0.1041,-1.0428
0.1201,-0.1992,-0.7606
0.0951,-0.1761,-1.0148
0.1251,-0.1771,-1.193
0.1711,-0.1241,-1.3711
0.1661,-0.1201,-1.4222
0.1541,-0.1361,-1.3841
0.2092,-0.1561,-1.3021
0.2662,-0.1611,-1.197
0.2122,-0.1491,-1.0509
0.1551,-0.1411,-0.8847
0.2422,-0.1261,-0.7586
0.2892,-0.0821,-0.7776
0.2742,-0.1711,-0.7036
0.1801,-0.1541,-0.7346
0.1311,-0.1721,-0.8447
