"X","Y","Z"
0.1091,0.05,-1.0328
0.0911,0.0941,-1.1189
0.0671,0.0971,-1.203
0.0681,0.0941,-1.21
0.0881,0.0691,-1.1319
0.1111,0.045,-1.0388
0.1151,0.033,-0.9708
0.0961,0.035,-0.9498
0.0831,0.043,-0.9528
0.0801,0.061,-0.9808
0.0771,0.0741,-0.9918
0.0631,0.0831,-0.9858
0.05,0.0811,-0.9878
0.061,0.0791,-1.0048
0.0661,0.0761,-1.0018
0.0621,0.0671,-0.9848
0.057,0.053,-0.9728
0.039,0.047,-0.9948
0.044,0.044,-1.0108
0.0621,0.038,-1.0108
0.053,0.032,-0.9898
0.04,0.031,-0.9918
0.047,0.031,-1.0228
0.061,0.016,-1.0378
0.054,-0.001,-1.0048
0.041,-0.007,-0.9818
0.046,-0.002,-0.9988
0.0621,0.003,-1.0068
0.0661,-0.005,-0.9978
0.06,0.004,-1.0058
0.061,0.015,-1.0308
0.0761,0.021,-1.0549
0.0881,0.022,-1.0529
0.0821,0.02,-1.0388
0.0701,0.024,-1.0318
0.0771,0.022,-1.0308
0.0871,0.002,-1.0258
0.0831,-0.013,-1.0098
0.0791,-0.023,-0.9968
0.0731,-0.021,-1.0108
0.0691,-0.021,-1.0168
0.058,-0.02,-1.0068
0.05,-0.022,-0.9948
0.043,-0.016,-0.9908
0.049,-0.012,-0.9918
0.056,-0.009,-0.9808
0.06,-0.001,-0.9718
0.061,0.014,-0.9698
0.0691,0.026,-0.9768
0.0761,0.04,-0.9878
0.0671,0.046,-0.9978
0.0651,0.045,-1.0148
0.054,0.049,-1.0188
0.058,0.039,-1.0018
0.0651,0.032,-0.9858
0.0691,0.023,-0.9928
0.059,0.027,-1.0018
0.041,0.027,-0.9968
0.037,0.02,-0.9918
0.059,0.018,-0.9868
0.061,0.022,-0.9688
0.052,0.02,-0.9568
0.058,0.013,-0.9718
0.0711,0.021,-0.9928
0.0831,0.016,-0.9938
0.0791,0.014,-0.9918
0.0731,0.015,-1.0048
0.0761,0.02,-1.0108
0.0781,0.026,-0.9918
0.0711,0.028,-1.0018
0.061,0.03,-1.0138
0.0631,0.03,-1.0238
0.0671,0.027,-1.0378
0.0661,0.014,-1.0278
0.0661,-0.007,-1.0068
0.0781,-0.021,-1.0048
0.0771,-0.026,-1.0098
0.0711,-0.027,-1.0108
0.0711,-0.038,-1.0218
0.0811,-0.044,-1.0499
