"X","Y","Z"
0.028,0.03,-0.9978
0.029,0.041,-1.0038
0.033,0.05,-1.0258
0.034,0.022,-1.0298
0.02,0.02,-0.9818
0.031,0.025,-1.0038
0.039,0.049,-1.0248
0.041,0.041,-1.0078
0.035,0.036,-0.9888
0.029,0.019,-0.9928
0.03,0.021,-0.9918
0.04,0.038,-0.9918
0.039,0.043,-0.9988
0.04,0.036,-1.0058
0.038,0.043,-1.0048
0.029,0.032,-0.9948
0.032,0.023,-1.0098
0.042,0.034,-1.0218
0.04,0.036,-1.0198
0.038,0.023,-1.0078
0.037,0.031,-0.9978
0.034,0.037,-0.9868
0.03,0.033,-0.9898
0.045,0.035,-1.0268
0.053,0.031,-1.0559
0.045,0.04,-1.0328
0.03,0.039,-0.9918
0.023,0.049,-0.9768
0.034,0.045,-0.9788
0.056,0.008,-1.0308
0.044,0.04,-1.0549
0.04,0.024,-1.0248
0.024,0.01,-0.9808
0.026,0.042,-0.9838
0.032,0.05,-0.9898
0.048,0.02,-1.0068
0.042,0.028,-1.0218
0.037,0.018,-1.0158
0.033,0.022,-1.0008
0.027,0.019,-0.9938
0.038,0.021,-1.0018
0.044,0.038,-1.0148
0.04,0.038,-1.0098
0.039,0.03,-1.0058
0.036,0.024,-1.0148
0.036,0.017,-1.0068
0.035,0.021,-0.9968
0.047,0.02,-1.0218
0.044,0.026,-1.0058
0.044,0.02,-0.9888
0.057,0.022,-1.0168
0.054,0.025,-1.0188
0.052,0.035,-1.0178
0.044,0.039,-1.0088
0.042,0.036,-1.0028
0.047,0.016,-1.0038
0.043,0.021,-1.0158
0.047,0.028,-1.0128
0.043,0.028,-0.9928
0.046,0.03,-0.9938
0.05,0.035,-1.0128
0.047,0.039,-1.0068
0.049,0.032,-1.0048
0.039,0.029,-1.0088
0.035,0.03,-1.0038
0.038,0.014,-1.0028
0.049,0.027,-1.0158
0.054,0.03,-1.0188
0.051,0.031,-1.0168
0.043,0.028,-0.9978
0.044,0.031,-1.0028
0.048,0.034,-0.9948
0.043,0.029,-0.9878
0.045,0.024,-0.9948
0.038,0.013,-0.9918
0.042,0.017,-1.0018
0.034,0.024,-0.9938
0.035,0.028,-0.9868
0.048,0.021,-1.0128
0.059,0.026,-1.0398
0.052,0.035,-1.0358
0.044,0.038,-0.9968
0.048,0.029,-0.9838
0.052,0.035,-1.0098
0.051,0.036,-1.0238
0.045,0.022,-1.0178
0.034,0.033,-0.9968
0.038,0.032,-1.0128
0.034,0.023,-1.0138
0.029,0.009,-1.0148
0.034,0.009,-1.0218
0.037,0.025,-1.0248
0.04,0.048,-1.0058
0.033,0.051,-0.9878
0.037,0.041,-0.9938
0.048,0.038,-1.0198
0.046,0.046,-1.0228
0.037,0.038,-1.0088
0.029,0.032,-0.9938
0.038,0.026,-1.0108
0.038,0.03,-1.0078
0.031,0.025,-0.9968
0.04,0.046,-1.0018
0.048,0.05,-1.0038
0.046,0.042,-0.9898
0.048,0.021,-1.0028
0.051,0.026,-1.0278
0.044,0.051,-1.0118
0.037,0.045,-1.0008
0.041,0.041,-1.0138
0.043,0.049,-1.0128
0.035,0.058,-0.9988
0.038,0.027,-1.0188
0.042,0.014,-1.0318
0.028,0.033,-0.9968
0.02,0.037,-0.9798
0.035,0.036,-0.9948
0.042,0.038,-0.9998
0.034,0.027,-0.9968
0.046,0.025,-1.0148
0.047,0.039,-1.0068
0.048,0.039,-0.9918
0.056,0.032,-1.0068
0.0621,0.04,-1.0218
0.055,0.044,-0.9978
0.049,0.04,-0.9808
0.055,0.025,-0.9878
0.054,0.035,-0.9868
0.054,0.04,-0.9728
0.058,0.045,-0.9728
0.0671,0.045,-1.0178
0.06,0.049,-1.0198
0.059,0.045,-1.0108
0.058,0.044,-1.0118
0.053,0.044,-1.0028
0.048,0.03,-0.9858
0.06,0.013,-1.0158
0.052,0.024,-1.0208
0.054,0.031,-1.0128
0.046,0.033,-1.0108
0.048,0.032,-1.0108
0.054,0.041,-1.0078
0.056,0.039,-1.0038
0.058,0.033,-1.0188
0.05,0.035,-1.0208
0.047,0.036,-1.0248
0.048,0.018,-1.0328
0.052,0.019,-1.0278
0.056,0.039,-1.0078
0.054,0.0661,-0.9838
0.031,0.01,-1.0338
0.035,0.042,-0.9778
0.053,0.05,-0.9828
0.061,0.0721,-0.9808
0.0631,0.0831,-0.9658
0.0651,0.0731,-0.9648
0.0711,0.0801,-0.9758
0.0671,0.1091,-0.9708
0.0721,0.1091,-0.9968
0.0711,0.0971,-1.0198
0.059,0.0721,-1.0048
0.03,0.029,-0.9778
0.028,0.033,-0.9848
0.021,0.042,-0.9858
0.024,0.032,-0.9908
0.036,0.029,-1.0098
0.023,0.027,-1.0058
0.042,0.033,-1.0168
0.052,0.037,-1.0198
0.0661,0.041,-1.0198
0.0771,0.049,-1.0038
0.0841,0.06,-0.9908
0.0911,0.0691,-0.9918
0.0971,0.0751,-1.0058
0.0871,0.0741,-0.9938
0.0781,0.0681,-0.9808
0.0671,0.049,-0.9938
0.0731,0.035,-1.0258
0.047,0.03,-1.0048
0.025,0.02,-0.9788
0.027,0.014,-0.9828
0.032,0.027,-1.0018
0.049,0.042,-1.0058
0.048,0.034,-1.0018
0.06,0.027,-1.0148
0.047,0.031,-0.9848
0.041,0.031,-0.9678
0.04,-0.002,-0.9788
0.049,-0.025,-1.0428
0.055,-0.003,-1.0739
0.038,0.004,-1.0699
0.038,0.004,-1.0699
0.048,-0.019,-1.1319
0.0831,-0.012,-1.283
0.1371,-0.019,-1.4982
0.1421,-0.0801,-1.7444
0.0981,-0.1301,-1.8925
0.016,-0.1741,-1.9666
-0.0991,-0.2742,-2.0036
-0.041,-0.3723,-2.0226
-0.5354,-0.6265,-0.0681
-0.5925,-0.5004,0.1511
-0.1221,-0.2932,-0.056
0.0741,-0.05,0.021
0.1521,0.1391,0.4083
-0.1391,0.2952,0.7546
-0.1231,-0.1091,0.8297
-0.2192,-0.2952,0.7466
-0.0881,-0.1331,0.4223
-0.023,-0.013,-0.1221
0.022,0.1111,-0.4724
0.1111,0.1391,-0.5625
0.1251,0.1821,-0.6085
0.2062,0.3133,-0.8007
0.3143,0.2802,-0.9428
0.2372,0.2512,-0.7956
0.1631,0.2792,-0.8027
0.1831,0.2272,-0.9648
0.2052,0.2072,-1.0298
0.0881,0.2682,-0.9308
0.0641,0.2542,-0.9207
-0.045,0.1361,-0.8087
-0.1201,0.0841,-0.7476
-0.053,0.1521,-0.8807
0.0731,0.2142,-1.0719
0.1611,0.1942,-1.1449
0.1001,0.1191,-1.0368
0.051,0.0781,-0.9598
0.0621,0.0621,-1.0629
0.0991,0.046,-1.1069
0.0771,0.027,-1.0879
0.1081,0.045,-1.0188
0.021,0.0661,-0.9868
0.1061,0.016,-1.0398
0.055,0.021,-1.0128
0.055,0.0731,-0.9998
0.046,0.041,-0.9428
0.058,0.042,-0.9568
0.0801,0.045,-1.0208
0.1331,0.0731,-1.0689
0.1051,0.0911,-1.0058
0.041,0.059,-0.9187
0.0841,0.052,-0.9948
0.1301,0.051,-1.0599
0.1341,0.0641,-1.0469
0.0841,0.0661,-0.9818
0.0761,0.02,-1.0328
0.1361,-0.006,-1.1479
0.1111,0.029,-1.0579
0.024,0.0641,-0.9418
