"X","Y","Z"
-0.2452,-0.0851,-1.1029
-0.3042,-0.054,-1.1009
-0.2792,0.0651,-1.193
-0.3463,0.1551,-1.226
-0.3833,0.2102,-1.286
-0.4033,0.2362,-1.3121
-0.4233,0.1932,-1.27
-0.4253,0.1221,-1.203
-0.3593,0.003,-1.182
-0.4093,-0.1581,-1.0749
-0.3533,-0.2542,-1.0889
-0.1651,-0.2562,-1.176
-0.0931,-0.2452,-1.3161
-0.0941,-0.0951,-1.3901
0.008,-0.0651,-1.4682
0.052,0.002,-1.5282
0.052,-0.0991,-1.3471
0.0961,-0.2142,-1.1119
0.2532,-0.3123,-0.9087
0.3423,-0.3813,-0.7796
0.3583,-0.4454,-0.6725
0.3613,-0.5424,-0.5534
0.3913,-0.5715,-0.4614
0.4163,-0.5705,-0.4203
0.3953,-0.5234,-0.4123
0.3463,-0.5304,-0.3463
0.2862,-0.5945,-0.3052
0.1331,-0.7386,-0.2402
0.05,-0.8017,-0.3163
0.039,-0.7286,-0.4934
0.055,-0.5855,-0.6435
0.0631,-0.4334,-0.7386
0.029,-0.4484,-0.7086
0.019,-0.5454,-0.6405
0.042,-0.6025,-0.6525
-0.0621,-0.6655,-0.7046
-0.1691,-0.7066,-0.7056
-0.2802,-0.7126,-0.7176
-0.3913,-0.6415,-0.7786
-0.5304,-0.6145,-0.8367
-0.6966,-0.6315,-1.0308
-0.8637,-0.4584,-1.24
-0.8747,-0.3303,-1.4392
-0.8677,-0.2342,-1.4011
-0.8677,-0.2342,-1.4011
-0.8097,-0.1131,-1.4091
-0.7526,-0.0661,-1.3361
-0.6826,-0.045,-1.268
-0.5625,-0.017,-1.1489
-0.4374,0.0661,-1.0709
-0.01,0.0671,-0.9418
0.022,0.026,-0.9167
0.053,-0.1171,-0.8927
0.0921,-0.2502,-0.9077
0.1081,-0.2942,-0.9197
0.1411,-0.2932,-0.9057
0.1942,-0.2972,-0.8807
0.3223,-0.3483,-0.8907
0.3453,-0.3853,-0.8687
0.3473,-0.4404,-0.8327
0.4043,-0.5074,-0.7456
0.4844,-0.6025,-0.6926
0.5124,-0.7316,-0.5524
0.5394,-0.9358,-0.3143
0.5915,-1.0729,-0.2252
0.5835,-1.0969,-0.2232
0.4283,-1.1479,-0.2422
0.3323,-1.1239,-0.3153
0.5474,-1.1609,-0.4083
0.3403,-1.0479,-0.3543
-0.051,-0.9968,-0.3493
-0.2862,-0.9328,-0.4013
-0.4494,-0.7476,-0.4954
-0.4444,-0.5685,-0.5825
-0.4714,-0.4093,-0.6966
-0.5314,-0.3223,-0.7536
-0.5605,-0.2412,-0.7576
-0.5575,-0.1661,-0.7856
-0.5835,-0.0991,-0.8007
-0.6325,-0.004,-0.8337
-0.6826,0.02,-0.8287
-0.6986,0.046,-0.8167
-0.6745,0.06,-0.8127
-0.6245,0.053,-0.8187
-0.5785,0.0811,-0.8637
-0.6065,0.053,-0.9107
-0.6065,0.053,-0.9107
-0.6375,0.1531,-1.0619
-0.7126,0.1411,-1.0559
-0.7456,0.0921,-1.0228
-0.6375,-0.009,-0.9318
-0.5164,-0.1261,-0.8817
-0.1011,-0.3183,-0.9968
-0.2002,-0.3123,-1.0138
-0.2622,-0.3323,-0.9318
-0.2942,-0.3743,-0.9057
-0.2692,-0.4944,-0.7906
-0.1992,-0.5384,-0.7736
-0.0621,-0.5474,-0.7976
-0.005,-0.5605,-0.8477
0.1341,0.047,-1.287
0.0981,0.1051,-1.3471
0.029,0.0921,-1.288
-0.009,0.0991,-1.203
-0.031,0.1191,-1.171
-0.0651,0.1101,-1.1399
-0.047,0.0991,-1.1259
-0.056,0.06,-1.174
-0.1641,-0.027,-1.1569
-0.2212,-0.1441,-1.0959
-0.2662,-0.2492,-1.0188
-0.2982,-0.3042,-0.9568
-0.2242,-0.3513,-0.9087
-0.1841,-0.4173,-0.8697
-0.1591,-0.4774,-0.8357
-0.1591,-0.4774,-0.8357
-0.1461,-0.5034,-0.8217
-0.1631,-0.5424,-0.7816
-0.1872,-0.6575,-0.6675
-0.1872,-0.6575,-0.6675
-0.1671,-0.6926,-0.6405
-0.0701,-0.6705,-0.6625
-0.035,-0.6195,-0.7266
-0.011,-0.5224,-0.8157
0.048,-0.3833,-0.9207
0.028,-0.2362,-0.9888
0.056,-0.2112,-1.0869
0.023,-0.1611,-1.2
-0.1141,-0.1541,-1.277
-0.1781,-0.1821,-1.1689
-0.2062,-0.2882,-0.9348
-0.1411,-0.4283,-0.7316
-0.0921,-0.5795,-0.5825
-0.0701,-0.7026,-0.5124
-0.0781,-0.7546,-0.5064
-0.1111,-0.7346,-0.5424
-0.1321,-0.6946,-0.5715
-0.0831,-0.6255,-0.6335
-0.011,-0.5545,-0.7316
-0.042,-0.4734,-0.8387
-0.1581,-0.4344,-0.9107
-0.2822,-0.5204,-0.8317
-0.5044,-0.5955,-1.0729
-0.3963,-0.5905,-1.1489
-0.2472,-0.4634,-1.203
-0.1071,-0.3153,-1.273
-0.037,-0.2602,-1.215
-0.05,-0.2022,-1.246
0.031,-0.1852,-1.223
-0.046,-0.1031,-1.244
0.0881,-0.4344,-0.8447
0.1221,-0.5284,-0.7726
0.1791,-0.5524,-0.7796
0.2172,-0.5805,-0.7476
0.1711,-0.5745,-0.7206
0.2162,-0.5785,-0.6405
0.1781,-0.5715,-0.5715
0.2382,-0.5124,-0.6405
0.2262,-0.3953,-0.7566
0.1671,-0.2842,-0.9358
0.0941,-0.2102,-1.1299
0.1101,-0.1361,-1.291
0.041,-0.1161,-1.3481
-0.033,-0.1491,-1.276
-0.038,-0.2722,-1.0378
-0.0781,-0.4864,-0.8587
-0.0951,-0.7166,-0.7656
-0.1401,-0.8197,-0.7736
-0.1541,-0.8637,-0.8117
-0.1041,-0.8617,-0.7846
-0.0751,-0.8107,-0.7506
-0.1131,-0.7236,-0.7436
-0.1491,-0.5304,-0.8537
-0.1992,-0.3593,-1.0278
-0.2762,-0.2222,-1.185
-0.3833,-0.1621,-1.207
-0.3813,-0.1571,-1.278
-0.3953,-0.1561,-1.3051
-0.4544,-0.2372,-1.252
-0.5214,-0.2832,-1.0929
-0.5294,-0.2642,-0.9308
-0.5064,-0.3012,-0.7646
-0.4394,-0.4223,-0.6345
-0.3943,-0.5454,-0.5314
-0.3893,-0.5895,-0.4964
-0.4644,-0.6225,-0.4464
-0.4364,-0.5845,-0.4394
-0.3913,-0.5264,-0.4303
-0.3753,-0.4894,-0.4243
-0.3423,-0.4534,-0.4684
-0.2652,-0.2962,-0.5354
-0.1301,-0.1051,-0.8077
-0.1701,0.1031,-1.0949
-0.3243,0.2022,-1.3251
-0.4173,0.1661,-1.3011
-0.4093,0.053,-1.0679
-0.2572,-0.1751,-0.8937
-0.1101,-0.4474,-0.7446
-0.048,-0.6105,-0.6595
-0.0691,-0.6986,-0.6575
0.1922,-0.5504,-0.8067
0.1381,-0.3843,-0.9988
-0.024,-0.2522,-1.176
-0.1501,-0.1061,-1.264
-0.0751,-0.003,-1.3141
0.1421,0.1061,-1.3031
0.2632,0.1831,-1.285
0.2942,0.2342,-1.223
0.2692,0.2412,-1.3421
0.2112,0.2332,-1.4652
0.1581,0.2382,-1.3681
0.1481,0.1061,-1.1129
0.1952,-0.1451,-0.8847
0.3103,-0.3773,-0.7456
0.2942,-0.5104,-0.6525
0.2692,-0.5314,-0.7026
0.2322,-0.5334,-0.7526
0.1411,-0.5494,-0.7686
0.047,-0.6075,-0.7096
0.005,-0.6245,-0.6625
0.003,-0.5675,-0.6155
0.03,-0.4694,-0.6545
0.03,-0.4694,-0.6545
0.034,-0.2712,-0.7506
-0.029,-0.0711,-0.9107
-0.1892,0.0911,-1.0799
-0.1892,0.2542,-1.22
-0.3012,0.2732,-1.3471
-0.4173,0.2832,-1.3481
-0.4464,0.2792,-1.3271
-0.4053,0.2612,-1.3431
-0.4694,0.2462,-1.21
-0.5785,0.2112,-1.0398
-0.5975,0.028,-0.8947
-0.5164,-0.1101,-0.7886
-0.4303,-0.3163,-0.6135
-0.3373,-0.5344,-0.4834
-0.2672,-0.6966,-0.4193
-0.2642,-0.8197,-0.3913
-0.2382,-0.8197,-0.4043
-0.2172,-0.7906,-0.4314
-0.1621,-0.7206,-0.4684
-0.039,-0.6155,-0.5004
0.0701,-0.4484,-0.5504
0.1211,-0.2252,-0.6856
0.0681,-0.016,-0.9708
-0.0801,0.1461,-1.193
-0.1841,0.2002,-1.3031
-0.1511,0.2062,-1.4101
0.2042,0.0931,-1.4772
