IR,RED,X,Y,Z,HR,RR,SPO2,Error Rate
228235.0,209164.0,-0.004,-0.8517,-0.5144,44.48356583034713,14.389421514956203,97.26956597377152,0.023333333333333317
228276.0,209169.0,-0.002,-0.8507,-0.5144,39.9220904904147,15.956023249899925,93.72125398434811,
228307.0,209181.0,-0.008,-0.8457,-0.5154,67.32469408325102,16.071026908970403,96.41326116817059,
228390.0,209182.0,-0.012,-0.8357,-0.5134,51.891216251355175,15.839570561874961,90.73910203592632,
228399.0,209216.0,-0.007,-0.8517,-0.5114,61.20810871376101,13.004468209880153,96.2433678428239,
228430.0,209292.0,-0.01,-0.8507,-0.5114,70.19580839328705,15.296199353397137,90.25959960002534,
228450.0,209329.0,-0.009,-0.8547,-0.5154,62.97362166154214,16.269984660807147,91.19440057308506,
228440.0,209220.0,-0.006,-0.8507,-0.5144,71.39712466134128,15.098621686595061,92.9487180072287,
228425.0,209304.0,-0.004,-0.8457,-0.5094,60.66454921123004,15.498745283209416,95.25023984036224,
228484.0,209330.0,-0.004,-0.8467,-0.5154,62.5027392655331,14.198486832682942,94.92343899350233,
228477.0,209257.0,-0.004,-0.8567,-0.5094,66.42888557288433,15.693961193017136,92.63702670360897,
228470.0,209316.0,-0.002,-0.8587,-0.5134,64.8926312118865,12.390539320137654,96.32846966920526,
228500.0,209261.0,-0.002,-0.8557,-0.5134,68.65758534233996,15.092037633509898,96.24180863071106,
228452.0,209276.0,-0.002,-0.8507,-0.5104,61.96757346885877,15.200929262965508,97.84101290023222,
228461.0,209294.0,-0.003,-0.8507,-0.5044,55.94756659605529,15.461542515520417,91.15689848704669,
228487.0,209237.0,-0.005,-0.8517,-0.5084,61.60856418014439,,96.63502746538052,
228528.0,209287.0,-0.004,-0.8547,-0.5074,58.04552754369288,,96.87207416985098,
228569.0,209230.0,-0.006,-0.8607,-0.5064,67.24408498371315,,96.85345877105404,
228595.0,209356.0,-0.004,-0.8627,-0.5054,53.066947408612485,,93.06832476776594,
228609.0,209354.0,-0.003,-0.8637,-0.5054,62.80489918447968,,98.29477493665534,
228646.0,209307.0,-0.003,-0.8617,-0.5094,46.276756144585754,,96.30853877264208,
228619.0,209313.0,-0.005,-0.8537,-0.5054,50.99361100988118,,90.40005765929106,
228534.0,209258.0,-0.007,-0.8427,-0.5024,58.05102089326156,,99.2091056211012,
228410.0,209227.0,-0.006,-0.8457,-0.5074,53.38985956631217,,97.31469204587005,
228191.0,209168.0,-0.006,-0.8467,-0.5054,60.118505535504674,,98.71629581552281,
228121.0,209096.0,-0.01,-0.8497,-0.5084,62.66190179494513,,91.53472958971622,
228082.0,209097.0,-0.009,-0.8497,-0.5144,64.13142012371831,,97.74152839478005,
228096.0,209129.0,-0.006,-0.8457,-0.5064,62.51527315617905,,96.16730531205162,
228167.0,209152.0,-0.006,-0.8487,-0.5084,51.3603831737487,,97.76993573002935,
228173.0,209087.0,-0.004,-0.8527,-0.5064,55.819441630077485,,97.55878272485901,
228223.0,209114.0,-0.004,-0.8527,-0.5064,64.1263678203185,,98.73964059587644,
228224.0,209169.0,-0.003,-0.8547,-0.5024,62.70461113902354,,98.09009371142035,
228253.0,209105.0,-0.001,-0.8537,-0.5014,62.882468605814346,,97.04884851157537,
228288.0,209167.0,-0.004,-0.8507,-0.4994,68.27854726427968,,97.5473525817383,
228304.0,209149.0,-0.006,-0.8537,-0.5064,63.31801352365907,,98.58763973629436,
228350.0,209200.0,-0.007,-0.8507,-0.5044,55.9718600238895,,95.7740905086867,
228383.0,209155.0,-0.006,-0.8497,-0.5044,58.56700110410124,,96.1327925233943,
228364.0,209269.0,-0.006,-0.8497,-0.5044,56.95983332594869,,94.04894481034357,
228383.0,209171.0,-0.009,-0.8457,-0.5014,59.03456048466849,,96.28639796819601,
228367.0,209244.0,-0.004,-0.8437,-0.5044,66.0372121217095,,97.71320441219011,
228376.0,209222.0,-0.012,-0.8467,-0.5054,55.55415858019361,,97.10401291587814,
228380.0,209210.0,-0.009,-0.8507,-0.5114,58.92221242977435,,96.88792633706598,
228394.0,209201.0,-0.006,-0.8547,-0.5084,61.22708806819884,,97.75143219954728,
228413.0,209205.0,-0.005,-0.8497,-0.5084,52.3523084197807,,98.08160301219077,
228421.0,209261.0,-0.003,-0.8447,-0.5084,60.01846531759891,,95.71712780041746,
228483.0,209295.0,0.0,-0.8397,-0.5114,50.911429390551305,,96.05431846543175,
228483.0,209219.0,0.0,-0.8437,-0.5114,53.59312262760117,,93.43817513003808,
228507.0,209260.0,-0.007,-0.8497,-0.5094,47.34095497166451,,98.28587424486774,
228527.0,209303.0,-0.008,-0.8537,-0.5084,53.04249133898418,,98.20780824515457,
