"TIME","IR","RED","X","Y","Z"
1511642221755,231433,216130,0.3123,-0.5945,-0.7436
1511642221775,231497,216122,0.3173,-0.5935,-0.7456
1511642221794,231502,216083,0.3203,-0.5845,-0.7326
1511642221814,231506,216117,0.3233,-0.5745,-0.7176
1511642221835,231545,216156,0.3163,-0.5815,-0.7136
1511642221854,231547,216082,0.3253,-0.5945,-0.7256
1511642221874,231594,216188,0.3253,-0.6105,-0.7336
1511642221895,231608,216193,0.3263,-0.6175,-0.7266
1511642221915,231680,216221,0.3283,-0.6235,-0.7286
1511642221934,231734,216165,0.3263,-0.6295,-0.7286
1511642221955,231688,216232,0.3293,-0.6245,-0.7146
1511642221974,231662,216120,0.3273,-0.6195,-0.7116
1511642221995,231434,216035,0.3253,-0.6245,-0.7076
1511642222015,231304,216049,0.3223,-0.6115,-0.7006
1511642222035,231241,216056,0.3283,-0.6165,-0.7076
1511642222055,231226,216041,0.3323,-0.6235,-0.7176
1511642222075,231192,215972,0.3353,-0.6215,-0.7186
1511642222095,231260,216014,0.3363,-0.6305,-0.7146
1511642222115,231305,216025,0.3343,-0.6285,-0.7096
1511642222134,231377,216008,0.3363,-0.6265,-0.7066
1511642222155,231410,215988,0.3393,-0.6315,-0.7066
1511642222175,231434,216049,0.3353,-0.6345,-0.7056
1511642222196,231497,216088,0.3373,-0.6465,-0.7316
1511642222215,231605,216110,0.3573,-0.6605,-0.7406
1511642222235,231625,216082,0.3543,-0.6575,-0.7376
1511642222255,231567,216097,0.3493,-0.6425,-0.7186
1511642222275,231535,216075,0.3263,-0.6405,-0.7186
1511642222296,231505,216159,0.3103,-0.6495,-0.7506
1511642222315,231476,216060,0.3233,-0.6395,-0.7466
1511642222335,231449,216055,0.3313,-0.6285,-0.7206
1511642222356,231495,216125,0.3253,-0.6255,-0.7146
1511642222376,231512,216087,0.2842,-0.6305,-0.7196
1511642222396,231533,216145,0.2492,-0.6265,-0.7486
1511642222416,231542,216153,0.2252,-0.6385,-0.7686
1511642222436,231612,216156,0.2172,-0.6335,-0.7656
1511642222456,231651,216188,0.2162,-0.6185,-0.7496
1511642222476,231667,216142,0.2092,-0.6155,-0.7366
1511642222496,231764,216219,0.1912,-0.6085,-0.7386
1511642222516,231769,216201,0.2042,-0.5955,-0.7306
1511642222536,231830,216256,0.2182,-0.5665,-0.6996
1511642222556,231739,216139,0.2212,-0.5785,-0.6896
1511642222576,231520,216051,0.2402,-0.5875,-0.6946
1511642222596,231344,216011,0.2542,-0.5885,-0.7106
1511642222616,231215,216061,0.2742,-0.5685,-0.6906
1511642222636,231197,215957,0.3002,-0.5665,-0.6876
1511642222656,231242,216075,0.3123,-0.5675,-0.6715
1511642222676,231287,215989,0.3333,-0.5765,-0.6786
1511642222697,231341,216098,0.3553,-0.5805,-0.6846
1511642222716,231345,216027,0.3653,-0.5725,-0.6475
1511642222737,231436,216120,0.3643,-0.5575,-0.6235
1511642222887,231335,216032,0.4093,-0.6425,-0.6035
1511642222906,231356,216030,0.4303,-0.6605,-0.6155
1511642222927,231344,216037,0.4394,-0.6886,-0.6395
1511642222947,231348,216061,0.4444,-0.7046,-0.6605
1511642222967,231331,216020,0.4374,-0.7286,-0.6755
1511642222987,231422,216091,0.4474,-0.7476,-0.6976
1511642223007,231415,216093,0.4654,-0.7396,-0.6776
1511642223027,231405,216044,0.4704,-0.7416,-0.6545
1511642223047,231424,216125,0.4794,-0.7366,-0.6415
1511642223066,231497,216069,0.4854,-0.7226,-0.6145
1511642223087,231441,216128,0.4864,-0.7276,-0.6085
1511642223107,231589,216062,0.4814,-0.7256,-0.6025
1511642223127,231570,216078,0.4794,-0.7186,-0.5975
1511642223147,231525,216014,0.4774,-0.7046,-0.5835
1511642223167,231315,215921,0.4864,-0.7176,-0.6105
1511642223187,231067,215876,0.4794,-0.7356,-0.6395
1511642223207,231003,215884,0.4654,-0.7236,-0.6435
1511642223228,230949,215943,0.4664,-0.6936,-0.6245
1511642223248,230997,215919,0.4654,-0.6605,-0.6225
1511642223267,231036,215861,0.4774,-0.6605,-0.6305
1511642223288,231039,215971,0.4764,-0.6505,-0.6435
1511642223308,231076,215914,0.4864,-0.6365,-0.6485
1511642223328,231124,215988,0.4944,-0.6295,-0.6565
1511642223348,231166,215962,0.5034,-0.6315,-0.6705
1511642223368,231220,215955,0.4914,-0.6195,-0.6665
1511642223387,231285,215927,0.4744,-0.6025,-0.6635
1511642223408,231304,216097,0.4654,-0.5955,-0.6535
1511642223428,231312,216042,0.4524,-0.5925,-0.6455
1511642223448,231288,216011,0.4494,-0.5905,-0.6435
1511642223468,231318,216034,0.4414,-0.5785,-0.6245
1511642223487,231285,215964,0.4243,-0.5865,-0.6185
1511642223507,231226,215909,0.4113,-0.6045,-0.6335
1511642223527,231225,215961,0.4013,-0.6395,-0.6505
1511642223548,231204,216038,0.3953,-0.6665,-0.6635
1511642223568,231255,215921,0.3993,-0.6665,-0.6615
1511642223588,231282,215931,0.3963,-0.6605,-0.6605
1511642223609,231278,216031,0.3953,-0.6675,-0.6916
1511642223628,231310,215995,0.3943,-0.6535,-0.7026
1511642223648,231348,216032,0.3913,-0.6375,-0.7076
1511642223668,231394,216075,0.3873,-0.6295,-0.7136
1511642223689,231467,216101,0.3863,-0.6105,-0.6916
1511642223708,231486,216045,0.3863,-0.6155,-0.6966
1511642223729,231510,216140,0.3823,-0.5995,-0.6755
1511642223748,231522,216028,0.3863,-0.5795,-0.6555
1511642223768,231459,215983,0.3983,-0.5725,-0.6405
1511642223789,231244,215950,0.4103,-0.5705,-0.6365
1511642223808,230989,215837,0.4073,-0.5825,-0.6385
1511642223829,230875,215824,0.4073,-0.6035,-0.6555
1511642223849,230802,215831,0.4063,-0.6155,-0.6625
1511642223869,230831,215789,0.4103,-0.6165,-0.6535
1511642224029,231063,215898,0.3973,-0.6615,-0.7266
1511642224049,231172,215959,0.4023,-0.6505,-0.7056
1511642224069,231112,215901,0.3983,-0.6335,-0.6725
1511642224090,231110,215962,0.3953,-0.6225,-0.6545
1511642224109,230996,215879,0.4003,-0.6165,-0.6425
1511642224130,231015,215924,0.3943,-0.6095,-0.6405
1511642224149,230967,215867,0.3983,-0.6075,-0.6425
1511642224169,231078,215926,0.3903,-0.6165,-0.6575
1511642224189,231016,215891,0.3783,-0.6215,-0.6675
1511642224210,231124,215994,0.3923,-0.6355,-0.6836
1511642224229,231109,215910,0.3863,-0.6315,-0.6916
1511642224249,231102,215918,0.3883,-0.6195,-0.6786
1511642224269,231165,216011,0.3803,-0.6195,-0.6725
1511642224290,231182,216046,0.3693,-0.6115,-0.6715
1511642224309,231289,215934,0.3633,-0.6175,-0.6725
1511642224330,231257,216016,0.3663,-0.6185,-0.6705
1511642224350,231282,215972,0.3713,-0.6215,-0.6695
1511642224370,231349,215998,0.3743,-0.6205,-0.6786
1511642224390,231277,216004,0.3783,-0.6245,-0.6786
1511642224410,231399,216045,0.3853,-0.6275,-0.6876
1511642224430,231408,216117,0.3843,-0.6285,-0.6946
1511642224450,231447,216038,0.4003,-0.6315,-0.6996
1511642224470,231475,216093,0.3973,-0.6185,-0.6856
1511642224489,231499,216047,0.4013,-0.6125,-0.6705
1511642224510,231428,216040,0.3993,-0.6155,-0.6675
1511642224530,231452,216051,0.3933,-0.6125,-0.6535
1511642224550,231447,216123,0.3903,-0.6055,-0.6415
1511642224571,231520,216125,0.3883,-0.6155,-0.6605
1511642224590,231387,215977,0.3853,-0.6235,-0.6816
1511642224610,231210,215868,0.3903,-0.6305,-0.7036
1511642224630,231017,215799,0.3903,-0.6415,-0.7186
1511642224650,230809,215798,0.3823,-0.6395,-0.7176
1511642224670,230684,215762,0.3803,-0.6275,-0.7096
1511642224690,230717,215759,0.3793,-0.6285,-0.7076
1511642224711,230791,215802,0.3853,-0.6265,-0.7006
1511642224731,230831,215893,0.3843,-0.6285,-0.6936
1511642224751,230890,215940,0.3833,-0.6285,-0.6806
1511642224770,230964,215891,0.3823,-0.6225,-0.6725
1511642224790,230939,215838,0.3863,-0.6245,-0.6705
1511642224810,231035,215823,0.3863,-0.6375,-0.6786
1511642224831,231049,215901,0.3813,-0.6375,-0.6745
1511642224853,231064,215905,0.3753,-0.6355,-0.6675
1511642224870,231059,215884,0.3763,-0.6465,-0.6755
1511642224891,231040,215870,0.3773,-0.6485,-0.6765
1511642224911,230990,215869,0.3813,-0.6515,-0.6765
1511642224931,230962,215843,0.3813,-0.6505,-0.6755
1511642224951,230913,215836,0.3823,-0.6335,-0.6665
1511642224971,230891,215846,0.3793,-0.6265,-0.6575
1511642224991,230942,215841,0.3793,-0.6295,-0.6575
1511642225011,230926,215857,0.3833,-0.6235,-0.6595
1511642225261,231244,215949,0.3783,-0.6085,-0.6605
1511642225282,231267,215983,0.3853,-0.6195,-0.6605
1511642225302,231282,216056,0.3843,-0.6255,-0.6665
1511642225321,231342,215928,0.3863,-0.6285,-0.6735
1511642225341,231266,215979,0.3763,-0.6365,-0.6986
1511642225362,231071,215913,0.3703,-0.6385,-0.7206
1511642225382,230858,215784,0.3683,-0.6335,-0.7236
1511642225402,230745,215734,0.3633,-0.6305,-0.7196
1511642225421,230693,215722,0.3643,-0.6215,-0.7026
1511642225442,230670,215695,0.3713,-0.6135,-0.6836
1511642225461,230695,215759,0.3793,-0.6105,-0.6635
1511642225482,230701,215770,0.3863,-0.6115,-0.6535
1511642225503,230768,215859,0.3863,-0.6125,-0.6525
1511642225523,230837,215843,0.3823,-0.6115,-0.6555
1511642225542,230869,215830,0.3773,-0.6235,-0.6675
1511642225562,230906,215786,0.3773,-0.6295,-0.6755
1511642225583,230933,215889,0.3753,-0.6355,-0.6806
1511642225602,230976,215840,0.3693,-0.6435,-0.6846
1511642225623,231023,215930,0.3673,-0.6465,-0.6896
1511642225643,231030,215964,0.3733,-0.6475,-0.6926
1511642225663,231024,215915,0.3773,-0.6525,-0.6956
1511642225682,230986,215804,0.3843,-0.6695,-0.7116
1511642225702,230913,215825,0.3833,-0.6685,-0.7106
1511642225723,230907,215812,0.3793,-0.6655,-0.7176
1511642225743,230897,215842,0.3743,-0.6615,-0.7226
1511642225763,230921,215826,0.3713,-0.6535,-0.7206
1511642225783,230925,215823,0.3733,-0.6495,-0.7166
1511642225803,230966,215822,0.3713,-0.6455,-0.7056
1511642225823,230991,215855,0.3713,-0.6455,-0.7056
1511642225843,231042,215859,0.3763,-0.6495,-0.7086
1511642225863,231063,215899,0.3723,-0.6455,-0.6976
1511642225884,231138,215924,0.3693,-0.6285,-0.6886
1511642225903,231089,215883,0.3773,-0.6115,-0.6755
1511642225923,231089,215890,0.3853,-0.6115,-0.6625
1511642225943,231130,215923,0.3853,-0.6335,-0.6836
1511642225963,231196,215869,0.3763,-0.6375,-0.6796
1511642225983,231255,215952,0.3813,-0.6425,-0.6786
1511642226003,231269,215981,0.3823,-0.6375,-0.6735
1511642226023,231293,215982,0.3713,-0.6435,-0.6816
1511642226044,231314,216039,0.3593,-0.6495,-0.6866
1511642226063,231352,215997,0.3493,-0.6505,-0.6755
1511642226083,231336,216016,0.3373,-0.6395,-0.6615
1511642226104,231214,215948,0.3343,-0.6405,-0.6675
1511642226123,231017,215782,0.3283,-0.6415,-0.6695
1511642226144,230817,215813,0.3283,-0.6515,-0.6776
1511642226163,230681,215713,0.3333,-0.6465,-0.6615
1511642226184,230667,215746,0.3353,-0.6345,-0.6475
1511642226204,230702,215777,0.3323,-0.6425,-0.6375
1511642226224,230749,215796,0.3313,-0.6555,-0.6495
1511642226244,230763,215779,0.3263,-0.6575,-0.6555
1511642226394,231073,215969,0.3373,-0.6956,-0.6836
1511642226414,231044,215879,0.3423,-0.6906,-0.6765
1511642226434,230994,215829,0.3523,-0.6926,-0.6755
1511642226455,230970,215910,0.3453,-0.7006,-0.6776
1511642226474,230959,215862,0.3323,-0.6946,-0.6786
1511642226494,230931,215834,0.3163,-0.6936,-0.6776
1511642226514,230924,215819,0.3002,-0.6846,-0.6856
