"TIME","IR","RED","X","Y","Z"
1511648249887,228628,207587,1.0549,-0.3533,0.023
1511648249907,228701,207612,1.0398,-0.3783,-0.012
1511648249927,228668,207545,1.0348,-0.3653,0.028
1511648249947,228647,207554,1.0388,-0.3543,0.0681
1511648249967,228616,207529,1.0308,-0.3273,0.1151
1511648249988,228591,207504,1.0168,-0.3253,0.1191
1511648250007,228630,207573,1.0158,-0.3453,0.0991
1511648250027,228631,207546,1.0248,-0.3323,0.1051
1511648250048,228633,207599,1.0448,-0.3243,0.1181
1511648250068,228632,207605,1.0378,-0.3032,0.1291
1511648250087,228638,207504,1.0168,-0.3113,0.1261
1511648250107,228684,207523,1.0108,-0.3363,0.1171
1511648250128,228705,207594,1.0128,-0.3653,0.1031
1511648250148,228698,207547,0.9998,-0.3533,0.1271
1511648250168,228751,207577,1.0168,-0.3483,0.1271
1511648250187,228760,207540,1.1329,-0.3353,0.0951
1511648250207,228698,207567,1.212,-0.3323,0.1281
1511648250228,228591,207500,1.234,-0.3773,0.1141
1511648250248,228422,207470,1.1169,-0.4764,0.0981
1511648250268,228271,207424,0.9718,-0.4944,0.0751
1511648250288,228165,207398,0.9137,-0.4414,0.0691
1511648250308,228253,207419,0.9738,-0.3653,0.1401
1511648250328,228343,207504,1.0058,-0.2842,0.2772
1511648250347,228424,207391,0.9738,-0.2752,0.3633
1511648250368,228373,207494,0.9077,-0.4243,0.3022
1511648250388,228487,207469,0.8547,-0.6005,0.0941
1511648250408,228538,207518,0.7746,-0.6195,0.009
1511648250428,228697,207589,0.7326,-0.5394,0.057
1511648250448,228826,207525,0.7216,-0.4173,0.1621
1511648250469,228882,207660,0.7066,-0.3323,0.2292
1511648250488,228887,207570,0.6856,-0.2912,0.2452
1511648250509,228959,207679,0.6765,-0.2742,0.2522
1511648250528,228959,207526,0.6575,-0.2702,0.2512
1511648250548,228828,207547,0.6575,-0.2702,0.2542
1511648250569,228880,207606,0.6866,-0.2592,0.2582
1511648250588,228834,207491,0.7276,-0.2482,0.2832
1511648250608,228805,207536,0.7586,-0.2372,0.3233
1511648250629,228841,207633,0.7716,-0.2062,0.3633
1511648250648,228888,207504,0.7916,-0.2372,0.3563
1511648250669,228878,207542,0.8227,-0.2852,0.3393
1511648250689,228883,207590,0.8467,-0.2872,0.3523
1511648250709,228912,207656,0.8507,-0.2762,0.3783
1511648250728,228937,207572,0.8317,-0.2812,0.3833
1511648250749,228961,207659,0.8977,-0.3052,0.3243
1511648250769,229007,207631,0.9628,-0.3393,0.2872
1511648250789,228945,207575,0.9618,-0.3583,0.3042
1511648250810,228852,207568,0.8897,-0.3363,0.3403
1511648250829,228619,207449,0.8347,-0.3193,0.3183
1511648250849,228509,207526,0.8847,-0.3012,0.2492
1511648250869,228480,207431,0.8847,-0.3012,0.2492
1511648251009,228565,207488,0.9948,-0.3022,0.1922
1511648251029,228604,207503,1.0158,-0.2692,0.1902
1511648251049,228711,207492,1.0769,-0.1952,0.2362
1511648251070,228714,207567,1.1069,-0.0991,0.2882
1511648251089,228636,207540,1.0929,-0.1431,0.2212
1511648251110,228622,207545,1.1009,-0.2372,0.0791
1511648251130,228509,207473,1.1099,-0.2702,0.015
1511648251149,228571,207418,1.1019,-0.2452,0.03
1511648251169,228594,207452,1.0869,-0.2382,0.046
1511648251190,228610,207556,1.0569,-0.2382,0.046
1511648251209,228607,207517,1.0398,-0.2292,0.031
1511648251229,228661,207460,1.0018,-0.2122,0.041
1511648251250,228642,207577,1.0629,-0.2132,-0.009
1511648251270,228689,207614,1.0368,-0.1661,0.055
1511648251290,228739,207542,1.0088,-0.0661,0.1701
1511648251310,228669,207527,1.0248,-0.057,0.2092
1511648251329,228766,207513,1.0869,-0.0811,0.2122
1511648251349,228665,207522,1.181,-0.1241,0.1401
1511648251370,228469,207486,1.225,-0.1651,0.053
1511648251390,228320,207390,1.254,-0.1391,0.0971
1511648251411,228257,207411,1.184,-0.1101,0.2062
1511648251430,228256,207407,1.0258,-0.0911,0.2762
1511648251450,228290,207366,0.9117,-0.0621,0.2852
1511648251471,228353,207438,0.9117,-0.016,0.2892
1511648251490,228393,207410,0.9898,-0.001,0.3313
1511648251510,228407,207421,1.0178,-0.0651,0.3203
1511648251531,228505,207472,0.9928,-0.1311,0.2702
1511648251551,228575,207477,0.9187,-0.1711,0.2232
1511648251571,228607,207493,0.8557,-0.1972,0.1902
1511648251590,228713,207517,0.8117,-0.1992,0.1982
1511648251611,228788,207589,0.7906,-0.2142,0.1811
1511648251631,228851,207589,0.7946,-0.2362,0.1421
1511648251651,228866,207634,0.7966,-0.2432,0.1021
1511648251671,228859,207593,0.8097,-0.2342,0.1081
1511648251691,228818,207537,0.8207,-0.2162,0.1211
1511648251711,228794,207505,0.8327,-0.1872,0.1571
1511648251731,228645,207484,0.8447,-0.1651,0.1912
1511648251751,228639,207464,0.8677,-0.1681,0.2142
1511648251771,228648,207565,0.8887,-0.1561,0.2412
1511648251791,228658,207571,0.9227,-0.1761,0.2302
1511648251810,228706,207492,0.9968,-0.1621,0.2162
1511648251831,228681,207455,1.0268,-0.1391,0.2372
1511648251851,228715,207454,0.9848,-0.1241,0.2272
1511648251871,228793,207520,0.8977,-0.0821,0.2862
1511648251892,228767,207471,0.8487,-0.04,0.3083
1511648251912,228588,207515,0.9298,0.021,0.3143
1511648251931,228492,207389,1.0769,0.0761,0.3333
1511648251951,228305,207298,1.1299,0.1111,0.3763
1511648251971,228105,207306,1.21,0.032,0.2572
