"TIME","IR","RED","X","Y","Z"
1511821579949,253166,208566,-0.1912,-0.4414,-0.8817
1511821579969,253634,208714,-0.1912,-0.4334,-0.8747
1511821579989,253848,208717,-0.1932,-0.4374,-0.8737
1511821580009,253993,208697,-0.1952,-0.4434,-0.8777
1511821580031,253982,208790,-0.1962,-0.4384,-0.8727
1511821580049,253920,208790,-0.1932,-0.4404,-0.8777
1511821580069,253992,208844,-0.1892,-0.4384,-0.8747
1511821580089,254093,208818,-0.1892,-0.4374,-0.8737
1511821580110,254399,208960,-0.1862,-0.4384,-0.8727
1511821580130,254631,209012,-0.1892,-0.4344,-0.8727
1511821580149,254885,209056,-0.1882,-0.4334,-0.8737
1511821580169,255024,209087,-0.1922,-0.4344,-0.8787
1511821580190,255209,209213,-0.1922,-0.4414,-0.8787
1511821580209,255334,209184,-0.1892,-0.4404,-0.8787
1511821580230,255372,209299,-0.1882,-0.4444,-0.8797
1511821580249,255410,209198,-0.1872,-0.4484,-0.8787
1511821580270,255479,209245,-0.1902,-0.4444,-0.8707
1511821580290,255546,209291,-0.1912,-0.4484,-0.8677
1511821580310,255592,209256,-0.1902,-0.4444,-0.8737
1511821580330,255595,209272,-0.1902,-0.4454,-0.8787
1511821580350,255319,209031,-0.1872,-0.4414,-0.8737
1511821580370,253172,208052,-0.1872,-0.4364,-0.8767
1511821580390,251097,207757,-0.1862,-0.4344,-0.8817
1511821580410,250431,207426,-0.1872,-0.4374,-0.8757
1511821580430,250167,207447,-0.1831,-0.4404,-0.8747
1511821580450,250139,207416,-0.1841,-0.4444,-0.8767
1511821580470,250310,207536,-0.1811,-0.4474,-0.8757
1511821580490,250449,207516,-0.1852,-0.4444,-0.8707
1511821580511,250615,207637,-0.1872,-0.4444,-0.8697
1511821580532,250753,207616,-0.1882,-0.4444,-0.8737
1511821580551,251011,207794,-0.1922,-0.4504,-0.8747
1511821580570,251416,207940,-0.1912,-0.4484,-0.8777
1511821580591,252145,208240,-0.1872,-0.4454,-0.8767
1511821580610,252802,208339,-0.1872,-0.4404,-0.8777
1511821580631,253183,208470,-0.1882,-0.4444,-0.8737
1511821580651,253355,208584,-0.1912,-0.4444,-0.8677
1511821580671,253322,208507,-0.1852,-0.4454,-0.8667
1511821580691,253233,208528,-0.1872,-0.4464,-0.8677
1511821580711,253219,208520,-0.1892,-0.4484,-0.8707
1511821580731,253335,208660,-0.1912,-0.4474,-0.8697
1511821580751,253561,208693,-0.1892,-0.4444,-0.8727
1511821580770,253901,208747,-0.1882,-0.4474,-0.8727
1511821580790,254228,208786,-0.1872,-0.4434,-0.8727
1511821580812,254509,208961,-0.1852,-0.4414,-0.8727
1511821580831,254733,209016,-0.1862,-0.4414,-0.8747
1511821580851,254939,209037,-0.1892,-0.4414,-0.8767
1511821580871,255021,209065,-0.1922,-0.4424,-0.8757
1511821580891,255156,209084,-0.1892,-0.4394,-0.8807
1511821580911,255214,209126,-0.1892,-0.4394,-0.8767
1511821580931,255314,209150,-0.1882,-0.4424,-0.8767
1511821581071,250967,207573,-0.1862,-0.4474,-0.8747
1511821581092,250256,207356,-0.1872,-0.4454,-0.8707
1511821581112,249888,207360,-0.1892,-0.4444,-0.8687
1511821581131,249953,207317,-0.1902,-0.4434,-0.8697
1511821581152,249949,207379,-0.1872,-0.4424,-0.8707
1511821581172,250179,207420,-0.1801,-0.4474,-0.8727
1511821581191,250353,207415,-0.1841,-0.4454,-0.8687
1511821581212,250462,207547,-0.1872,-0.4444,-0.8717
1511821581233,250720,207699,-0.1902,-0.4444,-0.8717
1511821581252,251082,207826,-0.1922,-0.4424,-0.8727
1511821581272,251810,208097,-0.1922,-0.4464,-0.8717
1511821581293,252554,208339,-0.1902,-0.4464,-0.8707
1511821581312,252958,208420,-0.1922,-0.4424,-0.8727
1511821581333,253181,208532,-0.1902,-0.4444,-0.8717
1511821581353,253211,208412,-0.1922,-0.4474,-0.8677
1511821581373,253090,208462,-0.1912,-0.4474,-0.8717
1511821581393,253009,208436,-0.1872,-0.4454,-0.8717
1511821581413,253162,208543,-0.1872,-0.4424,-0.8717
1511821581433,253423,208682,-0.1852,-0.4434,-0.8727
1511821581452,253671,208679,-0.1872,-0.4434,-0.8747
1511821581473,254005,208767,-0.1872,-0.4384,-0.8717
1511821581493,254368,208884,-0.1862,-0.4384,-0.8697
1511821581513,254650,208936,-0.1872,-0.4374,-0.8737
1511821581533,254719,209026,-0.1862,-0.4404,-0.8737
1511821581555,254957,209085,-0.1852,-0.4414,-0.8747
1511821581572,255051,209033,-0.1841,-0.4414,-0.8737
1511821581593,255115,209071,-0.1862,-0.4434,-0.8727
1511821581613,255233,209092,-0.1852,-0.4404,-0.8707
1511821581633,255241,209137,-0.1872,-0.4374,-0.8697
1511821581653,255300,209167,-0.1862,-0.4394,-0.8747
1511821581673,255362,209140,-0.1862,-0.4404,-0.8767
1511821581693,255441,209130,-0.1831,-0.4434,-0.8767
1511821581714,255456,209284,-0.1821,-0.4434,-0.8787
1511821581734,255469,209260,-0.1821,-0.4444,-0.8787
1511821581753,255083,208885,-0.1821,-0.4424,-0.8737
1511821581773,252643,207908,-0.1841,-0.4434,-0.8727
1511821581794,250868,207574,-0.1841,-0.4414,-0.8737
1511821581814,250317,207458,-0.1801,-0.4424,-0.8767
1511821581834,250090,207416,-0.1751,-0.4424,-0.8757
1511821581854,250167,207430,-0.1751,-0.4424,-0.8757
1511821581874,250395,207553,-0.1731,-0.4514,-0.8647
1511821581894,250602,207587,-0.1721,-0.4494,-0.8617
1511821581914,250774,207648,-0.1711,-0.4414,-0.8557
1511821581933,250990,207718,-0.1791,-0.4414,-0.8637
1511821581954,251353,207913,-0.1751,-0.4414,-0.8717
1511821581974,251931,208117,-0.1741,-0.4434,-0.8757
1511821581994,252513,208286,-0.1731,-0.4404,-0.8767
1511821582014,252943,208421,-0.1751,-0.4404,-0.8807
1511821582034,253231,208469,-0.1761,-0.4384,-0.8837
1511821582054,253206,208453,-0.1801,-0.4414,-0.8797
1511821582195,254162,208843,-0.1751,-0.4374,-0.8757
1511821582215,254463,208969,-0.1751,-0.4374,-0.8757
1511821582234,254672,208932,-0.1791,-0.4364,-0.8787
1511821582255,254805,209017,-0.1791,-0.4364,-0.8787
1511821582275,254947,209124,-0.1761,-0.4404,-0.8707
1511821582295,255103,209106,-0.1801,-0.4454,-0.8757
1511821582314,255194,209066,-0.1751,-0.4414,-0.8837
1511821582335,255174,209123,-0.1701,-0.4384,-0.8857
1511821582355,255192,209138,-0.1771,-0.4404,-0.8817
1511821582375,255297,209166,-0.1791,-0.4414,-0.8777
1511821582395,255367,209165,-0.1771,-0.4384,-0.8757
1511821582416,255417,209247,-0.1781,-0.4414,-0.8787
1511821582435,255160,208936,-0.1811,-0.4434,-0.8777
1511821582455,253491,208156,-0.1821,-0.4414,-0.8777
1511821582475,251111,207627,-0.1801,-0.4434,-0.8807
1511821582496,250544,207507,-0.1831,-0.4464,-0.8797
1511821582515,250308,207378,-0.1821,-0.4454,-0.8787
1511821582536,250375,207526,-0.1821,-0.4454,-0.8767
