"TIME","IR","RED","X","Y","Z"
1511822656546,248780,215730,0.9107,-0.3433,-0.2592
1511822656565,248783,215686,0.9077,-0.3383,-0.2542
1511822656586,248877,215727,0.9137,-0.3413,-0.2592
1511822656606,248978,215800,0.9157,-0.3393,-0.2622
1511822656625,248963,215753,0.9157,-0.3403,-0.2592
1511822656646,248979,215773,0.9127,-0.3403,-0.2592
1511822656665,249012,215687,0.9107,-0.3453,-0.2602
1511822656685,249058,215721,0.9077,-0.3473,-0.2582
1511822656706,248980,215770,0.9147,-0.3523,-0.2622
1511822656726,249129,215852,0.9147,-0.3493,-0.2572
1511822656745,249346,215820,0.9167,-0.3483,-0.2602
1511822656767,249448,215934,0.9167,-0.3513,-0.2632
1511822656786,249530,215975,0.9127,-0.3503,-0.2622
1511822656807,249616,216029,0.9127,-0.3523,-0.2612
1511822656826,249740,216004,0.9117,-0.3533,-0.2592
1511822656846,249799,216018,0.9107,-0.3463,-0.2582
1511822656867,249936,216121,0.9127,-0.3433,-0.2542
1511822656886,250042,216111,0.9087,-0.3423,-0.2532
1511822656906,250093,216092,0.9127,-0.3423,-0.2482
1511822656927,250148,216230,0.9157,-0.3443,-0.2502
1511822656947,250286,216230,0.9177,-0.3413,-0.2502
1511822656967,250333,216287,0.9177,-0.3383,-0.2532
1511822656986,250399,216271,0.9157,-0.3373,-0.2542
1511822657007,250523,216323,0.9137,-0.3433,-0.2522
1511822657026,250634,216280,0.9137,-0.3413,-0.2532
1511822657047,250690,216347,0.9127,-0.3453,-0.2532
1511822657067,250844,216431,0.9107,-0.3403,-0.2542
1511822657087,250969,216487,0.9147,-0.3413,-0.2542
1511822657107,251173,216535,0.9137,-0.3383,-0.2532
1511822657127,251108,216464,0.9167,-0.3363,-0.2532
1511822657147,250727,216184,0.9157,-0.3413,-0.2512
1511822657167,249902,215863,0.9157,-0.3413,-0.2502
1511822657187,249102,215728,0.9147,-0.3363,-0.2462
1511822657208,248779,215699,0.9167,-0.3393,-0.2332
1511822657227,248807,215628,0.9177,-0.3473,-0.2512
1511822657248,248849,215737,0.9137,-0.3463,-0.2532
1511822657267,248899,215729,0.9127,-0.3333,-0.2472
1511822657288,249044,215811,0.9177,-0.3383,-0.2552
1511822657307,249139,215772,0.9217,-0.3283,-0.2442
1511822657327,249017,215771,0.9197,-0.3353,-0.2542
1511822657347,249242,215782,0.9207,-0.3403,-0.2552
1511822657368,249246,215917,0.9227,-0.3453,-0.2562
1511822657387,249241,215821,0.9278,-0.3433,-0.2532
1511822657408,249232,215860,0.9278,-0.3433,-0.2522
1511822657427,249336,215852,0.9268,-0.3493,-0.2562
1511822657448,249248,215856,0.9217,-0.3493,-0.2552
1511822657468,249259,215866,0.9238,-0.3563,-0.2532
1511822657488,249344,215904,0.9268,-0.3573,-0.2452
1511822657507,249443,215926,0.9238,-0.3553,-0.2452
1511822657528,249658,216039,0.9187,-0.3673,-0.2522
1511822657668,250623,216350,0.9157,-0.3473,-0.2412
1511822657688,250745,216326,0.9177,-0.3433,-0.2352
1511822657709,250823,216505,0.9127,-0.3433,-0.2372
1511822657729,250946,216453,0.9127,-0.3433,-0.2332
1511822657749,250991,216520,0.9107,-0.3403,-0.2362
1511822657769,251119,216503,0.9077,-0.3393,-0.2362
1511822657789,251184,216519,0.9077,-0.3443,-0.2372
1511822657809,251300,216650,0.9047,-0.3463,-0.2372
1511822657828,251428,216614,0.8987,-0.3453,-0.2312
1511822657849,251593,216738,0.8967,-0.3423,-0.2282
1511822657869,251800,216733,0.8987,-0.3393,-0.2302
1511822657889,251914,216807,0.9027,-0.3393,-0.2382
1511822657909,251785,216613,0.9107,-0.3383,-0.2382
1511822657929,251027,216247,0.9147,-0.3353,-0.2442
1511822657949,250042,216036,0.9137,-0.3363,-0.2482
1511822657969,249446,215827,0.9248,-0.3293,-0.2512
1511822657989,249234,215876,0.9278,-0.3293,-0.2492
1511822658010,249236,215820,0.9328,-0.3283,-0.2522
1511822658030,249249,215911,0.9298,-0.3333,-0.2482
1511822658049,249430,215897,0.9278,-0.3293,-0.2432
1511822658069,249555,215999,0.9227,-0.3323,-0.2422
1511822658089,249714,216013,0.9207,-0.3323,-0.2412
1511822658109,249870,216057,0.9207,-0.3343,-0.2392
1511822658129,249995,216147,0.9248,-0.3383,-0.2382
1511822658149,250058,216079,0.9278,-0.3443,-0.2372
1511822658169,249987,216061,0.9298,-0.3503,-0.2352
1511822658190,249942,216147,0.9298,-0.3533,-0.2302
1511822658209,249895,216032,0.9268,-0.3563,-0.2302
1511822658229,249864,216051,0.9248,-0.3563,-0.2272
1511822658250,249936,216154,0.9187,-0.3583,-0.2202
1511822658270,250094,216129,0.9137,-0.3613,-0.2182
1511822658290,250198,216270,0.9127,-0.3593,-0.2092
1511822658310,250368,216236,0.9117,-0.3603,-0.2062
1511822658331,250525,216366,0.9167,-0.3553,-0.2062
1511822658349,250727,216368,0.9177,-0.3513,-0.2112
1511822658370,250842,216413,0.9197,-0.3473,-0.2152
1511822658389,250990,216421,0.9187,-0.3443,-0.2212
1511822658410,251113,216536,0.9137,-0.3433,-0.2242
1511822658431,251216,216512,0.9137,-0.3383,-0.2282
1511822658450,251252,216530,0.9187,-0.3333,-0.2302
1511822658470,251369,216587,0.9248,-0.3303,-0.2332
1511822658490,251458,216678,0.9268,-0.3263,-0.2352
1511822658510,251592,216675,0.9238,-0.3313,-0.2402
1511822658531,251701,216786,0.9248,-0.3343,-0.2392
1511822658550,251865,216778,0.9298,-0.3363,-0.2382
1511822658571,251959,216862,0.9338,-0.3383,-0.2382
1511822658590,251916,216718,0.9308,-0.3403,-0.2342
1511822658611,251380,216522,0.9268,-0.3443,-0.2302
1511822658631,250455,216063,0.9207,-0.3473,-0.2242
1511822658651,249746,215987,0.9187,-0.3463,-0.2192
1511822658791,249923,216195,0.9207,-0.3413,-0.2152
1511822658811,250061,216186,0.9187,-0.3423,-0.2212
1511822658831,250139,216176,0.9187,-0.3403,-0.2162
1511822658851,250123,216155,0.9238,-0.3393,-0.2162
1511822658871,250084,216193,0.9217,-0.3383,-0.2182
1511822658891,249986,216108,0.9238,-0.3393,-0.2182
1511822658911,250069,216165,0.9248,-0.3363,-0.2132
1511822658931,250075,216145,0.9197,-0.3333,-0.2092
1511822658952,250227,216267,0.9177,-0.3393,-0.2072
1511822658971,250344,216216,0.9187,-0.3373,-0.2072
1511822658992,250518,216375,0.9177,-0.3383,-0.2082
1511822659011,250610,216355,0.9238,-0.3403,-0.2132
1511822659033,250825,216483,0.9278,-0.3463,-0.2132
1511822659052,250880,216485,0.9258,-0.3533,-0.2162
1511822659071,251118,216453,0.9227,-0.3583,-0.2202
1511822659092,251176,216531,0.9157,-0.3653,-0.2242
1511822659112,251349,216660,0.9127,-0.3613,-0.2252
1511822659132,251396,216629,0.9147,-0.3643,-0.2292
1511822659151,251582,216627,0.9177,-0.3663,-0.2362
1511822659172,251644,216722,0.9197,-0.3643,-0.2402
1511822659192,251777,216756,0.9227,-0.3593,-0.2412
1511822659212,251914,216836,0.9248,-0.3583,-0.2392
1511822659232,251960,216790,0.9278,-0.3503,-0.2312
1511822659252,251400,216437,0.9258,-0.3453,-0.2262
1511822659272,250430,216099,0.9238,-0.3463,-0.2252
1511822659292,249728,215919,0.9238,-0.3463,-0.2252
1511822659312,249348,215842,0.9227,-0.3483,-0.2282
1511822659332,249260,215869,0.9227,-0.3543,-0.2192
1511822659353,249350,215951,0.9187,-0.3543,-0.2062
1511822659373,249467,215976,0.9167,-0.3493,-0.2032
1511822659392,249593,215970,0.9147,-0.3493,-0.1972
1511822659412,249666,215954,0.9217,-0.3473,-0.1922
1511822659433,249767,216072,0.9207,-0.3503,-0.1942
1511822659452,249835,216033,0.9227,-0.3513,-0.1972
1511822659473,249937,216131,0.9227,-0.3513,-0.1972
1511822659493,249956,216152,0.9147,-0.3473,-0.1922
1511822659513,249923,216133,0.9077,-0.3483,-0.1932
1511822659532,249836,216068,0.9077,-0.3573,-0.1852
1511822659552,249853,216022,0.9127,-0.3543,-0.1882
1511822659573,249893,216075,0.9107,-0.3533,-0.1922
1511822659593,249978,216133,0.9137,-0.3533,-0.1922
1511822659613,250130,216175,0.9157,-0.3463,-0.1932
1511822659633,250283,216286,0.9207,-0.3483,-0.1962
1511822659653,250410,216288,0.9217,-0.3443,-0.1962
1511822659673,250582,216281,0.9248,-0.3443,-0.1992
1511822659693,250685,216363,0.9227,-0.3433,-0.2022
1511822659713,250828,216397,0.9207,-0.3463,-0.2062
1511822659733,250960,216471,0.9217,-0.3503,-0.2122
1511822659754,251092,216544,0.9268,-0.3423,-0.2092
1511822659774,251220,216587,0.9278,-0.3473,-0.2122
1511822659913,249503,215824,0.9358,-0.3483,-0.1962
1511822659933,249132,215775,0.9388,-0.3433,-0.1942
1511822659954,248968,215815,0.9328,-0.3403,-0.1932
1511822659974,248933,215773,0.9308,-0.3393,-0.1932
1511822659994,249080,215848,0.9328,-0.3343,-0.1892
1511822660014,249161,215898,0.9378,-0.3343,-0.1922
1511822660035,249196,215876,0.9438,-0.3323,-0.1892
1511822660054,249317,215936,0.9408,-0.3263,-0.1841
1511822660074,249384,215870,0.9428,-0.3233,-0.1862
1511822660095,249468,216010,0.9448,-0.3273,-0.1872
1511822660115,249467,216001,0.9388,-0.3243,-0.1872
1511822660135,249521,215999,0.9378,-0.3253,-0.1862
1511822660154,249477,215947,0.9378,-0.3253,-0.1831
1511822660174,249477,215916,0.9328,-0.3313,-0.1781
1511822660194,249564,215880,0.9308,-0.3283,-0.1771
1511822660215,249560,215995,0.9338,-0.3293,-0.1771
1511822660235,249585,216058,0.9348,-0.3283,-0.1791
1511822660255,249761,216060,0.9348,-0.3323,-0.1781
1511822660275,249816,216132,0.9358,-0.3343,-0.1821
1511822660295,250035,216187,0.9368,-0.3323,-0.1801
1511822660314,250195,216174,0.9318,-0.3333,-0.1821
1511822660335,250222,216218,0.9348,-0.3343,-0.1821
1511822660355,250270,216237,0.9348,-0.3303,-0.1801
1511822660374,250444,216239,0.9378,-0.3303,-0.1852
1511822660395,250553,216359,0.9378,-0.3283,-0.1841
1511822660415,250644,216431,0.9388,-0.3353,-0.1912
1511822660435,250792,216394,0.9368,-0.3303,-0.1932
1511822660454,250914,216428,0.9388,-0.3253,-0.1932
1511822660475,250952,216464,0.9418,-0.3223,-0.1902
1511822660495,250971,216425,0.9428,-0.3243,-0.1932
1511822660515,250543,216158,0.9438,-0.3253,-0.1942
1511822660536,249672,215884,0.9398,-0.3173,-0.1932
1511822660555,249172,215720,0.9358,-0.3143,-0.1962
