IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
226878.0,208469.0,0.9338,-0.2522,0.06,63.578523979836135,13.621976573616417,99.26737921580322,0.16333333333333333
227010.0,208504.0,0.8807,-0.2492,0.0721,66.51609939459934,14.258746481479037,99.04062176115536,
227150.0,208528.0,0.8377,-0.2522,0.0821,76.54310567505412,11.432990734239775,98.63567647415401,
227263.0,208578.0,0.8187,-0.2512,0.0901,80.05800283778865,12.87272488030747,98.61767716541378,
227366.0,208608.0,0.8137,-0.2562,0.0891,79.29193034221237,12.608621675093325,98.25048550455651,
227441.0,208674.0,0.8117,-0.2632,0.0821,68.44667544987432,13.496271648747836,97.9155074576157,
227588.0,208708.0,0.8267,-0.2682,0.0831,60.70375611759164,13.9376433734314,98.6922952807285,
227728.0,208778.0,0.8587,-0.2752,0.0921,62.49344149659286,15.733862308155377,98.3482885250152,
227755.0,208759.0,0.9057,-0.2772,0.1031,74.14540963647462,13.92859680955184,95.74719350337568,
227869.0,208842.0,0.9448,-0.3072,0.1011,78.00327962470718,18.51642715536702,98.5538441188614,
227811.0,208693.0,0.9678,-0.3443,0.0991,59.81751532997612,11.571662379432087,96.14169426370309,
227352.0,208497.0,0.9768,-0.3863,0.1051,73.15516162546892,10.285168436800234,99.13785564716567,
226899.0,208391.0,0.9758,-0.4344,0.0961,78.5412017748799,12.537002076032607,98.1376377729573,
226529.0,208219.0,0.9888,-0.4684,0.0741,77.51005412218275,,98.6353198437322,
226291.0,208177.0,0.9948,-0.4964,0.051,74.86891094498426,,98.72402080299398,
226236.0,208132.0,0.9928,-0.5114,0.033,68.11195720124451,,98.91953550418515,
226324.0,208259.0,0.9848,-0.5174,0.032,69.6302499166118,,97.19319091406942,
226378.0,208246.0,0.9838,-0.5124,0.046,74.20758457451612,,97.67126781969944,
226482.0,208214.0,0.9638,-0.4874,0.056,50.32486580315772,,98.42662577576493,
226494.0,208363.0,0.9398,-0.4794,0.0701,89.18018205134045,,97.80040358155463,
226539.0,208299.0,0.9177,-0.4704,0.0631,87.87623466488333,,97.89965238871048,
226689.0,208330.0,0.9037,-0.4734,0.056,61.35478298958725,,97.52353638378001,
226747.0,208430.0,0.8897,-0.4764,0.035,55.787048132788776,,95.67898012568857,
226742.0,208437.0,0.8757,-0.4724,0.028,53.19511312169523,,97.68065228341044,
226854.0,208395.0,0.8657,-0.4704,0.017,51.44138722881407,,98.03027847276228,
226942.0,208462.0,0.8597,-0.4644,0.011,51.88826506595194,,99.55788101131239,
226918.0,208434.0,0.8557,-0.4584,0.006,67.9451777594842,,96.0804127675213,
226982.0,208466.0,0.8637,-0.4624,-0.01,78.08852788035728,,94.88827547136626,
227009.0,208503.0,0.8817,-0.4664,-0.03,75.46549988515302,,98.26338726071134,
227094.0,208495.0,0.9067,-0.4734,-0.042,72.23032543161614,,98.21898690215035,
227210.0,208542.0,0.9328,-0.4704,-0.05,76.0532013880937,,97.17919854893027,
227230.0,208573.0,0.9628,-0.4564,-0.04,58.10467543879389,,98.27091348075864,
227361.0,208607.0,0.9768,-0.4324,-0.022,61.793830266011014,,99.22205202978597,
227322.0,208607.0,0.9958,-0.4123,-0.007,61.645857340354596,,99.48852581564577,
227447.0,208643.0,1.0318,-0.3913,0.024,64.0921583387249,,95.59014866670068,
227438.0,208686.0,1.0118,-0.3843,0.039,78.49763867305764,,96.89112775578434,
227463.0,208694.0,0.9618,-0.3853,0.049,63.02022041111864,,99.25555314893688,
227521.0,208687.0,0.9278,-0.3733,0.054,61.08406790119964,,97.0884977782114,
227654.0,208701.0,0.9338,-0.3643,0.055,72.1319555531466,,98.21466631503591,
227704.0,208730.0,0.9678,-0.3483,0.051,52.095851800024015,,93.26787776395338,
227781.0,208787.0,0.9928,-0.3453,0.053,57.41491624329079,,99.58548417373405,
227603.0,208595.0,0.9878,-0.3513,0.045,53.18600530790404,,97.91524244798573,
227195.0,208403.0,0.9608,-0.3473,0.037,57.86373873228113,,99.15702226416393,
226811.0,208225.0,0.9318,-0.3293,0.038,56.640451067233165,,96.4787503572182,
226527.0,208220.0,0.9217,-0.2972,0.036,57.99279910658036,,98.72651312530677,
226414.0,208184.0,0.9207,-0.2752,0.044,50.84199096471785,,98.92829732288091,
226435.0,208199.0,0.9278,-0.2572,0.044,54.82764969314146,,99.14091822132093,
226543.0,208266.0,0.9418,-0.2582,0.035,54.96446851197938,,94.99903383813773,
226633.0,208231.0,0.9618,-0.2742,0.019,50.87375694785597,,99.05520806856762,
226646.0,208361.0,0.9778,-0.2992,-0.013,59.13447608275734,,98.26320617328115,
227019.0,208477.0,0.9498,-0.3373,-0.039,60.39042601450076,,98.08731177837964,
227060.0,208439.0,0.9358,-0.3383,-0.041,50.293055596759416,,98.12442566714087,
227120.0,208523.0,0.9408,-0.3623,-0.06,44.242940076305715,,99.60231397556643,
227091.0,208488.0,0.9348,-0.3733,-0.0621,58.40974649249025,,99.33230952982437,
227153.0,208526.0,0.9318,-0.3743,-0.06,52.28659068420766,,99.71340059584551,
227267.0,208561.0,0.9318,-0.3743,-0.06,63.67172185381789,,97.70146379176414,
227374.0,208587.0,0.9378,-0.3663,-0.049,47.36381054568681,,97.62290975962594,
227406.0,208614.0,0.9448,-0.3603,-0.031,47.12905456455271,,98.0459908834807,
227497.0,208662.0,0.9778,-0.3543,-0.012,56.10559306136545,,99.25549357296484,
227497.0,208723.0,0.9978,-0.3493,-0.001,50.58021016372155,,90.99018670298214,
227502.0,208693.0,1.0148,-0.3623,0.0,51.85476568200329,,98.7047032156326,
227647.0,208701.0,1.0128,-0.3713,-0.013,56.19290857694506,,98.24604825770272,
227650.0,208710.0,1.0198,-0.3803,-0.021,,,96.79375734299259,
227767.0,208849.0,1.0499,-0.3973,-0.038,,,98.63172708260556,
227852.0,208833.0,1.0619,-0.4193,-0.051,,,98.93502432321134,
227844.0,208793.0,1.0268,-0.4464,-0.06,,,98.03669239227312,
227979.0,208745.0,0.9548,-0.4564,-0.06,,,99.28823854947865,
227811.0,208664.0,0.8937,-0.4464,-0.04,,,98.31663296286447,
227354.0,208507.0,0.8627,-0.4314,-0.015,,,98.17835824220509,
226989.0,208417.0,0.8517,-0.4233,-0.01,,,98.93272407675708,
226807.0,208347.0,0.8257,-0.4153,-0.012,,,88.07566465894472,
226894.0,208410.0,0.7826,-0.3973,-0.017,,,98.12471351596602,
226948.0,208438.0,0.8067,-0.3603,-0.032,,,95.95804318775666,
227129.0,208429.0,0.9238,-0.3163,-0.008,,,97.29101424904975,
227135.0,208376.0,1.0138,-0.3052,0.027,,,94.89552024701308,
227088.0,208560.0,1.0128,-0.3393,0.038,,,95.82944754340393,
227188.0,208563.0,0.9628,-0.3713,0.046,,,97.19524043955015,
227229.0,208647.0,0.9077,-0.3963,0.059,,,97.26139898531244,
227331.0,208664.0,0.8877,-0.4063,0.038,,,93.5929022819649,
227456.0,208654.0,0.8997,-0.4193,0.009,,,96.17630415218693,
227383.0,208610.0,0.9348,-0.4404,-0.024,,,99.16074541213601,
227428.0,208661.0,0.9778,-0.4574,-0.048,,,97.65690520793098,
227463.0,208660.0,1.0078,-0.4484,-0.051,,,96.93100665561474,
227472.0,208612.0,1.0088,-0.4203,-0.021,,,99.55903602281842,
227497.0,208710.0,0.9838,-0.3913,0.012,,,92.51206838672239,
227618.0,208720.0,0.9458,-0.3593,0.048,,,99.73186615683615,
227644.0,208724.0,0.9097,-0.3433,0.0831,,,97.24398045678707,
227645.0,208726.0,0.8877,-0.3383,0.0951,,,98.87749537340119,
227747.0,208756.0,0.8697,-0.3513,0.0901,,,98.16923767772053,
227951.0,208800.0,0.8667,-0.3783,0.0741,,,99.01020231168535,
227924.0,208868.0,0.8847,-0.3903,0.0671,,,98.74959210081438,
228012.0,208843.0,0.9137,-0.3923,0.0731,,,97.86041707084941,
228164.0,208932.0,0.9338,-0.3863,0.0691,,,97.38934788836217,
228207.0,209008.0,0.9408,-0.3923,0.061,,,97.17856554275829,
228336.0,208981.0,0.9548,-0.3983,0.039,,,97.92900379132456,
228340.0,209016.0,1.0028,-0.4033,0.044,,,98.8112647287798,
228360.0,209039.0,1.0268,-0.4093,0.039,,,95.33656834398397,
228452.0,209033.0,1.0078,-0.4073,0.023,,,96.82838587640475,
228439.0,209070.0,0.9518,-0.4053,0.0,,,99.33572507751906,
228356.0,208946.0,0.9087,-0.3653,0.01,,,93.97331280475544,
227413.0,208550.0,1.0448,-0.2572,-0.057,,,97.18034828311204,
227452.0,208585.0,1.0669,-0.2702,-0.0641,,,97.45994634398554,
227511.0,208613.0,1.0479,-0.2822,-0.0651,,,98.98685994907204,
227591.0,208660.0,1.0098,-0.2922,-0.0621,,,97.95849166134587,
227697.0,208710.0,0.9648,-0.2982,-0.037,,,98.65717792695149,
227727.0,208762.0,0.9398,-0.2982,-0.045,,,99.14942886224628,
227762.0,208746.0,0.9288,-0.3083,-0.051,,,98.79403109210088,
227763.0,208690.0,0.9358,-0.3513,-0.054,,,98.80305371148229,
227767.0,208721.0,0.9538,-0.3963,-0.0801,,,99.10586489523808,
227822.0,208729.0,0.9758,-0.4213,-0.1061,,,97.71575192081025,
227837.0,208714.0,0.9958,-0.4083,-0.1211,,,97.33040705657145,
227896.0,208702.0,1.0108,-0.3893,-0.1231,,,97.3092719577949,
227905.0,208831.0,1.0208,-0.3723,-0.1241,,,98.94626450619477,
227956.0,208748.0,1.0168,-0.3563,-0.1101,,,94.80027106247947,
227984.0,208747.0,0.9998,-0.3453,-0.1011,,,97.97216497227494,
227995.0,208783.0,0.9728,-0.3383,-0.0961,,,97.18728768642144,
228062.0,208798.0,0.9558,-0.3383,-0.0911,,,97.67304936871297,
228084.0,208830.0,0.9538,-0.3443,-0.0861,,,97.23331295473527,
228150.0,208829.0,0.9488,-0.3703,-0.0991,,,98.62158536587194,
228236.0,208875.0,0.9468,-0.3913,-0.1221,,,97.82366231100333,
228255.0,208907.0,1.0038,-0.4033,-0.1341,,,96.93644994619322,
228354.0,208893.0,1.1019,-0.4213,-0.1291,,,98.3111033631834,
228413.0,208894.0,1.0939,-0.4404,-0.1611,,,98.55920516503483,
228454.0,208884.0,0.9998,-0.4173,-0.1181,,,98.47299351075755,
228390.0,208856.0,0.9047,-0.3593,-0.021,,,96.93571612686738,
