"TIME","IR","RED","X","Y","Z"
1511639658114,252278,238253,-0.1121,-0.9217,-0.3463
1511639658133,252265,238120,-0.1121,-0.9197,-0.3513
1511639658154,252210,238096,-0.1121,-0.9157,-0.3533
1511639658174,252051,238040,-0.1121,-0.9087,-0.3533
1511639658193,251953,238009,-0.1121,-0.9087,-0.3473
1511639658214,251864,238029,-0.1131,-0.9097,-0.3483
1511639658234,251879,238005,-0.1091,-0.9157,-0.3463
1511639658254,252009,238013,-0.1091,-0.9207,-0.3453
1511639658273,252151,238085,-0.1091,-0.9227,-0.3503
1511639658294,252287,238153,-0.1081,-0.9167,-0.3503
1511639658314,252375,238192,-0.1161,-0.9167,-0.3513
1511639658335,252528,238307,-0.1171,-0.9157,-0.3503
1511639658355,252641,238327,-0.1111,-0.9167,-0.3503
1511639658375,252780,238433,-0.1091,-0.9177,-0.3453
1511639658394,252839,238341,-0.1101,-0.9207,-0.3493
1511639658414,252908,238317,-0.1091,-0.9207,-0.3483
1511639658435,252594,238164,-0.1091,-0.9147,-0.3483
1511639658454,251390,237534,-0.1101,-0.9127,-0.3473
1511639658474,250433,237233,-0.1111,-0.9157,-0.3483
1511639658494,250019,237163,-0.1101,-0.9187,-0.3543
1511639658515,249886,237142,-0.1061,-0.9137,-0.3563
1511639658534,249933,237133,-0.1121,-0.9157,-0.3553
1511639658554,250051,237245,-0.1091,-0.9157,-0.3533
1511639658575,250220,237328,-0.1071,-0.9177,-0.3493
1511639658594,250464,237419,-0.1041,-0.9157,-0.3493
1511639658614,250745,237532,-0.1061,-0.9137,-0.3523
1511639658635,251002,237735,-0.1091,-0.9177,-0.3573
1511639658656,251358,237840,-0.1081,-0.9147,-0.3553
1511639658675,251689,237963,-0.1101,-0.9097,-0.3543
1511639658695,251966,237966,-0.1141,-0.9097,-0.3533
1511639658715,252187,238188,-0.1141,-0.9127,-0.3553
1511639658736,252362,238230,-0.1151,-0.9187,-0.3563
1511639658755,252382,238216,-0.1101,-0.9167,-0.3543
1511639658775,252309,238125,-0.1101,-0.9147,-0.3543
1511639658796,252177,238087,-0.1121,-0.9157,-0.3543
1511639658816,251989,238025,-0.1111,-0.9127,-0.3533
1511639658836,251877,238020,-0.1111,-0.9137,-0.3533
1511639658855,251832,237972,-0.1101,-0.9157,-0.3563
1511639658876,251971,238052,-0.1101,-0.9177,-0.3593
1511639658896,252078,238145,-0.1101,-0.9137,-0.3543
1511639658916,252210,238189,-0.1131,-0.9117,-0.3553
1511639658936,252387,238247,-0.1111,-0.9107,-0.3503
1511639658956,252499,238231,-0.1131,-0.9137,-0.3503
1511639658976,252636,238323,-0.1141,-0.9127,-0.3533
1511639658996,252724,238321,-0.1131,-0.9127,-0.3543
1511639659016,252805,238291,-0.1141,-0.9137,-0.3523
1511639659036,252773,238235,-0.1141,-0.9197,-0.3523
1511639659056,252022,237797,-0.1101,-0.9177,-0.3533
1511639659076,250757,237360,-0.1101,-0.9147,-0.3543
1511639659096,250071,237171,-0.1121,-0.9137,-0.3543
1511639659236,250617,237470,-0.1141,-0.9147,-0.3533
1511639659257,250925,237671,-0.1151,-0.9147,-0.3513
1511639659276,251230,237787,-0.1121,-0.9137,-0.3493
1511639659296,251532,237840,-0.1141,-0.9167,-0.3483
1511639659317,251784,237967,-0.1151,-0.9117,-0.3533
1511639659337,252083,238095,-0.1131,-0.9117,-0.3553
1511639659357,252183,238063,-0.1111,-0.9117,-0.3553
1511639659377,252188,238038,-0.1091,-0.9107,-0.3593
1511639659397,252026,238032,-0.1091,-0.9107,-0.3553
1511639659417,251852,237922,-0.1081,-0.9127,-0.3513
1511639659437,251722,237878,-0.1081,-0.9087,-0.3553
1511639659457,251714,237903,-0.1111,-0.9117,-0.3533
1511639659477,251861,237932,-0.1091,-0.9097,-0.3553
1511639659497,251944,237976,-0.1091,-0.9077,-0.3553
1511639659517,252078,238021,-0.1111,-0.9087,-0.3523
1511639659537,252196,238072,-0.1111,-0.9107,-0.3553
1511639659557,252339,238118,-0.1141,-0.9147,-0.3553
1511639659577,252458,238173,-0.1131,-0.9127,-0.3543
1511639659597,252582,238196,-0.1161,-0.9127,-0.3533
1511639659617,252709,238270,-0.1151,-0.9157,-0.3533
1511639659637,252805,238284,-0.1101,-0.9157,-0.3563
1511639659657,252847,238330,-0.1121,-0.9127,-0.3593
1511639659678,252972,238372,-0.1071,-0.9137,-0.3653
1511639659698,252941,238365,-0.1121,-0.9147,-0.3553
1511639659718,252365,237895,-0.1141,-0.9177,-0.3513
1511639659737,250954,237367,-0.1111,-0.9177,-0.3523
1511639659758,250132,237175,-0.1111,-0.9117,-0.3563
1511639659778,249819,237076,-0.1101,-0.9127,-0.3563
1511639659797,249737,237081,-0.1121,-0.9137,-0.3563
1511639659818,249793,237106,-0.1121,-0.9117,-0.3543
1511639659837,249959,237178,-0.1091,-0.9117,-0.3503
1511639659858,250113,237252,-0.1131,-0.9157,-0.3543
1511639659878,250375,237391,-0.1091,-0.9187,-0.3583
1511639659898,250615,237482,-0.1111,-0.9167,-0.3593
1511639659919,250914,237650,-0.1201,-0.9197,-0.3543
1511639659938,251172,237678,-0.1181,-0.9147,-0.3513
1511639659958,251477,237793,-0.1161,-0.9157,-0.3523
1511639659979,251763,237935,-0.1161,-0.9167,-0.3513
1511639659998,251948,237976,-0.1101,-0.9157,-0.3523
1511639660018,252095,238075,-0.1111,-0.9147,-0.3523
1511639660039,252155,238094,-0.1101,-0.9187,-0.3533
1511639660058,252110,237962,-0.1111,-0.9137,-0.3493
1511639660078,251888,237891,-0.1081,-0.9137,-0.3483
1511639660099,251752,237919,-0.1071,-0.9167,-0.3543
1511639660119,251736,237897,-0.1071,-0.9157,-0.3493
1511639660138,251789,237866,-0.1091,-0.9167,-0.3513
1511639660159,251894,237991,-0.1121,-0.9157,-0.3533
1511639660179,251960,237961,-0.1121,-0.9157,-0.3533
1511639660199,252124,238060,-0.1081,-0.9177,-0.3473
1511639660219,252267,238106,-0.1111,-0.9207,-0.3393
1511639660379,252991,238455,-0.1101,-0.9157,-0.3513
1511639660399,253187,238426,-0.1111,-0.9097,-0.3523
1511639660419,253158,238476,-0.1181,-0.9107,-0.3513
1511639660439,253307,238475,-0.1201,-0.9117,-0.3553
1511639660459,253229,238490,-0.1111,-0.9227,-0.3593
1511639660479,253361,238573,-0.1061,-0.9328,-0.3543
1511639660500,253474,238639,-0.1101,-0.9308,-0.3533
1511639660519,253448,238558,-0.1131,-0.9207,-0.3503
1511639660540,253596,238638,-0.1171,-0.9097,-0.3503
1511639660560,253717,238652,-0.1171,-0.9037,-0.3543
1511639660580,253660,238647,-0.1141,-0.9077,-0.3603
1511639660599,253748,238626,-0.1091,-0.9087,-0.3573
1511639660620,253327,238324,-0.1091,-0.9087,-0.3513
1511639660640,251900,237767,-0.1091,-0.9107,-0.3503
1511639660660,250672,237380,-0.1121,-0.9077,-0.3523
1511639660680,250126,237222,-0.1141,-0.9117,-0.3593
1511639660700,249974,237176,-0.1141,-0.9147,-0.3653
1511639660720,250066,237248,-0.1101,-0.9137,-0.3703
1511639660740,250252,237347,-0.1101,-0.9037,-0.3623
1511639660760,250506,237371,-0.1171,-0.8997,-0.3613
1511639660780,250678,237525,-0.1181,-0.9047,-0.3593
1511639660799,251077,237655,-0.1201,-0.9007,-0.3583
1511639660820,251242,237755,-0.1151,-0.9037,-0.3653
1511639660840,251541,237869,-0.1131,-0.9087,-0.3663
1511639660860,251897,238004,-0.1141,-0.9157,-0.3603
1511639660881,252170,238080,-0.1161,-0.9227,-0.3543
1511639660900,252320,238126,-0.1161,-0.9248,-0.3463
1511639660921,252484,238180,-0.1161,-0.9238,-0.3453
1511639660940,252581,238185,-0.1151,-0.9258,-0.3463
1511639660961,252636,238224,-0.1161,-0.9217,-0.3503
1511639660981,252599,238161,-0.0851,-0.9238,-0.3903
1511639661001,252375,238131,-0.1131,-0.9398,-0.3303
1511639661021,252382,238145,-0.1301,-0.9238,-0.3493
1511639661040,252273,238085,-0.1281,-0.9268,-0.3653
1511639661061,252388,238145,-0.1231,-0.9328,-0.3453
1511639661081,252485,238204,-0.1171,-0.9268,-0.3443
1511639661101,252526,238198,-0.1171,-0.9177,-0.3463
1511639661121,252703,238336,-0.1151,-0.9167,-0.3413
1511639661140,252858,238236,-0.1121,-0.9187,-0.3483
1511639661161,252911,238306,-0.1371,-0.8887,-0.3523
1511639661182,252981,238431,-0.1261,-0.8907,-0.3473
1511639661201,253059,238403,-0.1291,-0.8987,-0.3613
1511639661221,253103,238424,-0.1231,-0.9017,-0.3473
1511639661242,253290,238541,-0.1231,-0.9127,-0.3353
1511639661261,253290,238480,-0.1241,-0.9147,-0.3433
1511639661281,253315,238493,-0.1241,-0.9197,-0.3433
1511639661302,253515,238573,-0.1261,-0.9177,-0.3403
1511639661321,253588,238535,-0.1211,-0.9137,-0.3423
1511639661341,253658,238560,-0.1181,-0.9177,-0.3413
1511639661362,253657,238642,-0.1181,-0.9227,-0.3473
1511639661512,250368,237459,-0.1131,-0.9107,-0.3423
1511639661532,250517,237464,-0.1171,-0.9147,-0.3403
1511639661552,250775,237604,-0.1171,-0.9167,-0.3443
1511639661571,251110,237697,-0.1171,-0.9167,-0.3403
1511639661592,251364,237911,-0.1161,-0.9147,-0.3403
1511639661612,251790,237910,-0.1181,-0.9157,-0.3413
1511639661632,251986,238036,-0.1181,-0.9217,-0.3463
1511639661653,252408,238178,-0.1151,-0.9238,-0.3513
1511639661672,252637,238194,-0.1161,-0.9227,-0.3463
1511639661692,252816,238276,-0.1171,-0.9207,-0.3453
1511639661713,252939,238393,-0.1161,-0.9167,-0.3453
1511639661732,252987,238389,-0.1131,-0.9177,-0.3463
1511639661752,253099,238351,-0.1181,-0.9127,-0.3463
1511639661772,253005,238386,-0.1221,-0.9157,-0.3483
1511639661792,252876,238289,-0.1201,-0.9167,-0.3453
1511639661813,252868,238327,-0.1231,-0.9167,-0.3443
1511639661833,252846,238267,-0.1281,-0.9167,-0.3573
1511639661852,252894,238274,-0.1251,-0.9117,-0.3483
1511639661872,252916,238330,-0.1231,-0.9137,-0.3443
1511639661894,252990,238413,-0.1201,-0.9167,-0.3503
1511639661913,253045,238443,-0.1141,-0.9147,-0.3413
1511639661933,253146,238410,-0.1161,-0.9248,-0.3433
1511639661953,253287,238524,-0.1161,-0.9217,-0.3463
1511639661973,253336,238518,-0.1221,-0.9217,-0.3503
1511639661993,253446,238482,-0.1181,-0.9137,-0.3413
1511639662014,253497,238641,-0.1181,-0.9097,-0.3433
1511639662033,253562,238607,-0.1211,-0.9107,-0.3513
1511639662053,253671,238610,-0.1241,-0.9127,-0.3483
1511639662074,253683,238689,-0.1261,-0.9147,-0.3383
1511639662093,253541,238501,-0.1311,-0.9217,-0.3173
1511639662113,252915,238083,-0.1511,-0.9328,-0.3113
1511639662133,251621,237665,-0.1441,-0.9197,-0.3473
1511639662154,250785,237488,-0.1341,-0.9187,-0.3583
1511639662173,250430,237356,-0.1311,-0.9318,-0.3463
1511639662193,250349,237344,-0.0621,-0.9708,-0.3943
1511639662213,250554,237415,-0.5044,-0.8457,0.1301
1511639662234,250676,237501,-0.1611,-0.8127,-0.1451
1511639662254,250874,237595,-0.2022,-0.8857,-0.1681
1511639662273,251234,237695,-0.1491,-0.9258,-0.2432
1511639662293,251484,237825,-0.1271,-0.9067,-0.3183
1511639662313,251815,237938,-0.1251,-0.9097,-0.3363
1511639662334,252178,238133,-0.1241,-0.9177,-0.3193
1511639662354,252421,238256,-0.1161,-0.9057,-0.3303
1511639662374,252724,238319,-0.1101,-0.9127,-0.3513
1511639662394,252820,238311,-0.1261,-0.9117,-0.3463
1511639662415,253036,238388,-0.1171,-0.9147,-0.3453
1511639662434,253028,238348,-0.1201,-0.9127,-0.3433
1511639662454,253064,238327,-0.1201,-0.9067,-0.3513
1511639662475,252969,238400,-0.1191,-0.9077,-0.3533
1511639662495,252958,238328,-0.1111,-0.9167,-0.3543
1511639662655,253179,238488,-0.1141,-0.9238,-0.3543
1511639662674,253285,238516,-0.1271,-0.9408,-0.3593
1511639662695,253415,238554,-0.1251,-0.9227,-0.3533
1511639662715,253433,238559,-0.1261,-0.9238,-0.3523
1511639662735,253607,238651,-0.1181,-0.9177,-0.3533
1511639662755,253537,238631,-0.1161,-0.9207,-0.3533
1511639662774,253636,238596,-0.1171,-0.9268,-0.3473
1511639662795,253349,238398,-0.1191,-0.9177,-0.3463
1511639662815,252123,237834,-0.1231,-0.9137,-0.3473
1511639662835,251055,237500,-0.1201,-0.9127,-0.3483
1511639662855,250598,237422,-0.1231,-0.9207,-0.3523
