"TIME","IR","RED","X","Y","Z"
1511643720547,234112,222112,0.8627,-0.5034,-0.1121
1511643720567,234168,222165,0.8647,-0.5024,-0.1081
1511643720587,234140,222144,0.8627,-0.5034,-0.1091
1511643720607,234118,222133,0.8627,-0.5024,-0.1071
1511643720628,234125,222233,0.8587,-0.5044,-0.1081
1511643720648,234098,222223,0.8567,-0.5024,-0.1051
1511643720667,234131,222204,0.8617,-0.5054,-0.1071
1511643720688,234165,222258,0.8577,-0.5024,-0.1101
1511643720708,234183,222267,0.8607,-0.4964,-0.1051
1511643720727,234212,222176,0.8647,-0.5014,-0.1081
1511643720748,234243,222297,0.8557,-0.5044,-0.1101
1511643720767,234289,222193,0.8637,-0.5044,-0.1091
1511643720788,234280,222232,0.8707,-0.5014,-0.1111
1511643720807,234378,222253,0.8697,-0.4994,-0.1151
1511643720828,234365,222303,0.8647,-0.4984,-0.1151
1511643720848,234318,222235,0.8607,-0.5014,-0.1161
1511643720868,234143,222144,0.8557,-0.5024,-0.1101
1511643720888,234048,222136,0.8577,-0.5014,-0.1141
1511643720908,233987,222086,0.8577,-0.5084,-0.1121
1511643720928,233992,222113,0.8597,-0.5064,-0.1121
1511643720948,234017,222115,0.8577,-0.5074,-0.1081
1511643720968,234042,222125,0.8587,-0.5074,-0.1111
1511643720988,234115,222148,0.8627,-0.5014,-0.1091
1511643721008,234181,222161,0.8637,-0.5044,-0.1131
1511643721028,234265,222181,0.8607,-0.5044,-0.1111
1511643721048,234322,222194,0.8587,-0.5054,-0.1101
1511643721068,234413,222254,0.8587,-0.5034,-0.1081
1511643721088,234447,222312,0.8627,-0.5024,-0.1051
1511643721108,234442,222277,0.8627,-0.5024,-0.1051
1511643721128,234454,222283,0.8587,-0.5014,-0.1101
1511643721149,234412,222314,0.8557,-0.5054,-0.1071
1511643721168,234419,222255,0.8637,-0.5024,-0.1011
1511643721189,234378,222300,0.8637,-0.5024,-0.0951
1511643721208,234389,222245,0.8717,-0.4974,-0.1031
1511643721228,234397,222193,0.8627,-0.4974,-0.1071
1511643721249,234423,222289,0.8607,-0.5054,-0.1011
1511643721269,234414,222256,0.8567,-0.5034,-0.1131
1511643721288,234445,222275,0.8627,-0.4994,-0.1141
1511643721308,234503,222314,0.8577,-0.4994,-0.1161
1511643721329,234515,222392,0.8587,-0.4984,-0.1131
1511643721349,234495,222325,0.8627,-0.4994,-0.1161
1511643721368,234505,222282,0.8657,-0.4974,-0.1161
1511643721388,234492,222269,0.8657,-0.5004,-0.1161
1511643721409,234398,222233,0.8597,-0.5024,-0.1141
1511643721429,234270,222222,0.8577,-0.5014,-0.1191
1511643721449,234228,222220,0.8597,-0.5044,-0.1151
1511643721468,234255,222218,0.8637,-0.5024,-0.1131
1511643721489,234256,222195,0.8627,-0.5004,-0.1131
1511643721509,234248,222217,0.8607,-0.4994,-0.1101
1511643721529,234340,222225,0.8627,-0.5014,-0.1121
1511643721679,234589,222338,0.8627,-0.5004,-0.1091
1511643721700,234582,222353,0.8647,-0.5034,-0.1091
1511643721720,234555,222338,0.8627,-0.5034,-0.1081
1511643721740,234525,222301,0.8627,-0.5014,-0.1161
1511643721760,234514,222324,0.8607,-0.5004,-0.1121
1511643721780,234560,222347,0.8597,-0.4954,-0.1061
1511643721800,234588,222358,0.8647,-0.4954,-0.1051
1511643721820,234611,222366,0.8647,-0.4964,-0.1031
1511643721840,234634,222379,0.8677,-0.4974,-0.1071
1511643721860,234654,222348,0.8637,-0.4974,-0.1101
1511643721880,234675,222355,0.8677,-0.4984,-0.1101
1511643721900,234707,222370,0.8677,-0.4984,-0.1091
1511643721920,234748,222398,0.8687,-0.4964,-0.1061
1511643721940,234779,222464,0.8667,-0.4984,-0.1081
1511643721960,234703,222315,0.8607,-0.5014,-0.1061
1511643721980,234623,222300,0.8567,-0.5054,-0.1061
1511643722001,234498,222328,0.8547,-0.5054,-0.1091
1511643722021,234434,222369,0.8587,-0.5024,-0.1101
1511643722040,234407,222341,0.8627,-0.5004,-0.1041
1511643722061,234444,222352,0.8637,-0.4994,-0.1081
1511643722081,234495,222361,0.8667,-0.5024,-0.1041
1511643722100,234522,222339,0.8707,-0.5014,-0.1061
1511643722121,234586,222364,0.8677,-0.4974,-0.1031
1511643722140,234636,222382,0.8637,-0.5004,-0.1051
1511643722161,234685,222409,0.8637,-0.4944,-0.1061
1511643722180,234747,222411,0.8587,-0.4954,-0.1051
1511643722200,234799,222400,0.8597,-0.4984,-0.1041
1511643722221,234836,222483,0.8587,-0.4964,-0.1011
1511643722240,234884,222451,0.8557,-0.4944,-0.1021
1511643722260,234848,222444,0.8587,-0.4964,-0.1081
1511643722280,234811,222407,0.8637,-0.5004,-0.1091
1511643722301,234780,222453,0.8677,-0.4954,-0.1051
1511643722321,234755,222495,0.8677,-0.4984,-0.1061
1511643722341,234753,222382,0.8627,-0.4934,-0.1091
1511643722361,234768,222386,0.8637,-0.4924,-0.1061
1511643722381,234782,222423,0.8617,-0.4954,-0.1091
1511643722400,234805,222424,0.8647,-0.4954,-0.1051
1511643722421,234837,222484,0.8647,-0.4964,-0.1021
1511643722441,234833,222425,0.8657,-0.4984,-0.0991
1511643722461,234898,222522,0.8697,-0.4924,-0.0891
1511643722481,234934,222504,0.8687,-0.5024,-0.0851
1511643722501,234878,222425,0.8607,-0.5094,-0.0841
1511643722522,234811,222455,0.8577,-0.5094,-0.0831
1511643722542,234682,222406,0.8597,-0.5074,-0.0761
1511643722562,234577,222348,0.8637,-0.5054,-0.0821
1511643722582,234548,222381,0.8607,-0.5034,-0.0921
1511643722602,234611,222378,0.8617,-0.5094,-0.0981
1511643722621,234579,222335,0.8687,-0.5104,-0.1031
1511643722642,234654,222463,0.8617,-0.5064,-0.1091
1511643722661,234728,222390,0.8627,-0.5084,-0.1141
1511643722812,234878,222470,0.8417,-0.5124,-0.0981
1511643722831,234891,222443,0.8507,-0.5164,-0.0991
1511643722852,234837,222474,0.8537,-0.5104,-0.1011
1511643722872,234814,222420,0.8497,-0.5074,-0.0981
1511643722892,234809,222467,0.8557,-0.5014,-0.1031
1511643722912,234880,222513,0.8557,-0.5014,-0.1001
1511643722932,234930,222477,0.8597,-0.5074,-0.1061
1511643722952,234946,222538,0.8587,-0.5034,-0.1031
1511643722973,234971,222501,0.8647,-0.5014,-0.1081
1511643722992,234999,222474,0.8687,-0.5024,-0.1061
1511643723012,235029,222493,0.8687,-0.5014,-0.1081
1511643723033,235044,222574,0.8687,-0.4984,-0.1031
1511643723053,235015,222525,0.8607,-0.5004,-0.0991
1511643723072,234884,222443,0.8627,-0.5024,-0.0941
1511643723092,234729,222387,0.8627,-0.5044,-0.0941
1511643723113,234716,222417,0.8607,-0.5044,-0.0901
1511643723132,234687,222386,0.8627,-0.5034,-0.0911
1511643723153,234722,222456,0.8627,-0.5064,-0.0921
1511643723172,234737,222403,0.8607,-0.5044,-0.0921
1511643723192,234756,222388,0.8617,-0.5094,-0.1001
1511643723212,234828,222423,0.8647,-0.5064,-0.0991
1511643723232,234918,222422,0.8647,-0.5064,-0.1011
1511643723252,234992,222440,0.8597,-0.5064,-0.0991
1511643723272,235034,222463,0.8597,-0.5074,-0.0991
1511643723292,235064,222476,0.8597,-0.5084,-0.0991
1511643723313,235119,222559,0.8607,-0.5064,-0.0981
1511643723333,235123,222609,0.8587,-0.5064,-0.0991
1511643723353,235098,222587,0.8607,-0.5094,-0.1031
1511643723373,235085,222607,0.8627,-0.5044,-0.1041
1511643723393,235017,222506,0.8647,-0.5014,-0.1041
1511643723413,235028,222456,0.8607,-0.5034,-0.1021
1511643723433,235041,222522,0.8597,-0.5024,-0.1041
1511643723452,235036,222521,0.8617,-0.5034,-0.1031
1511643723473,235052,222551,0.8617,-0.5024,-0.1021
1511643723494,235071,222590,0.8587,-0.5034,-0.0991
1511643723513,235084,222578,0.8577,-0.5014,-0.0991
1511643723533,235115,222541,0.8617,-0.5034,-0.1011
1511643723553,235146,222552,0.8657,-0.5014,-0.1001
1511643723573,235143,222535,0.8657,-0.5034,-0.1031
1511643723593,235127,222525,0.8597,-0.5024,-0.1011
1511643723613,235011,222500,0.8557,-0.5024,-0.0981
1511643723633,234866,222432,0.8547,-0.5124,-0.1001
