IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
231433.0,216130.0,0.3123,-0.5945,-0.7436,59.616635314814026,15.67079167024545,99.70645272143277,0.125
231497.0,216122.0,0.3173,-0.5935,-0.7456,80.1431335838663,14.172659949921268,97.39874368363016,
231502.0,216083.0,0.3203,-0.5845,-0.7326,71.49123239200478,13.94727838363067,97.9069911086987,
231506.0,216117.0,0.3233,-0.5745,-0.7176,65.94669201796698,14.5233653776499,95.03203830034136,
231545.0,216156.0,0.3163,-0.5815,-0.7136,75.19127205621513,14.36471406355012,98.17824961046163,
231547.0,216082.0,0.3253,-0.5945,-0.7256,81.2791171912086,14.633854674485566,98.90904693036315,
231594.0,216188.0,0.3253,-0.6105,-0.7336,62.83833816542426,13.934252300105332,98.55029119597184,
231608.0,216193.0,0.3263,-0.6175,-0.7266,73.1311837725605,13.232215961275836,97.7028478970641,
231680.0,216221.0,0.3283,-0.6235,-0.7286,73.66841583419394,17.946609531313918,99.29666066392355,
231734.0,216165.0,0.3263,-0.6295,-0.7286,73.71415046164114,12.712161453885827,97.18568896379456,
231688.0,216232.0,0.3293,-0.6245,-0.7146,77.36698199967996,14.086164148800586,98.94263177631284,
231662.0,216120.0,0.3273,-0.6195,-0.7116,65.07572429613536,12.512955255341703,97.70673489618432,
231434.0,216035.0,0.3253,-0.6245,-0.7076,67.74366287155155,14.55616985722338,97.07990354767433,
231304.0,216049.0,0.3223,-0.6115,-0.7006,73.13895424921573,13.981040246056235,96.49321079474785,
231241.0,216056.0,0.3283,-0.6165,-0.7076,78.30337492148873,,95.04876761583805,
231226.0,216041.0,0.3323,-0.6235,-0.7176,60.78554911538358,,97.63867658131953,
231192.0,215972.0,0.3353,-0.6215,-0.7186,65.85823280550649,,98.98442600211926,
231260.0,216014.0,0.3363,-0.6305,-0.7146,62.90794935394399,,91.99356175030354,
231305.0,216025.0,0.3343,-0.6285,-0.7096,65.14489296519743,,97.98375907304771,
231377.0,216008.0,0.3363,-0.6265,-0.7066,80.09953765542066,,97.20814329051947,
231410.0,215988.0,0.3393,-0.6315,-0.7066,72.96035726749143,,94.95776223476041,
231434.0,216049.0,0.3353,-0.6345,-0.7056,69.57477416344335,,98.68691268456982,
231497.0,216088.0,0.3373,-0.6465,-0.7316,79.42479567512657,,98.59631693421878,
231605.0,216110.0,0.3573,-0.6605,-0.7406,71.16010189107485,,99.2853233853921,
231625.0,216082.0,0.3543,-0.6575,-0.7376,75.18982064838613,,98.72391282406898,
231567.0,216097.0,0.3493,-0.6425,-0.7186,78.05110436573486,,99.05987007901217,
231535.0,216075.0,0.3263,-0.6405,-0.7186,59.72526326841778,,95.70237711669583,
231505.0,216159.0,0.3103,-0.6495,-0.7506,78.83279354077213,,97.21248811518258,
231476.0,216060.0,0.3233,-0.6395,-0.7466,78.86904631969627,,98.1376904867791,
231449.0,216055.0,0.3313,-0.6285,-0.7206,73.59251962418016,,96.9643506073813,
231495.0,216125.0,0.3253,-0.6255,-0.7146,77.52660188870074,,97.71754449896542,
231512.0,216087.0,0.2842,-0.6305,-0.7196,73.03437518245894,,98.52371464145507,
231533.0,216145.0,0.2492,-0.6265,-0.7486,83.92707079761443,,98.3145102685871,
231542.0,216153.0,0.2252,-0.6385,-0.7686,78.0404456825496,,99.14422529527596,
231612.0,216156.0,0.2172,-0.6335,-0.7656,56.76462629210611,,97.54585286970718,
231651.0,216188.0,0.2162,-0.6185,-0.7496,73.79202425840847,,99.13406055721856,
231667.0,216142.0,0.2092,-0.6155,-0.7366,73.2126960976016,,98.36303325501255,
231764.0,216219.0,0.1912,-0.6085,-0.7386,75.55958161692402,,87.73592874997067,
231769.0,216201.0,0.2042,-0.5955,-0.7306,79.84962684966861,,98.90563080122531,
231830.0,216256.0,0.2182,-0.5665,-0.6996,62.404528689357406,,96.75020705987595,
231739.0,216139.0,0.2212,-0.5785,-0.6896,61.05628659157244,,98.74762324239754,
231520.0,216051.0,0.2402,-0.5875,-0.6946,79.40977914756607,,98.01230320683632,
231344.0,216011.0,0.2542,-0.5885,-0.7106,60.33760584056896,,98.93916161083187,
231215.0,216061.0,0.2742,-0.5685,-0.6906,64.33092373994357,,96.82331951501371,
231197.0,215957.0,0.3002,-0.5665,-0.6876,67.73119486084963,,96.07664181127205,
231242.0,216075.0,0.3123,-0.5675,-0.6715,59.91509543170129,,96.64994050933402,
231287.0,215989.0,0.3333,-0.5765,-0.6786,72.13924781767705,,99.38795851264712,
231341.0,216098.0,0.3553,-0.5805,-0.6846,74.62442440415239,,97.1919689264373,
231345.0,216027.0,0.3653,-0.5725,-0.6475,68.06370922783546,,99.30237301261728,
