IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
252278.0,238253.0,-0.1121,-0.9217,-0.3463,84.22230003697092,17.746512569330683,99.03397678765805,0.010000000000000009
252265.0,238120.0,-0.1121,-0.9197,-0.3513,77.71931332422761,15.287495787535434,99.6195724977164,
252210.0,238096.0,-0.1121,-0.9157,-0.3533,75.6303471369292,15.014010096618694,99.87681101769003,
252051.0,238040.0,-0.1121,-0.9087,-0.3533,70.12624342213964,13.281773611107345,99.63492777484471,
251953.0,238009.0,-0.1121,-0.9087,-0.3473,69.89574451299265,12.487916482710705,99.8458943422506,
251864.0,238029.0,-0.1131,-0.9097,-0.3483,72.85609461740096,15.470238339666116,99.79478598912209,
251879.0,238005.0,-0.1091,-0.9157,-0.3463,79.4121036215686,14.605973764472171,99.78133113554397,
252009.0,238013.0,-0.1091,-0.9207,-0.3453,77.28434601455662,16.50765728290794,99.56655297455126,
252151.0,238085.0,-0.1091,-0.9227,-0.3503,75.4572270312166,17.141331745841256,99.69230390913226,
252287.0,238153.0,-0.1081,-0.9167,-0.3503,70.44730515646555,17.843349950409028,99.78972751953212,
252375.0,238192.0,-0.1161,-0.9167,-0.3513,71.84154089089729,13.833626493162916,99.75516190876047,
252528.0,238307.0,-0.1171,-0.9157,-0.3503,70.48415793469427,17.59852874834939,99.4621919403855,
252641.0,238327.0,-0.1111,-0.9167,-0.3503,70.53996263998911,15.387200627275494,99.82871511775085,
252780.0,238433.0,-0.1091,-0.9177,-0.3453,71.04266719577885,15.700803879154586,99.57307654053002,
252839.0,238341.0,-0.1101,-0.9207,-0.3493,75.33580593406124,16.38485083140717,99.658345496534,
252908.0,238317.0,-0.1091,-0.9207,-0.3483,75.93163831057932,,99.6283309315931,
252594.0,238164.0,-0.1091,-0.9147,-0.3483,77.37640247979084,,99.6972765335054,
251390.0,237534.0,-0.1101,-0.9127,-0.3473,77.05801225349505,,99.33811015005114,
250433.0,237233.0,-0.1111,-0.9157,-0.3483,69.96077982462694,,99.56330171208975,
250019.0,237163.0,-0.1101,-0.9187,-0.3543,65.21442815130827,,97.62218381358207,
249886.0,237142.0,-0.1061,-0.9137,-0.3563,77.35557301648815,,99.42960058167027,
249933.0,237133.0,-0.1121,-0.9157,-0.3553,71.05157820715648,,99.72149199835246,
250051.0,237245.0,-0.1091,-0.9157,-0.3533,68.21180247568428,,99.78790529383556,
250220.0,237328.0,-0.1071,-0.9177,-0.3493,66.71067653848685,,99.4124008792671,
250464.0,237419.0,-0.1041,-0.9157,-0.3493,75.07419104764313,,99.73791694657648,
250745.0,237532.0,-0.1061,-0.9137,-0.3523,81.72504492354955,,99.82671561715195,
251002.0,237735.0,-0.1091,-0.9177,-0.3573,79.78250068534336,,99.71806760305996,
251358.0,237840.0,-0.1081,-0.9147,-0.3553,83.44557478021362,,99.80802515469969,
251689.0,237963.0,-0.1101,-0.9097,-0.3543,73.27591666935527,,99.68488267229449,
251966.0,237966.0,-0.1141,-0.9097,-0.3533,70.7514175442365,,99.75193405271781,
252187.0,238188.0,-0.1141,-0.9127,-0.3553,82.00998647169604,,99.55488912357372,
252362.0,238230.0,-0.1151,-0.9187,-0.3563,80.17870070285377,,99.76498607136092,
252382.0,238216.0,-0.1101,-0.9167,-0.3543,77.86722940588719,,99.56268869295747,
252309.0,238125.0,-0.1101,-0.9147,-0.3543,77.71651876724125,,99.53665455992126,
252177.0,238087.0,-0.1121,-0.9157,-0.3543,73.10879082028426,,99.16320966064487,
251989.0,238025.0,-0.1111,-0.9127,-0.3533,64.44371793227921,,99.8130684804846,
251877.0,238020.0,-0.1111,-0.9137,-0.3533,79.10584361708753,,99.86928599059908,
251832.0,237972.0,-0.1101,-0.9157,-0.3563,78.34640966893761,,99.85586093969447,
251971.0,238052.0,-0.1101,-0.9177,-0.3593,80.10068424304833,,99.6853520047028,
252078.0,238145.0,-0.1101,-0.9137,-0.3543,82.65199825206352,,99.73203712543807,
252210.0,238189.0,-0.1131,-0.9117,-0.3553,85.5253083858783,,99.79687012045405,
252387.0,238247.0,-0.1111,-0.9107,-0.3503,70.99479971957405,,99.87316899698274,
252499.0,238231.0,-0.1131,-0.9137,-0.3503,72.53453341969922,,99.81698136477426,
252636.0,238323.0,-0.1141,-0.9127,-0.3533,73.49671805995118,,99.86093691583781,
