IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
234112.0,222112.0,0.8627,-0.5034,-0.1121,54.26198543986061,9.793104114512804,98.49556404486681,0.31166666666666665
234168.0,222165.0,0.8647,-0.5024,-0.1081,49.14281230294712,11.554344266281234,98.71328654767069,
234140.0,222144.0,0.8627,-0.5034,-0.1091,61.99347256921966,12.099815930009697,91.7260854888947,
234118.0,222133.0,0.8627,-0.5024,-0.1071,65.99286274549587,12.985257107221884,98.12173135162305,
234125.0,222233.0,0.8587,-0.5044,-0.1081,63.53058510304398,13.120159406639592,98.03757197204821,
234098.0,222223.0,0.8567,-0.5024,-0.1051,57.450517533116454,11.859121078863623,99.34982814887582,
234131.0,222204.0,0.8617,-0.5054,-0.1071,60.98395615143551,13.300707387983177,96.91204842744847,
234165.0,222258.0,0.8577,-0.5024,-0.1101,51.52456877466452,13.52881668793766,98.47250344560884,
234183.0,222267.0,0.8607,-0.4964,-0.1051,53.3101367426087,14.290865052391272,98.74415783622445,
234212.0,222176.0,0.8647,-0.5014,-0.1081,56.78094192518479,9.867891108608452,98.065131625634,
234243.0,222297.0,0.8557,-0.5044,-0.1101,54.461247816343544,13.906607038393755,98.62470782401734,
234289.0,222193.0,0.8637,-0.5044,-0.1091,60.041436015020075,,98.3682256346342,
234280.0,222232.0,0.8707,-0.5014,-0.1111,58.5742175176474,,95.05486661524455,
234378.0,222253.0,0.8697,-0.4994,-0.1151,53.14341002076399,,73.70654133021239,
234365.0,222303.0,0.8647,-0.4984,-0.1151,53.08543345680157,,94.62424314476038,
234318.0,222235.0,0.8607,-0.5014,-0.1161,46.957859482154326,,96.69139069890502,
234143.0,222144.0,0.8557,-0.5024,-0.1101,52.63246793284979,,93.58889855710252,
234048.0,222136.0,0.8577,-0.5014,-0.1141,55.17423204118277,,87.14250543974518,
233987.0,222086.0,0.8577,-0.5084,-0.1121,59.99993433927291,,93.28571275244279,
233992.0,222113.0,0.8597,-0.5064,-0.1121,51.331569920741536,,89.23384737334655,
234017.0,222115.0,0.8577,-0.5074,-0.1081,59.33315370224377,,94.79185682206757,
