IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
228628.0,207587.0,1.0549,-0.3533,0.023,54.70344095201351,14.55530436922885,99.76152279032704,0.20999999999999996
228701.0,207612.0,1.0398,-0.3783,-0.012,45.30725081645993,15.034317973997597,98.07898448422524,
228668.0,207545.0,1.0348,-0.3653,0.028,45.92737610093654,16.807705810455193,97.91174206577415,
228647.0,207554.0,1.0388,-0.3543,0.0681,53.7587189223489,15.88603030822011,70.13619468863742,
228616.0,207529.0,1.0308,-0.3273,0.1151,54.39953471147826,10.707596333461002,70.278915347673,
228591.0,207504.0,1.0168,-0.3253,0.1191,49.70667500216315,16.24635945930645,95.1475413523133,
228630.0,207573.0,1.0158,-0.3453,0.0991,62.5024903202577,16.522205786430728,96.35571606998388,
228631.0,207546.0,1.0248,-0.3323,0.1051,65.97286325236928,16.231004440763538,96.53070673291569,
228633.0,207599.0,1.0448,-0.3243,0.1181,54.01193550712312,12.332140970863893,96.38100838959765,
228632.0,207605.0,1.0378,-0.3032,0.1291,59.03118823731908,12.393327950013333,99.7238628890505,
228638.0,207504.0,1.0168,-0.3113,0.1261,49.125100031147824,14.395854666177181,98.07775616909376,
228684.0,207523.0,1.0108,-0.3363,0.1171,56.57783303676481,14.503658070985722,97.23116681068467,
228705.0,207594.0,1.0128,-0.3653,0.1031,64.53275948794449,15.398555531505286,90.41964147792292,
228698.0,207547.0,0.9998,-0.3533,0.1271,48.96053182420069,14.84338176791448,95.59047437066312,
228751.0,207577.0,1.0168,-0.3483,0.1271,56.78537119734519,,99.24033879387417,
228760.0,207540.0,1.1329,-0.3353,0.0951,52.96359165781888,,100.0,
228698.0,207567.0,1.212,-0.3323,0.1281,64.04140722269048,,88.31221033589475,
228591.0,207500.0,1.234,-0.3773,0.1141,64.37862925944496,,97.80631152575751,
228422.0,207470.0,1.1169,-0.4764,0.0981,68.88753186131073,,97.28428625547903,
228271.0,207424.0,0.9718,-0.4944,0.0751,72.80252725987633,,97.61524050807846,
228165.0,207398.0,0.9137,-0.4414,0.0691,54.307772342950706,,97.39571737396425,
228253.0,207419.0,0.9738,-0.3653,0.1401,48.746195981980314,,92.7243534631488,
228343.0,207504.0,1.0058,-0.2842,0.2772,51.694258839829175,,96.77255378093449,
228424.0,207391.0,0.9738,-0.2752,0.3633,62.476114545178255,,98.49817240040316,
228373.0,207494.0,0.9077,-0.4243,0.3022,64.23350139118665,,97.58848228154224,
228487.0,207469.0,0.8547,-0.6005,0.0941,50.068267328680534,,99.17242004037912,
228538.0,207518.0,0.7746,-0.6195,0.009,67.12323707885176,,98.92652905814634,
228697.0,207589.0,0.7326,-0.5394,0.057,69.0799571949191,,93.32556114274158,
228826.0,207525.0,0.7216,-0.4173,0.1621,56.24453064793736,,91.15907633404169,
228882.0,207660.0,0.7066,-0.3323,0.2292,69.58294912225477,,98.11069202880024,
228887.0,207570.0,0.6856,-0.2912,0.2452,64.51945633254937,,98.69094980728035,
228959.0,207679.0,0.6765,-0.2742,0.2522,63.4333608640914,,99.17588399003407,
228959.0,207526.0,0.6575,-0.2702,0.2512,70.41159144290779,,97.66900558314667,
228828.0,207547.0,0.6575,-0.2702,0.2542,72.56810954873302,,93.07340210071638,
228880.0,207606.0,0.6866,-0.2592,0.2582,64.44083819476468,,98.09105111836404,
228834.0,207491.0,0.7276,-0.2482,0.2832,77.96957873655415,,77.86257087328624,
228805.0,207536.0,0.7586,-0.2372,0.3233,63.4175466453317,,96.71903100035102,
228841.0,207633.0,0.7716,-0.2062,0.3633,44.750183563682235,,90.90973850064013,
228888.0,207504.0,0.7916,-0.2372,0.3563,55.561895736114494,,95.92110247387237,
228878.0,207542.0,0.8227,-0.2852,0.3393,37.437629797014225,,97.58643573640484,
228883.0,207590.0,0.8467,-0.2872,0.3523,54.96513763668353,,82.35848008858824,
228912.0,207656.0,0.8507,-0.2762,0.3783,61.189001417747434,,94.87296327013955,
228937.0,207572.0,0.8317,-0.2812,0.3833,49.38269667968607,,92.64611814636594,
228961.0,207659.0,0.8977,-0.3052,0.3243,66.8125662319257,,96.87178919706132,
229007.0,207631.0,0.9628,-0.3393,0.2872,67.41283092564562,,84.49414753769557,
228945.0,207575.0,0.9618,-0.3583,0.3042,63.67156605954877,,91.62833529548594,
