IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
253166.0,208566.0,-0.1912,-0.4414,-0.8817,86.44847367245131,10.988311753678762,99.6161146913718,0.4
253634.0,208714.0,-0.1912,-0.4334,-0.8747,87.10590946952235,12.86431789806856,99.58786681729865,
253848.0,208717.0,-0.1932,-0.4374,-0.8737,84.52113112001803,12.170756876708719,99.71148096541482,
253993.0,208697.0,-0.1952,-0.4434,-0.8777,89.17539173176371,13.619410757973736,99.65792378455416,
253982.0,208790.0,-0.1962,-0.4384,-0.8727,85.02892417916023,12.664387377254789,99.69650399761518,
253920.0,208790.0,-0.1932,-0.4404,-0.8777,89.33182947302964,13.57674984151664,99.76744787647819,
253992.0,208844.0,-0.1892,-0.4384,-0.8747,84.88355370965779,14.035144774862243,99.55877622102005,
254093.0,208818.0,-0.1892,-0.4374,-0.8737,87.8717037371096,11.338431711585068,99.70908541582374,
254399.0,208960.0,-0.1862,-0.4384,-0.8727,79.82642012607795,12.287519059955098,99.76242963234539,
254631.0,209012.0,-0.1892,-0.4344,-0.8727,86.01414638610319,11.418284902093205,99.63413755602454,
254885.0,209056.0,-0.1882,-0.4334,-0.8737,88.21386654600589,12.091589823266506,99.63054865119604,
255024.0,209087.0,-0.1922,-0.4344,-0.8787,86.5955057410429,10.919612372764213,99.58622803451073,
255209.0,209213.0,-0.1922,-0.4414,-0.8787,89.80997026559746,,99.67860373177278,
255334.0,209184.0,-0.1892,-0.4404,-0.8787,82.87728781226565,,99.78684506973646,
255372.0,209299.0,-0.1882,-0.4444,-0.8797,84.67300860712918,,99.93360364984274,
255410.0,209198.0,-0.1872,-0.4484,-0.8787,87.54957579209008,,99.65630974334445,
255479.0,209245.0,-0.1902,-0.4444,-0.8707,80.7877100849984,,99.72460358372528,
255546.0,209291.0,-0.1912,-0.4484,-0.8677,66.95356977970896,,99.6964712155366,
255592.0,209256.0,-0.1902,-0.4444,-0.8737,76.7826900921306,,99.71905239429564,
255595.0,209272.0,-0.1902,-0.4454,-0.8787,84.17702949955802,,99.67310116356369,
255319.0,209031.0,-0.1872,-0.4414,-0.8737,88.15649906440824,,99.46363638733857,
253172.0,208052.0,-0.1872,-0.4364,-0.8767,85.24433239947317,,99.70723371739459,
251097.0,207757.0,-0.1862,-0.4344,-0.8817,88.07420358382429,,99.77508157899612,
250431.0,207426.0,-0.1872,-0.4374,-0.8757,72.57928909072879,,99.74480771906833,
250167.0,207447.0,-0.1831,-0.4404,-0.8747,89.8556838836,,99.78365790189903,
250139.0,207416.0,-0.1841,-0.4444,-0.8767,81.48693449479387,,99.80960393966747,
250310.0,207536.0,-0.1811,-0.4474,-0.8757,68.09174278712776,,99.6183285776448,
250449.0,207516.0,-0.1852,-0.4444,-0.8707,80.0459666195026,,99.83389720721004,
250615.0,207637.0,-0.1872,-0.4444,-0.8697,83.70230809985657,,99.56948243835257,
250753.0,207616.0,-0.1882,-0.4444,-0.8737,77.99087190622289,,99.69859022671662,
251011.0,207794.0,-0.1922,-0.4504,-0.8747,76.05395211697999,,99.84145053966537,
251416.0,207940.0,-0.1912,-0.4484,-0.8777,77.97463870546108,,99.65295387717788,
252145.0,208240.0,-0.1872,-0.4454,-0.8767,68.45039020962301,,99.52022444748626,
252802.0,208339.0,-0.1872,-0.4404,-0.8777,79.04683623266452,,99.66529352148805,
253183.0,208470.0,-0.1882,-0.4444,-0.8737,72.2208343799856,,99.6347560448915,
253355.0,208584.0,-0.1912,-0.4444,-0.8677,81.14719391591643,,99.7069669951942,
253322.0,208507.0,-0.1852,-0.4454,-0.8667,77.16273048533347,,99.88795555165157,
253233.0,208528.0,-0.1872,-0.4464,-0.8677,79.71731111021379,,99.71609052500911,
253219.0,208520.0,-0.1892,-0.4484,-0.8707,79.88705727578399,,99.58461162572654,
253335.0,208660.0,-0.1912,-0.4474,-0.8697,78.19644930355886,,99.65614082879806,
253561.0,208693.0,-0.1892,-0.4444,-0.8727,78.46570293070675,,99.73243412621059,
253901.0,208747.0,-0.1882,-0.4474,-0.8727,81.34056666128072,,99.89751449823842,
254228.0,208786.0,-0.1872,-0.4434,-0.8727,79.58680453719327,,99.74033333532897,
254509.0,208961.0,-0.1852,-0.4414,-0.8727,84.10494986816349,,99.34368242377269,
254733.0,209016.0,-0.1862,-0.4414,-0.8747,83.15744957068281,,99.5850998432234,
254939.0,209037.0,-0.1892,-0.4414,-0.8767,85.65546734834956,,99.66949630395062,
255021.0,209065.0,-0.1922,-0.4424,-0.8757,78.25070795640043,,99.7224194602044,
255156.0,209084.0,-0.1892,-0.4394,-0.8807,84.14544978916032,,99.66024930612198,
255214.0,209126.0,-0.1892,-0.4394,-0.8767,81.35151018116687,,99.67219440229006,
255314.0,209150.0,-0.1882,-0.4424,-0.8767,85.19611614822232,,99.56025575920854,
250967.0,207573.0,-0.1862,-0.4474,-0.8747,77.9048690340542,,99.6450242179878,
250256.0,207356.0,-0.1872,-0.4454,-0.8707,87.89767431866464,,99.54676182337924,
249888.0,207360.0,-0.1892,-0.4444,-0.8687,85.41083195119218,,99.60497297816832,
249953.0,207317.0,-0.1902,-0.4434,-0.8697,89.7865832284422,,99.64941881860898,
249949.0,207379.0,-0.1872,-0.4424,-0.8707,83.90005636850483,,99.73827109874482,
250179.0,207420.0,-0.1801,-0.4474,-0.8727,82.60438398589653,,99.39529745744818,
250353.0,207415.0,-0.1841,-0.4454,-0.8687,82.32270217542084,,99.74877214809685,
250462.0,207547.0,-0.1872,-0.4444,-0.8717,82.9626809909549,,99.60266828220679,
