IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
248725.0,215878.0,-0.1691,-0.7526,-0.6195,63.877694678624856,13.121933036200238,99.8394147021283,0.0016666666666667052
248887.0,215900.0,-0.1671,-0.7516,-0.6215,64.834505651408,14.446006928497207,99.68843895394424,
248937.0,215944.0,-0.1661,-0.7506,-0.6215,65.55907334241647,15.592207030853974,99.91275320806608,
248931.0,215854.0,-0.1651,-0.7546,-0.6185,65.55765799033927,12.621438376178116,99.89300500787408,
249079.0,215919.0,-0.1671,-0.7586,-0.6205,64.59158438136821,14.93200630122954,99.95244481703375,
249200.0,215904.0,-0.1671,-0.7556,-0.6215,65.48944218332075,14.663441098026315,99.93203344226951,
249307.0,215964.0,-0.1651,-0.7526,-0.6215,64.74145199403885,12.473351073336937,99.7996560275561,
249332.0,216004.0,-0.1631,-0.7506,-0.6215,66.51319636015184,12.414156496751996,99.8421050440723,
249405.0,216068.0,-0.1631,-0.7536,-0.6225,64.69583435399471,16.02656640638707,99.8519378953617,
249479.0,216041.0,-0.1651,-0.7546,-0.6265,64.7639134308494,16.5327619421876,99.75964006870115,
249508.0,216019.0,-0.1631,-0.7526,-0.6245,64.95260902941006,13.59434981655254,99.78442704552779,
249546.0,216031.0,-0.1641,-0.7516,-0.6195,64.16169310621402,18.22721883519073,99.85073265698482,
249632.0,215997.0,-0.1631,-0.7526,-0.6215,64.47845555280267,16.798427391130854,99.94351711455168,
249635.0,216050.0,-0.1621,-0.7526,-0.6205,62.22410381219653,15.317735715818003,99.93119692499045,
249666.0,216071.0,-0.1651,-0.7526,-0.6245,60.92228472032343,13.299489233469,99.81184116267809,
249753.0,216067.0,-0.1651,-0.7526,-0.6235,60.119959876700534,,99.88226673903813,
249758.0,216080.0,-0.1651,-0.7566,-0.6245,63.302755617808984,,99.93606879823307,
249742.0,216076.0,-0.1661,-0.7546,-0.6265,62.91827084484565,,99.91647193166912,
249849.0,216094.0,-0.1681,-0.7546,-0.6215,61.716019248093474,,99.68519825192955,
249858.0,216139.0,-0.1641,-0.7536,-0.6205,63.48978868515532,,99.83424091042124,
249851.0,216070.0,-0.1651,-0.7536,-0.6215,63.10750836220886,,99.94244800161808,
249918.0,216145.0,-0.1641,-0.7546,-0.6195,59.54192693852078,,99.83641503790864,
249869.0,216059.0,-0.1661,-0.7556,-0.6195,64.01178695767993,,99.95665151337059,
249812.0,216055.0,-0.1651,-0.7556,-0.6195,62.1047619699937,,99.76393847975604,
249437.0,215915.0,-0.1641,-0.7516,-0.6195,64.3061108217892,,99.824735939223,
248983.0,215773.0,-0.1621,-0.7526,-0.6225,66.73058980792284,,99.9560203517753,
248504.0,215714.0,-0.1661,-0.7546,-0.6215,68.53852721535392,,99.92391279148502,
248405.0,215674.0,-0.1671,-0.7546,-0.6185,65.06957320762407,,99.93181487542526,
248246.0,215667.0,-0.1701,-0.7546,-0.6185,62.55702317215683,,99.722976233234,
248297.0,215639.0,-0.1641,-0.7526,-0.6205,61.95974618453181,,99.82860942382865,
248298.0,215648.0,-0.1681,-0.7506,-0.6255,64.77538624439336,,99.7029664869112,
248320.0,215673.0,-0.1671,-0.7506,-0.6215,65.96133389219919,,99.92931074194422,
248376.0,215687.0,-0.1661,-0.7556,-0.6185,62.65258095390941,,99.92784754488875,
248343.0,215636.0,-0.1661,-0.7566,-0.6175,65.15637816590494,,99.70626454132601,
248299.0,215669.0,-0.1661,-0.7566,-0.6175,64.50994741995684,,99.95052055812023,
248403.0,215751.0,-0.1691,-0.7556,-0.6285,64.68990259648726,,99.55133928440156,
248386.0,215733.0,-0.1691,-0.7556,-0.6285,64.1065384090403,,99.93513273092026,
248537.0,215783.0,-0.1641,-0.7546,-0.6205,63.843165377314016,,99.95549930435662,
248579.0,215835.0,-0.1641,-0.7546,-0.6205,62.219664689283675,,99.77897152894745,
248559.0,215727.0,-0.1651,-0.7526,-0.6175,63.69918181935267,,99.94470172130026,
248608.0,215781.0,-0.1651,-0.7526,-0.6145,61.475880062060256,,99.9407453501196,
248565.0,215742.0,-0.1601,-0.7566,-0.6185,61.50200979479721,,99.79448175338004,
248603.0,215775.0,-0.1591,-0.7556,-0.6155,63.84159410952047,,99.86417953452941,
248669.0,215744.0,-0.1651,-0.7586,-0.6145,68.1083372715224,,99.92913377913611,
248698.0,215835.0,-0.1641,-0.7556,-0.6155,75.90961711415704,,99.94457816700688,
248751.0,215798.0,-0.1651,-0.7536,-0.6175,71.52988713033676,,99.72948716453183,
248801.0,215807.0,-0.1681,-0.7536,-0.6185,67.19832977811,,99.95307953492483,
248863.0,215835.0,-0.1671,-0.7566,-0.6165,66.985278949459,,99.88486425364243,
248825.0,215836.0,-0.1641,-0.7536,-0.6225,65.0379987334954,,99.83725254097074,
249010.0,215918.0,-0.1651,-0.7526,-0.6215,65.57556086748372,,99.80640587756353,
249514.0,215994.0,-0.1631,-0.7546,-0.6185,67.73501171601765,,99.95475667343099,
249575.0,216012.0,-0.1671,-0.7566,-0.6185,69.45598496319538,,99.92085234187695,
249610.0,216038.0,-0.1651,-0.7526,-0.6195,66.9243497865887,,99.89110797262487,
249614.0,216043.0,-0.1651,-0.7536,-0.6205,64.0064056964379,,99.94670056924808,
249647.0,216055.0,-0.1661,-0.7526,-0.6225,67.5056935604752,,99.70486676852562,
249655.0,216027.0,-0.1671,-0.7516,-0.6195,69.21508403448362,,99.79411706736248,
249754.0,216112.0,-0.1671,-0.7536,-0.6205,68.92844853411069,,99.90713490562004,
249823.0,216059.0,-0.1621,-0.7526,-0.6205,73.62855849167669,,99.9477938704891,
249853.0,216183.0,-0.1661,-0.7516,-0.6195,73.21086536280117,,99.84489799211357,
249830.0,216075.0,-0.1621,-0.7516,-0.6205,76.3747453323875,,99.79126732744994,
249862.0,216089.0,-0.1631,-0.7566,-0.6215,76.55197152694082,,99.2068677798166,
249932.0,216107.0,-0.1651,-0.7576,-0.6175,73.83465068298554,,99.90562510033708,
249909.0,216032.0,-0.1631,-0.7566,-0.6195,70.00757713657639,,99.69740977477856,
249713.0,216008.0,-0.1651,-0.7556,-0.6185,70.33243091152754,,99.7637752280655,
249242.0,215812.0,-0.1601,-0.7536,-0.6195,71.68967266134554,,99.95608210315676,
248743.0,215729.0,-0.1601,-0.7556,-0.6205,67.85766617585327,,99.80966889928018,
248522.0,215739.0,-0.1621,-0.7566,-0.6185,70.23822592226645,,99.95558062424588,
248432.0,215635.0,-0.1621,-0.7556,-0.6135,76.5513603234622,,99.91268849696638,
248308.0,215669.0,-0.1651,-0.7546,-0.6205,68.6697919647411,,99.91796520137737,
248364.0,215637.0,-0.1641,-0.7546,-0.6225,67.91102560650273,,99.95686149478303,
248291.0,215646.0,-0.1611,-0.7546,-0.6195,69.75247985608853,,99.95551436402047,
248334.0,215688.0,-0.1601,-0.7536,-0.6205,69.68758806613492,,99.9342726641714,
248268.0,215638.0,-0.1611,-0.7546,-0.6165,68.58514058073598,,99.85880294234167,
248298.0,215728.0,-0.1611,-0.7576,-0.6155,67.45534708968287,,99.89931106051823,
248283.0,215660.0,-0.1591,-0.7536,-0.6205,,,99.95302237662193,
248413.0,215753.0,-0.1631,-0.7526,-0.6245,,,99.56680485102882,
248450.0,215744.0,-0.1621,-0.7526,-0.6225,,,99.9526405414211,
248503.0,215701.0,-0.1691,-0.7516,-0.6235,,,99.95622770949062,
248544.0,215725.0,-0.1671,-0.7486,-0.6205,,,99.9513590147676,
248583.0,215811.0,-0.1691,-0.7536,-0.6205,,,99.90390099573524,
248516.0,215731.0,-0.1671,-0.7536,-0.6205,,,99.9472521318469,
248596.0,215752.0,-0.1661,-0.7546,-0.6225,,,99.81522723729228,
248625.0,215716.0,-0.1681,-0.7536,-0.6175,,,99.95598369592746,
248582.0,215757.0,-0.1681,-0.7566,-0.6175,,,99.94359790840409,
248680.0,215808.0,-0.1681,-0.7566,-0.6195,,,99.91211211156482,
248765.0,215805.0,-0.1671,-0.7586,-0.6145,,,99.73813119906201,
248754.0,215812.0,-0.1641,-0.7546,-0.6215,,,99.88784779388793,
248912.0,215834.0,-0.1641,-0.7566,-0.6135,,,99.95330722689042,
248918.0,215832.0,-0.1661,-0.7546,-0.6175,,,99.88772306040426,
249038.0,215952.0,-0.1661,-0.7556,-0.6225,,,99.91757447348076,
249099.0,215907.0,-0.1651,-0.7546,-0.6215,,,97.22246301215489,
249234.0,215946.0,-0.1661,-0.7556,-0.6225,,,99.9152020688197,
249283.0,215982.0,-0.1661,-0.7556,-0.6215,,,99.91080508095231,
249349.0,216058.0,-0.1651,-0.7526,-0.6225,,,99.3324097426111,
249345.0,215955.0,-0.1641,-0.7536,-0.6235,,,99.86004794278504,
249456.0,216037.0,-0.1691,-0.7546,-0.6165,,,99.88812502627287,
249543.0,216043.0,-0.1671,-0.7576,-0.6235,,,99.95461294459035,
249563.0,216050.0,-0.1651,-0.7576,-0.6235,,,99.32644978699722,
249601.0,216040.0,-0.1651,-0.7556,-0.6235,,,99.95132351601957,
249642.0,216023.0,-0.1681,-0.7526,-0.6245,,,99.83932361737831,
249829.0,216159.0,-0.1611,-0.7526,-0.6215,,,99.8169426038189,
249825.0,216145.0,-0.1611,-0.7526,-0.6215,,,99.22457888975379,
249883.0,216202.0,-0.1621,-0.7576,-0.6205,,,99.9567778599465,
249893.0,216127.0,-0.1661,-0.7576,-0.6195,,,99.8396109842072,
249623.0,215999.0,-0.1641,-0.7556,-0.6175,,,99.95156029749896,
249276.0,215872.0,-0.1631,-0.7546,-0.6205,,,99.951959867816,
248695.0,215762.0,-0.1621,-0.7536,-0.6225,,,99.92817839966644,
248530.0,215758.0,-0.1761,-0.7626,-0.6055,,,99.94044422801228,
248408.0,215784.0,-0.1841,-0.7596,-0.6095,,,99.95687047729508,
248397.0,215698.0,-0.1671,-0.7566,-0.6135,,,99.91825882166337,
248424.0,215758.0,-0.1671,-0.7566,-0.6195,,,99.94571501514172,
248409.0,215767.0,-0.1711,-0.7566,-0.6215,,,99.79123638837791,
248441.0,215702.0,-0.1661,-0.7546,-0.6155,,,99.94018352397035,
248301.0,215680.0,-0.1701,-0.7536,-0.6195,,,99.95468655220326,
248366.0,215735.0,-0.1691,-0.7566,-0.6175,,,99.8739611225949,
248407.0,215724.0,-0.1671,-0.7536,-0.6215,,,99.93926853130178,
248509.0,215676.0,-0.1661,-0.7546,-0.6235,,,99.85491999903542,
248473.0,215734.0,-0.1671,-0.7566,-0.6225,,,99.9316490382121,
248537.0,215754.0,-0.1651,-0.7576,-0.6195,,,99.9229280909831,
