IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
248780.0,215730.0,0.9107,-0.3433,-0.2592,80.10053025958919,10.438442775867259,99.56994195183978,0.0050000000000000044
248783.0,215686.0,0.9077,-0.3383,-0.2542,79.05602497335946,11.810522834076803,99.27312547072187,
248877.0,215727.0,0.9137,-0.3413,-0.2592,79.89050134654556,9.49428678981533,99.55177130385076,
248978.0,215800.0,0.9157,-0.3393,-0.2622,82.77822269334237,13.349961165590452,98.82117253086601,
248963.0,215753.0,0.9157,-0.3403,-0.2592,78.09403261917114,14.260782628821906,99.42971113327036,
248979.0,215773.0,0.9127,-0.3403,-0.2592,81.84697258685966,14.997721127631527,99.57497117342302,
249012.0,215687.0,0.9107,-0.3453,-0.2602,85.4047166430976,16.678433942965917,99.69598190886965,
249058.0,215721.0,0.9077,-0.3473,-0.2582,81.2242125711918,13.759593947898349,99.85203412035808,
248980.0,215770.0,0.9147,-0.3523,-0.2622,86.3443093460249,11.682864927030781,99.28052899221433,
249129.0,215852.0,0.9147,-0.3493,-0.2572,87.59850309974915,12.337199012319475,99.24183221201667,
249346.0,215820.0,0.9167,-0.3483,-0.2602,88.75854246560225,16.298092069330472,99.1877324829698,
249448.0,215934.0,0.9167,-0.3513,-0.2632,84.23990076657807,11.391982416086357,99.00306696275979,
249530.0,215975.0,0.9127,-0.3503,-0.2622,82.18361503955478,,99.44518807012797,
249616.0,216029.0,0.9127,-0.3523,-0.2612,84.92450672653356,,99.25962203588676,
249740.0,216004.0,0.9117,-0.3533,-0.2592,85.5400041514312,,99.34268267768519,
249799.0,216018.0,0.9107,-0.3463,-0.2582,77.86168762638732,,99.04836158023367,
249936.0,216121.0,0.9127,-0.3433,-0.2542,87.43799825697407,,99.27590938642948,
250042.0,216111.0,0.9087,-0.3423,-0.2532,80.9163565543779,,98.86858346595554,
250093.0,216092.0,0.9127,-0.3423,-0.2482,83.38226007277254,,99.3311853144987,
250148.0,216230.0,0.9157,-0.3443,-0.2502,81.01139482345228,,99.06386659793199,
250286.0,216230.0,0.9177,-0.3413,-0.2502,78.76215202125356,,99.57476703202424,
250333.0,216287.0,0.9177,-0.3383,-0.2532,88.03460594869641,,99.20486205563019,
250399.0,216271.0,0.9157,-0.3373,-0.2542,87.55331873457212,,99.31706620922566,
250523.0,216323.0,0.9137,-0.3433,-0.2522,72.5222236262729,,99.46465652980959,
250634.0,216280.0,0.9137,-0.3413,-0.2532,79.25642588016362,,99.4361001437985,
250690.0,216347.0,0.9127,-0.3453,-0.2532,86.68618299232912,,99.19151029292189,
250844.0,216431.0,0.9107,-0.3403,-0.2542,84.81176249328544,,99.7663015611714,
250969.0,216487.0,0.9147,-0.3413,-0.2542,81.1763457947242,,99.44985554095976,
251173.0,216535.0,0.9137,-0.3383,-0.2532,82.13383670879662,,99.59193107304354,
251108.0,216464.0,0.9167,-0.3363,-0.2532,81.2919723341185,,99.73337604679713,
250727.0,216184.0,0.9157,-0.3413,-0.2512,81.38648207606336,,99.95603383282324,
249902.0,215863.0,0.9157,-0.3413,-0.2502,84.32429479519233,,99.69255460264802,
249102.0,215728.0,0.9147,-0.3363,-0.2462,77.97165234856948,,98.71502985820203,
248779.0,215699.0,0.9167,-0.3393,-0.2332,77.91417999828543,,99.5202630896132,
248807.0,215628.0,0.9177,-0.3473,-0.2512,68.79431081669826,,99.81381313464048,
248849.0,215737.0,0.9137,-0.3463,-0.2532,69.99456470839495,,99.54192658439734,
248899.0,215729.0,0.9127,-0.3333,-0.2472,72.5936498358199,,98.42682251239277,
249044.0,215811.0,0.9177,-0.3383,-0.2552,63.567318176718615,,99.56486680553567,
249139.0,215772.0,0.9217,-0.3283,-0.2442,74.05841151058956,,99.8155711765282,
249017.0,215771.0,0.9197,-0.3353,-0.2542,53.77545041822888,,99.1377624128275,
249242.0,215782.0,0.9207,-0.3403,-0.2552,87.93770384203188,,99.25049602164785,
