"TIME","IR","RED","X","Y","Z"
1511825946928,248725,215878,-0.1691,-0.7526,-0.6195
1511825946948,248887,215900,-0.1671,-0.7516,-0.6215
1511825946968,248937,215944,-0.1661,-0.7506,-0.6215
1511825946987,248931,215854,-0.1651,-0.7546,-0.6185
1511825947007,249079,215919,-0.1671,-0.7586,-0.6205
1511825947027,249200,215904,-0.1671,-0.7556,-0.6215
1511825947048,249307,215964,-0.1651,-0.7526,-0.6215
1511825947068,249332,216004,-0.1631,-0.7506,-0.6215
1511825947088,249405,216068,-0.1631,-0.7536,-0.6225
1511825947108,249479,216041,-0.1651,-0.7546,-0.6265
1511825947128,249508,216019,-0.1631,-0.7526,-0.6245
1511825947148,249546,216031,-0.1641,-0.7516,-0.6195
1511825947167,249632,215997,-0.1631,-0.7526,-0.6215
1511825947188,249635,216050,-0.1621,-0.7526,-0.6205
1511825947208,249666,216071,-0.1651,-0.7526,-0.6245
1511825947228,249753,216067,-0.1651,-0.7526,-0.6235
1511825947248,249758,216080,-0.1651,-0.7566,-0.6245
1511825947268,249742,216076,-0.1661,-0.7546,-0.6265
1511825947288,249849,216094,-0.1681,-0.7546,-0.6215
1511825947309,249858,216139,-0.1641,-0.7536,-0.6205
1511825947328,249851,216070,-0.1651,-0.7536,-0.6215
1511825947349,249918,216145,-0.1641,-0.7546,-0.6195
1511825947369,249869,216059,-0.1661,-0.7556,-0.6195
1511825947388,249812,216055,-0.1651,-0.7556,-0.6195
1511825947408,249437,215915,-0.1641,-0.7516,-0.6195
1511825947428,248983,215773,-0.1621,-0.7526,-0.6225
1511825947448,248504,215714,-0.1661,-0.7546,-0.6215
1511825947468,248405,215674,-0.1671,-0.7546,-0.6185
1511825947488,248246,215667,-0.1701,-0.7546,-0.6185
1511825947508,248297,215639,-0.1641,-0.7526,-0.6205
1511825947528,248298,215648,-0.1681,-0.7506,-0.6255
1511825947549,248320,215673,-0.1671,-0.7506,-0.6215
1511825947568,248376,215687,-0.1661,-0.7556,-0.6185
1511825947588,248343,215636,-0.1661,-0.7566,-0.6175
1511825947609,248299,215669,-0.1661,-0.7566,-0.6175
1511825947629,248403,215751,-0.1691,-0.7556,-0.6285
1511825947649,248386,215733,-0.1691,-0.7556,-0.6285
1511825947669,248537,215783,-0.1641,-0.7546,-0.6205
1511825947689,248579,215835,-0.1641,-0.7546,-0.6205
1511825947709,248559,215727,-0.1651,-0.7526,-0.6175
1511825947729,248608,215781,-0.1651,-0.7526,-0.6145
1511825947749,248565,215742,-0.1601,-0.7566,-0.6185
1511825947769,248603,215775,-0.1591,-0.7556,-0.6155
1511825947789,248669,215744,-0.1651,-0.7586,-0.6145
1511825947810,248698,215835,-0.1641,-0.7556,-0.6155
1511825947829,248751,215798,-0.1651,-0.7536,-0.6175
1511825947849,248801,215807,-0.1681,-0.7536,-0.6185
1511825947869,248863,215835,-0.1671,-0.7566,-0.6165
1511825947889,248825,215836,-0.1641,-0.7536,-0.6225
1511825947910,249010,215918,-0.1651,-0.7526,-0.6215
1511825948070,249514,215994,-0.1631,-0.7546,-0.6185
1511825948090,249575,216012,-0.1671,-0.7566,-0.6185
1511825948111,249610,216038,-0.1651,-0.7526,-0.6195
1511825948130,249614,216043,-0.1651,-0.7536,-0.6205
1511825948150,249647,216055,-0.1661,-0.7526,-0.6225
1511825948170,249655,216027,-0.1671,-0.7516,-0.6195
1511825948190,249754,216112,-0.1671,-0.7536,-0.6205
1511825948210,249823,216059,-0.1621,-0.7526,-0.6205
1511825948231,249853,216183,-0.1661,-0.7516,-0.6195
1511825948250,249830,216075,-0.1621,-0.7516,-0.6205
1511825948270,249862,216089,-0.1631,-0.7566,-0.6215
1511825948290,249932,216107,-0.1651,-0.7576,-0.6175
1511825948310,249909,216032,-0.1631,-0.7566,-0.6195
1511825948331,249713,216008,-0.1651,-0.7556,-0.6185
1511825948350,249242,215812,-0.1601,-0.7536,-0.6195
1511825948370,248743,215729,-0.1601,-0.7556,-0.6205
1511825948391,248522,215739,-0.1621,-0.7566,-0.6185
1511825948410,248432,215635,-0.1621,-0.7556,-0.6135
1511825948430,248308,215669,-0.1651,-0.7546,-0.6205
1511825948452,248364,215637,-0.1641,-0.7546,-0.6225
1511825948471,248291,215646,-0.1611,-0.7546,-0.6195
1511825948491,248334,215688,-0.1601,-0.7536,-0.6205
1511825948510,248268,215638,-0.1611,-0.7546,-0.6165
1511825948531,248298,215728,-0.1611,-0.7576,-0.6155
1511825948550,248283,215660,-0.1591,-0.7536,-0.6205
1511825948571,248413,215753,-0.1631,-0.7526,-0.6245
1511825948591,248450,215744,-0.1621,-0.7526,-0.6225
1511825948611,248503,215701,-0.1691,-0.7516,-0.6235
1511825948631,248544,215725,-0.1671,-0.7486,-0.6205
1511825948651,248583,215811,-0.1691,-0.7536,-0.6205
1511825948671,248516,215731,-0.1671,-0.7536,-0.6205
1511825948691,248596,215752,-0.1661,-0.7546,-0.6225
1511825948711,248625,215716,-0.1681,-0.7536,-0.6175
1511825948731,248582,215757,-0.1681,-0.7566,-0.6175
1511825948751,248680,215808,-0.1681,-0.7566,-0.6195
1511825948771,248765,215805,-0.1671,-0.7586,-0.6145
1511825948791,248754,215812,-0.1641,-0.7546,-0.6215
1511825948811,248912,215834,-0.1641,-0.7566,-0.6135
1511825948831,248918,215832,-0.1661,-0.7546,-0.6175
1511825948852,249038,215952,-0.1661,-0.7556,-0.6225
1511825948871,249099,215907,-0.1651,-0.7546,-0.6215
1511825948891,249234,215946,-0.1661,-0.7556,-0.6225
1511825948912,249283,215982,-0.1661,-0.7556,-0.6215
1511825948932,249349,216058,-0.1651,-0.7526,-0.6225
1511825948951,249345,215955,-0.1641,-0.7536,-0.6235
1511825948971,249456,216037,-0.1691,-0.7546,-0.6165
1511825948992,249543,216043,-0.1671,-0.7576,-0.6235
1511825949012,249563,216050,-0.1651,-0.7576,-0.6235
1511825949032,249601,216040,-0.1651,-0.7556,-0.6235
1511825949051,249642,216023,-0.1681,-0.7526,-0.6245
1511825949203,249829,216159,-0.1611,-0.7526,-0.6215
1511825949222,249825,216145,-0.1611,-0.7526,-0.6215
1511825949243,249883,216202,-0.1621,-0.7576,-0.6205
1511825949263,249893,216127,-0.1661,-0.7576,-0.6195
1511825949282,249623,215999,-0.1641,-0.7556,-0.6175
1511825949302,249276,215872,-0.1631,-0.7546,-0.6205
1511825949322,248695,215762,-0.1621,-0.7536,-0.6225
1511825949343,248530,215758,-0.1761,-0.7626,-0.6055
1511825949363,248408,215784,-0.1841,-0.7596,-0.6095
1511825949382,248397,215698,-0.1671,-0.7566,-0.6135
1511825949403,248424,215758,-0.1671,-0.7566,-0.6195
1511825949423,248409,215767,-0.1711,-0.7566,-0.6215
1511825949442,248441,215702,-0.1661,-0.7546,-0.6155
1511825949463,248301,215680,-0.1701,-0.7536,-0.6195
1511825949482,248366,215735,-0.1691,-0.7566,-0.6175
1511825949503,248407,215724,-0.1671,-0.7536,-0.6215
1511825949522,248509,215676,-0.1661,-0.7546,-0.6235
1511825949543,248473,215734,-0.1671,-0.7566,-0.6225
1511825949563,248537,215754,-0.1651,-0.7576,-0.6195
1511825949583,248662,215839,-0.1661,-0.7566,-0.6165
1511825949603,248642,215743,-0.1681,-0.7536,-0.6175
1511825949622,248648,215767,-0.1691,-0.7526,-0.6235
1511825949643,248600,215748,-0.1661,-0.7516,-0.6235
1511825949663,248588,215768,-0.1691,-0.7506,-0.6195
1511825949684,248679,215815,-0.1721,-0.7506,-0.6205
1511825949703,248679,215779,-0.1701,-0.7546,-0.6235
1511825949723,248782,215786,-0.1671,-0.7546,-0.6245
1511825949743,248868,215839,-0.1691,-0.7526,-0.6235
