"TIME","IR","RED","X","Y","Z"
1511823704710,226878,208469,0.9338,-0.2522,0.06
1511823704730,227010,208504,0.8807,-0.2492,0.0721
1511823704750,227150,208528,0.8377,-0.2522,0.0821
1511823704770,227263,208578,0.8187,-0.2512,0.0901
1511823704790,227366,208608,0.8137,-0.2562,0.0891
1511823704810,227441,208674,0.8117,-0.2632,0.0821
1511823704830,227588,208708,0.8267,-0.2682,0.0831
1511823704851,227728,208778,0.8587,-0.2752,0.0921
1511823704870,227755,208759,0.9057,-0.2772,0.1031
1511823704890,227869,208842,0.9448,-0.3072,0.1011
1511823704910,227811,208693,0.9678,-0.3443,0.0991
1511823704930,227352,208497,0.9768,-0.3863,0.1051
1511823704951,226899,208391,0.9758,-0.4344,0.0961
1511823704970,226529,208219,0.9888,-0.4684,0.0741
1511823704991,226291,208177,0.9948,-0.4964,0.051
1511823705010,226236,208132,0.9928,-0.5114,0.033
1511823705031,226324,208259,0.9848,-0.5174,0.032
1511823705051,226378,208246,0.9838,-0.5124,0.046
1511823705070,226482,208214,0.9638,-0.4874,0.056
1511823705091,226494,208363,0.9398,-0.4794,0.0701
1511823705111,226539,208299,0.9177,-0.4704,0.0631
1511823705130,226689,208330,0.9037,-0.4734,0.056
1511823705151,226747,208430,0.8897,-0.4764,0.035
1511823705172,226742,208437,0.8757,-0.4724,0.028
1511823705192,226854,208395,0.8657,-0.4704,0.017
1511823705211,226942,208462,0.8597,-0.4644,0.011
1511823705231,226918,208434,0.8557,-0.4584,0.006
1511823705251,226982,208466,0.8637,-0.4624,-0.01
1511823705272,227009,208503,0.8817,-0.4664,-0.03
1511823705291,227094,208495,0.9067,-0.4734,-0.042
1511823705311,227210,208542,0.9328,-0.4704,-0.05
1511823705332,227230,208573,0.9628,-0.4564,-0.04
1511823705351,227361,208607,0.9768,-0.4324,-0.022
1511823705371,227322,208607,0.9958,-0.4123,-0.007
1511823705391,227447,208643,1.0318,-0.3913,0.024
1511823705412,227438,208686,1.0118,-0.3843,0.039
1511823705432,227463,208694,0.9618,-0.3853,0.049
1511823705452,227521,208687,0.9278,-0.3733,0.054
1511823705471,227654,208701,0.9338,-0.3643,0.055
1511823705493,227704,208730,0.9678,-0.3483,0.051
1511823705513,227781,208787,0.9928,-0.3453,0.053
1511823705532,227603,208595,0.9878,-0.3513,0.045
1511823705552,227195,208403,0.9608,-0.3473,0.037
1511823705572,226811,208225,0.9318,-0.3293,0.038
1511823705594,226527,208220,0.9217,-0.2972,0.036
1511823705612,226414,208184,0.9207,-0.2752,0.044
1511823705632,226435,208199,0.9278,-0.2572,0.044
1511823705652,226543,208266,0.9418,-0.2582,0.035
1511823705672,226633,208231,0.9618,-0.2742,0.019
1511823705693,226646,208361,0.9778,-0.2992,-0.013
1511823705833,227019,208477,0.9498,-0.3373,-0.039
