"TIME","IR","RED","X","Y","Z"
1512070758073,238582,234085,0.7546,-0.5805,0.3103
1512070758094,238608,234151,0.7536,-0.5805,0.3093
1512070758114,238655,234160,0.7596,-0.5855,0.3083
1512070758134,238708,234169,0.7596,-0.5875,0.3133
1512070758154,238784,234139,0.7606,-0.5905,0.3143
1512070758174,238802,234165,0.7596,-0.5895,0.3123
1512070758194,238842,234242,0.7606,-0.5925,0.3113
1512070758213,239049,234236,0.7596,-0.5945,0.3103
1512070758235,239080,234281,0.7626,-0.5935,0.3103
1512070758254,239125,234211,0.7616,-0.5905,0.3083
1512070758274,239142,234237,0.7586,-0.5885,0.3083
1512070758294,239154,234284,0.7596,-0.5895,0.3143
1512070758314,239149,234281,0.7606,-0.5845,0.3133
1512070758335,239249,234389,0.7596,-0.5845,0.3083
1512070758355,239322,234401,0.7606,-0.5885,0.3083
1512070758374,239381,234333,0.7566,-0.5935,0.3113
1512070758394,239387,234323,0.7556,-0.5905,0.3083
1512070758414,239452,234355,0.7576,-0.5905,0.3103
1512070758434,239501,234386,0.7596,-0.5925,0.3103
1512070758454,239531,234384,0.7566,-0.5885,0.3103
1512070758474,239606,234438,0.7596,-0.5905,0.3133
1512070758494,239619,234442,0.7606,-0.5865,0.3123
1512070758514,239667,234487,0.7546,-0.5895,0.3163
1512070758534,239772,234513,0.7576,-0.5895,0.3123
1512070758555,239804,234573,0.7606,-0.5935,0.3072
1512070758575,239734,234520,0.7616,-0.5905,0.3083
1512070758595,239828,234600,0.7606,-0.5895,0.3052
1512070758614,239891,234546,0.7616,-0.5865,0.3032
1512070758635,239947,234594,0.7596,-0.5875,0.3093
1512070758655,240032,234655,0.7596,-0.5865,0.3072
1512070758675,240074,234589,0.7546,-0.5905,0.3083
1512070758695,240082,234666,0.7516,-0.5915,0.3103
1512070758715,240023,234615,0.7536,-0.5875,0.3093
1512070758735,240060,234595,0.7586,-0.5855,0.3093
1512070758755,239877,234429,0.7596,-0.5875,0.3032
1512070758775,239386,234302,0.7566,-0.5895,0.3083
1512070758796,239154,234297,0.7546,-0.5865,0.3103
