"TIME","IR","RED","X","Y","Z"
1512071865511,243625,236280,-0.0761,-0.9808,-0.02
1512071865532,243807,236315,-0.0771,-0.9798,-0.019
1512071865551,243976,236367,-0.0751,-0.9818,-0.018
1512071865572,244102,236450,-0.0731,-0.9798,-0.013
1512071865591,244347,236538,-0.0711,-0.9838,-0.019
1512071865611,244567,236564,-0.0751,-0.9888,-0.012
1512071865631,244710,236603,-0.0751,-0.9868,-0.015
1512071865652,244849,236724,-0.0771,-0.9818,-0.017
1512071865672,245050,236831,-0.0781,-0.9828,-0.019
1512071865691,245207,236858,-0.0771,-0.9838,-0.018
1512071865712,245455,236941,-0.0771,-0.9838,-0.018
1512071865732,245580,237052,-0.0791,-0.9838,-0.022
1512071865752,245725,237143,-0.0731,-0.9838,-0.02
1512071865772,245869,237103,-0.0691,-0.9838,-0.02
1512071865792,246004,237225,-0.0701,-0.9838,-0.014
1512071865812,246131,237291,-0.0791,-0.9828,-0.013
1512071865832,246233,237262,-0.0841,-0.9858,-0.024
1512071865852,246320,237302,-0.0811,-0.9838,-0.027
1512071865872,246438,237362,-0.0821,-0.9858,-0.018
1512071865892,246539,237412,-0.0731,-0.9808,-0.018
1512071865912,246639,237414,-0.0701,-0.9808,-0.021
1512071865932,246104,236952,-0.0731,-0.9878,-0.02
1512071865952,244529,236270,-0.0711,-0.9918,-0.017
1512071865972,243429,235971,-0.0711,-0.9888,-0.016
1512071865992,242867,235854,-0.0741,-0.9858,-0.016
1512071866013,242841,235966,-0.0761,-0.9868,-0.018
1512071866032,243000,235900,-0.0751,-0.9808,-0.021
1512071866052,243179,236016,-0.0781,-0.9848,-0.023
1512071866072,243434,236132,-0.0781,-0.9828,-0.017
1512071866093,243689,236306,-0.0741,-0.9828,-0.017
1512071866112,243954,236270,-0.0721,-0.9858,-0.018
1512071866133,244076,236388,-0.0721,-0.9838,-0.018
1512071866153,244220,236491,-0.0731,-0.9838,-0.016
1512071866173,244271,236502,-0.0711,-0.9868,-0.023
1512071866193,244461,236538,-0.0711,-0.9848,-0.02
1512071866213,244647,236690,-0.0761,-0.9828,-0.015
1512071866232,244780,236678,-0.0771,-0.9838,-0.015
1512071866253,244730,236651,-0.0771,-0.9798,-0.016
1512071866275,244633,236690,-0.0811,-0.9808,-0.021
1512071866293,244360,236497,-0.0781,-0.9828,-0.022
1512071866313,244301,236477,-0.0821,-0.9828,-0.025
1512071866333,244315,236578,-0.0801,-0.9848,-0.018
1512071866353,244334,236537,-0.0751,-0.9848,-0.016
1512071866373,244481,236555,-0.0761,-0.9848,-0.019
1512071866393,244648,236647,-0.0741,-0.9848,-0.024
1512071866414,244862,236784,-0.0741,-0.9818,-0.024
1512071866434,245053,236837,-0.0751,-0.9818,-0.017
1512071866454,245227,236929,-0.0751,-0.9818,-0.02
1512071866473,245366,236942,-0.0751,-0.9848,-0.021
1512071866493,245501,236986,-0.0771,-0.9858,-0.018
1512071866674,246650,237480,-0.0761,-0.9818,-0.021
1512071866694,246753,237553,-0.0751,-0.9838,-0.018
1512071866714,246877,237599,-0.0761,-0.9848,-0.014
1512071866734,246911,237610,-0.0741,-0.9838,-0.013
1512071866754,247106,237709,-0.0731,-0.9808,-0.02
1512071866774,247048,237478,-0.0721,-0.9848,-0.021
1512071866794,245846,236861,-0.0761,-0.9888,-0.02
1512071866815,244566,236516,-0.0761,-0.9898,-0.016
1512071866835,243821,236259,-0.0781,-0.9848,-0.015
1512071866855,243460,236223,-0.0801,-0.9798,-0.017
1512071866875,243517,236202,-0.0801,-0.9808,-0.018
1512071866896,243649,236281,-0.0811,-0.9828,-0.015
1512071866915,243937,236355,-0.0781,-0.9818,-0.014
1512071866935,244208,236492,-0.0761,-0.9808,-0.02
1512071866955,244424,236553,-0.0761,-0.9818,-0.021
1512071866974,244649,236609,-0.0771,-0.9848,-0.022
1512071866995,244813,236758,-0.0741,-0.9868,-0.02
1512071867016,244982,236785,-0.0731,-0.9848,-0.018
1512071867036,245103,236876,-0.0721,-0.9818,-0.019
1512071867056,245262,236953,-0.0711,-0.9808,-0.018
1512071867076,245449,236978,-0.0741,-0.9828,-0.023
1512071867096,245440,236989,-0.0771,-0.9848,-0.019
1512071867115,245320,236899,-0.0751,-0.9858,-0.022
1512071867136,245209,236894,-0.0731,-0.9848,-0.019
1512071867155,245121,236763,-0.0691,-0.9828,-0.015
1512071867176,245049,236877,-0.0701,-0.9818,-0.019
