"TIME","IR","RED","X","Y","Z"
1512072787885,231383,226594,0.9388,-0.3603,0.1041
1512072787906,231422,226635,0.9378,-0.3633,0.0991
1512072787925,231394,226595,0.9308,-0.3653,0.1071
1512072787945,231325,226563,0.9338,-0.3653,0.1121
1512072787966,231281,226623,0.9358,-0.3623,0.1121
1512072787985,231311,226482,0.9328,-0.3593,0.1081
1512072788005,231334,226496,0.9338,-0.3633,0.1041
1512072788025,231276,226558,0.9368,-0.3593,0.1041
1512072788046,231325,226605,0.9388,-0.3583,0.1101
1512072788066,231398,226646,0.9358,-0.3563,0.1151
1512072788085,231491,226568,0.9388,-0.3553,0.1111
1512072788105,231569,226607,0.9408,-0.3573,0.1091
1512072788125,231626,226672,0.9398,-0.3563,0.1141
1512072788145,231600,226619,0.9378,-0.3573,0.1121
1512072788166,231621,226681,0.9428,-0.3543,0.1151
1512072788186,231631,226702,0.9388,-0.3563,0.1151
1512072788206,231686,226707,0.9418,-0.3573,0.1151
1512072788226,231758,226764,0.9428,-0.3543,0.1121
1512072788245,231856,226719,0.9398,-0.3553,0.1141
1512072788266,231828,226733,0.9368,-0.3523,0.1131
1512072788285,231884,226730,0.9368,-0.3563,0.1141
1512072788305,231947,226715,0.9398,-0.3653,0.1081
1512072788328,231894,226755,0.9438,-0.3653,0.1061
1512072788346,231835,226787,0.9388,-0.3663,0.1101
1512072788366,231881,226777,0.9318,-0.3643,0.1141
1512072788386,231963,226817,0.9338,-0.3633,0.1111
1512072788406,231971,226814,0.9318,-0.3633,0.1121
1512072788427,232094,226894,0.9378,-0.3583,0.1111
1512072788446,232142,226885,0.9428,-0.3623,0.1091
1512072788466,232233,226850,0.9478,-0.3593,0.1081
1512072788487,232191,226913,0.9468,-0.3603,0.1041
1512072788507,231862,226713,0.9458,-0.3643,0.1021
1512072788526,231307,226489,0.9378,-0.3583,0.1061
1512072788547,230871,226360,0.9358,-0.3563,0.1161
1512072788567,230850,226393,0.9328,-0.3553,0.1201
1512072788587,230822,226423,0.9388,-0.3563,0.1181
1512072788607,230897,226523,0.9418,-0.3523,0.1141
1512072788627,231005,226468,0.9418,-0.3533,0.1151
1512072788647,231082,226462,0.9418,-0.3553,0.1131
1512072788667,231123,226477,0.9388,-0.3543,0.1111
1512072788687,231226,226508,0.9358,-0.3563,0.1121
1512072788707,231222,226523,0.9348,-0.3603,0.1131
1512072788727,231275,226528,0.9388,-0.3593,0.1151
1512072788747,231325,226554,0.9388,-0.3643,0.1111
1512072788767,231274,226550,0.9328,-0.3643,0.1121
1512072788787,231121,226467,0.9288,-0.3663,0.1121
1512072788807,231046,226429,0.9338,-0.3623,0.1141
1512072788827,231031,226441,0.9348,-0.3593,0.1121
1512072788848,231163,226535,0.9378,-0.3563,0.1081
1512072788867,231126,226482,0.9398,-0.3543,0.1091
1512072789027,231534,226620,0.9378,-0.3573,0.1071
1512072789049,231579,226703,0.9398,-0.3593,0.1101
1512072789068,231633,226682,0.9438,-0.3573,0.1071
1512072789088,231625,226691,0.9438,-0.3543,0.1091
1512072789109,231669,226749,0.9398,-0.3543,0.1141
1512072789128,231733,226720,0.9428,-0.3573,0.1131
1512072789148,231765,226698,0.9438,-0.3573,0.1121
1512072789168,231767,226708,0.9408,-0.3533,0.1151
1512072789188,231827,226745,0.9378,-0.3553,0.1121
1512072789208,231852,226736,0.9388,-0.3533,0.1101
1512072789228,231900,226779,0.9278,-0.3533,0.1131
1512072789248,231971,226771,0.9328,-0.3503,0.1171
1512072789268,232030,226784,0.9358,-0.3483,0.1151
