"TIME","IR","RED","X","Y","Z"
1512073701574,235168,228038,0.8387,-0.2392,0.0801
1512073701594,235209,228032,0.8667,-0.2402,0.0711
1512073701614,235302,228075,0.8867,-0.2412,0.061
1512073701633,235374,228017,0.9087,-0.2482,0.056
1512073701653,235390,228023,0.9238,-0.2572,0.0631
1512073701674,235334,228118,0.9207,-0.2612,0.0761
1512073701694,235414,228088,0.9077,-0.2762,0.0841
1512073701714,235508,228093,0.8897,-0.2922,0.0951
1512073701734,235512,228155,0.8867,-0.2992,0.1061
1512073701755,235618,228215,0.9127,-0.2992,0.1141
1512073701775,235620,228234,0.9448,-0.3103,0.1181
1512073701794,235730,228169,0.9668,-0.3203,0.1181
1512073701814,235680,228126,0.9748,-0.3343,0.1171
1512073701835,235687,228270,0.9668,-0.3413,0.1281
1512073701855,235740,228253,0.9167,-0.3463,0.1451
1512073701875,235729,228271,0.9087,-0.3383,0.1251
1512073701894,235784,228175,1.0348,-0.3153,0.1331
1512073701914,235836,228211,1.1509,-0.3113,0.1541
1512073701935,235754,228210,1.1469,-0.3503,0.1241
1512073701954,235715,228130,1.0348,-0.3913,0.1061
1512073701975,235500,228071,0.9428,-0.3813,0.1301
1512073701995,235262,227951,0.9438,-0.3433,0.1761
1512073702014,235089,227882,1.0118,-0.3243,0.2092
1512073702034,235038,227832,1.0669,-0.3583,0.2002
1512073702054,235001,227922,1.0398,-0.4173,0.1641
1512073702075,235064,227954,0.9728,-0.4424,0.1561
1512073702094,235203,227945,0.9238,-0.4344,0.1671
1512073702115,235218,228016,0.9057,-0.4163,0.1882
1512073702134,235272,227960,0.9217,-0.4113,0.1872
1512073702156,235352,228044,0.9488,-0.4314,0.1701
1512073702175,235314,227967,0.9748,-0.4634,0.1481
1512073702195,235220,227950,0.9868,-0.4784,0.1381
1512073702215,235290,227915,0.9738,-0.4834,0.1441
1512073702236,235259,228024,0.9448,-0.4864,0.1521
1512073702256,235232,228024,0.9187,-0.4864,0.1511
1512073702275,235384,227958,0.9187,-0.4874,0.1451
1512073702296,235294,228022,0.9187,-0.4874,0.1451
1512073702316,235303,227978,0.9288,-0.4824,0.1391
1512073702336,235318,228019,0.9468,-0.4704,0.1301
1512073702356,235311,228019,0.9608,-0.4484,0.1331
1512073702376,235350,227985,0.9658,-0.4334,0.1301
1512073702396,235362,227992,0.9658,-0.4163,0.1331
1512073702416,235409,228036,0.9538,-0.4073,0.1391
1512073702436,235446,228080,0.9728,-0.3953,0.1331
1512073702455,235529,227949,1.0358,-0.3713,0.1291
1512073702475,235558,227993,1.1409,-0.3533,0.1341
1512073702496,235537,228054,1.1119,-0.3613,0.1481
1512073702516,235480,227996,0.9608,-0.3803,0.1331
1512073702536,235576,228004,0.8487,-0.3743,0.1101
1512073702555,235681,228007,0.8807,-0.3353,0.1201
