IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
238582.0,234085.0,0.7546,-0.5805,0.3103,65.1363445043724,11.301417930273395,99.8224589864192,0.9416666666666667
238608.0,234151.0,0.7536,-0.5805,0.3093,70.75377344369687,16.987564746483294,99.58295174839793,
238655.0,234160.0,0.7596,-0.5855,0.3083,64.55021883258013,16.475473345367096,99.88758750544264,
238708.0,234169.0,0.7596,-0.5875,0.3133,65.49128737262569,16.921100264112937,99.89986616401309,
238784.0,234139.0,0.7606,-0.5905,0.3143,61.064534248062024,14.133326670720374,99.42947970666856,
238802.0,234165.0,0.7596,-0.5895,0.3123,66.62874306730414,13.771056339554127,98.65800481817944,
238842.0,234242.0,0.7606,-0.5925,0.3113,66.65109112805968,14.534325170581145,99.31838587773547,
239049.0,234236.0,0.7596,-0.5945,0.3103,66.27872833111603,12.33103795348612,99.78677993416446,
239080.0,234281.0,0.7626,-0.5935,0.3103,67.81216060097944,13.847453868799127,99.1363424540079,
239125.0,234211.0,0.7616,-0.5905,0.3083,70.55489973000417,11.468603844053275,96.05345352182623,
239142.0,234237.0,0.7586,-0.5885,0.3083,70.9737813869637,14.363692591693692,99.70942608097747,
239154.0,234284.0,0.7596,-0.5895,0.3143,67.88005264415708,15.58097375082599,99.83982704686102,
239149.0,234281.0,0.7606,-0.5845,0.3133,70.35452390324181,17.128672306962777,99.84216439374387,
239249.0,234389.0,0.7596,-0.5845,0.3083,72.40793374600818,,99.79876203363617,
239322.0,234401.0,0.7606,-0.5885,0.3083,68.11241994867274,,99.43611112940091,
239381.0,234333.0,0.7566,-0.5935,0.3113,69.78518192656767,,99.14567236837418,
239387.0,234323.0,0.7556,-0.5905,0.3083,68.51256872118047,,99.65995581336152,
239452.0,234355.0,0.7576,-0.5905,0.3103,69.77978290513968,,96.4475196447142,
239501.0,234386.0,0.7596,-0.5925,0.3103,67.37834664643407,,99.44362323074536,
239531.0,234384.0,0.7566,-0.5885,0.3103,67.880104361972,,99.88856381945749,
239606.0,234438.0,0.7596,-0.5905,0.3133,68.58582171196505,,99.87266932702609,
239619.0,234442.0,0.7606,-0.5865,0.3123,71.88757388789698,,99.16298101538052,
239667.0,234487.0,0.7546,-0.5895,0.3163,72.42082917877795,,99.55429824523121,
239772.0,234513.0,0.7576,-0.5895,0.3123,66.73314051141438,,99.75123068930183,
239804.0,234573.0,0.7606,-0.5935,0.3072,63.75409743918591,,99.5713220032665,
239734.0,234520.0,0.7616,-0.5905,0.3083,66.25077432973025,,99.7202381517589,
239828.0,234600.0,0.7606,-0.5895,0.3052,66.40987184639371,,99.53580909651868,
239891.0,234546.0,0.7616,-0.5865,0.3032,64.20202816872767,,99.70445272605845,
239947.0,234594.0,0.7596,-0.5875,0.3093,65.36148723834387,,99.7156227246233,
240032.0,234655.0,0.7596,-0.5865,0.3072,66.07834589496414,,99.53833852225495,
240074.0,234589.0,0.7546,-0.5905,0.3083,64.90542190022222,,99.73497761731431,
240082.0,234666.0,0.7516,-0.5915,0.3103,66.96020131276187,,99.73897737112843,
240023.0,234615.0,0.7536,-0.5875,0.3093,68.86265701322289,,99.670952980335,
240060.0,234595.0,0.7586,-0.5855,0.3093,61.546724521655605,,99.95267247571554,
239877.0,234429.0,0.7596,-0.5875,0.3032,64.66146810971748,,99.10616546031497,
239386.0,234302.0,0.7566,-0.5895,0.3083,64.70040294867576,,99.85442296468644,
239154.0,234297.0,0.7546,-0.5865,0.3103,66.81632738418504,,99.77787504158559,
238972.0,234168.0,0.7566,-0.5915,0.3103,64.43055887644724,,99.53512183174263,
238949.0,234127.0,0.7576,-0.5965,0.3133,65.56491929950607,,99.10931530862975,
239021.0,234202.0,0.7616,-0.5945,0.3123,66.11867025761967,,99.87381242967349,
239040.0,234203.0,0.7626,-0.5915,0.3133,68.45937637822962,,99.75918208967461,
239132.0,234242.0,0.7636,-0.5855,0.3143,72.15227638519276,,99.16203974637502,
239080.0,234253.0,0.7636,-0.5765,0.3103,66.69057317753098,,99.5610457808595,
239074.0,234257.0,0.7606,-0.5795,0.3052,64.78698775909427,,99.65403200544529,
239077.0,234274.0,0.7556,-0.5795,0.3042,66.9365629861136,,99.79201086353952,
239071.0,234334.0,0.7586,-0.5795,0.3103,67.46135966337411,,99.4208663739833,
239171.0,234205.0,0.7586,-0.5845,0.3093,69.14075102849603,,99.78027273593871,
239124.0,234346.0,0.7596,-0.5945,0.3103,66.13600815962425,,99.86087669014205,
239134.0,234349.0,0.7586,-0.5965,0.3103,66.3386329280328,,99.77078009854671,
239202.0,234246.0,0.7566,-0.5925,0.3062,69.13392273225178,,99.65527037503422,
239260.0,234298.0,0.7576,-0.5885,0.3133,68.8216756741217,,99.77704011425436,
239325.0,234278.0,0.7616,-0.5925,0.3123,68.30106941299562,,99.4982915129576,
239287.0,234358.0,0.7606,-0.5935,0.3103,69.3182363823095,,99.30488723624647,
239318.0,234356.0,0.7606,-0.5895,0.3113,68.51887374757644,,99.56615043277719,
239407.0,234375.0,0.7576,-0.5925,0.3103,69.25067567944309,,99.82385277980116,
239511.0,234475.0,0.7586,-0.5895,0.3103,72.65147925530405,,97.54687574895333,
239561.0,234428.0,0.7586,-0.5875,0.3062,69.50105163918208,,99.56160164473698,
239551.0,234450.0,0.7566,-0.5865,0.3052,65.62943864502523,,99.6925056393095,
239672.0,234551.0,0.7606,-0.5825,0.3103,64.23573868040992,,99.6865915307436,
