IR,RED,X,Y,Z,Heart Rate,Respiration Rate,SPO2,Classifier Error Rate
235168.0,228038.0,0.8387,-0.2392,0.0801,78.45317957535666,16.85675915392577,97.97443593190343,0.0016666666666667052
235209.0,228032.0,0.8667,-0.2402,0.0711,79.7878558375631,15.032257144101967,98.46189206830661,
235302.0,228075.0,0.8867,-0.2412,0.061,73.84382455334858,12.68881715790014,99.75772177494734,
235374.0,228017.0,0.9087,-0.2482,0.056,77.57556342028654,13.405113939099772,95.98452042576291,
235390.0,228023.0,0.9238,-0.2572,0.0631,78.54340932911406,16.492708539690586,97.16354442010142,
235334.0,228118.0,0.9207,-0.2612,0.0761,79.28016413561473,19.112187262034894,99.11816521231697,
235414.0,228088.0,0.9077,-0.2762,0.0841,76.5308352958609,12.860991930414148,98.04533242141522,
235508.0,228093.0,0.8897,-0.2922,0.0951,74.19888151717704,12.697079546583229,96.54258654926655,
235512.0,228155.0,0.8867,-0.2992,0.1061,75.6640965833387,15.951541958046349,97.83252367885228,
235618.0,228215.0,0.9127,-0.2992,0.1141,75.4434105393771,16.029789207147367,99.05169505189646,
235620.0,228234.0,0.9448,-0.3103,0.1181,78.93659994069455,17.281725997950097,98.26360095179099,
235730.0,228169.0,0.9668,-0.3203,0.1181,77.03853268740212,13.139249973879345,98.34469507031866,
235680.0,228126.0,0.9748,-0.3343,0.1171,75.03300279261967,13.437926958953387,99.21333365420088,
235687.0,228270.0,0.9668,-0.3413,0.1281,75.33971111977495,11.590780706059,98.33142089598718,
235740.0,228253.0,0.9167,-0.3463,0.1451,77.22365062470149,,95.89905325711494,
235729.0,228271.0,0.9087,-0.3383,0.1251,77.51911665842549,,98.94440981315648,
235784.0,228175.0,1.0348,-0.3153,0.1331,77.95042260334422,,99.54371008737249,
235836.0,228211.0,1.1509,-0.3113,0.1541,79.63389247388885,,97.56809556651119,
235754.0,228210.0,1.1469,-0.3503,0.1241,78.97651741061526,,97.49187551547834,
235715.0,228130.0,1.0348,-0.3913,0.1061,71.03027617477316,,98.97297081666979,
235500.0,228071.0,0.9428,-0.3813,0.1301,80.18193195160612,,99.79560344541373,
235262.0,227951.0,0.9438,-0.3433,0.1761,78.5783601393618,,98.28302204503515,
235089.0,227882.0,1.0118,-0.3243,0.2092,74.0774382215708,,98.71221844020454,
235038.0,227832.0,1.0669,-0.3583,0.2002,75.57559658870342,,99.59578781046348,
235001.0,227922.0,1.0398,-0.4173,0.1641,77.24348795326755,,97.29399449170424,
235064.0,227954.0,0.9728,-0.4424,0.1561,72.41717002377754,,97.63471084245506,
235203.0,227945.0,0.9238,-0.4344,0.1671,69.31793447304366,,98.81868550019504,
235218.0,228016.0,0.9057,-0.4163,0.1882,76.2870155732469,,96.50695525957074,
235272.0,227960.0,0.9217,-0.4113,0.1872,72.40932570511512,,99.74014196570083,
235352.0,228044.0,0.9488,-0.4314,0.1701,78.70150362944715,,98.76628540868997,
235314.0,227967.0,0.9748,-0.4634,0.1481,77.30088217596776,,98.00499173010031,
235220.0,227950.0,0.9868,-0.4784,0.1381,69.55411984594221,,98.00857538184283,
235290.0,227915.0,0.9738,-0.4834,0.1441,70.30686907773209,,98.21184529207855,
235259.0,228024.0,0.9448,-0.4864,0.1521,69.63704625796176,,97.50204272056072,
235232.0,228024.0,0.9187,-0.4864,0.1511,72.98059335516298,,97.45314375433705,
235384.0,227958.0,0.9187,-0.4874,0.1451,74.66887664152198,,95.86127425666486,
235294.0,228022.0,0.9187,-0.4874,0.1451,77.42580577446464,,95.23848713581069,
235303.0,227978.0,0.9288,-0.4824,0.1391,75.88608866970159,,99.74846058842954,
235318.0,228019.0,0.9468,-0.4704,0.1301,76.59898497638422,,99.58062398856507,
235311.0,228019.0,0.9608,-0.4484,0.1331,71.9794526765829,,93.86069836901126,
235350.0,227985.0,0.9658,-0.4334,0.1301,73.56016657945851,,99.56316819489042,
235362.0,227992.0,0.9658,-0.4163,0.1331,75.28934667989203,,96.60938431389204,
235409.0,228036.0,0.9538,-0.4073,0.1391,75.26062800979705,,97.48142191123928,
235446.0,228080.0,0.9728,-0.3953,0.1331,75.8787013981529,,99.85376534905755,
235529.0,227949.0,1.0358,-0.3713,0.1291,78.52797773457925,,99.60197489587117,
235558.0,227993.0,1.1409,-0.3533,0.1341,70.79453685922164,,95.95913693143156,
235537.0,228054.0,1.1119,-0.3613,0.1481,73.80943805728518,,98.91848986684072,
235480.0,227996.0,0.9608,-0.3803,0.1331,75.2886865424767,,99.2905096980773,
235576.0,228004.0,0.8487,-0.3743,0.1101,77.0280941919273,,98.31106958914671,
235681.0,228007.0,0.8807,-0.3353,0.1201,74.40706711433754,,97.93497978929572,
235280.0,227931.0,0.9858,-0.2612,0.0841,72.73034476964033,,95.71956875288649,
235016.0,227814.0,0.9648,-0.2742,0.0681,78.57508876447747,,94.8720178228819,
234846.0,227741.0,0.9388,-0.2762,0.059,76.25370034130825,,97.36454654072024,
234832.0,227764.0,0.9087,-0.2572,0.0691,73.4560766205686,,96.32502685007275,
235002.0,227809.0,0.8857,-0.2462,0.0831,76.93863505047149,,98.91935736596504,
235148.0,227890.0,0.8737,-0.2342,0.0981,80.4530097075543,,98.00136106843098,
235231.0,227986.0,0.8727,-0.2282,0.1021,77.35461116017666,,97.88504270107165,
235322.0,227912.0,0.8657,-0.2282,0.1061,72.85568607813607,,95.38598756799891,
235275.0,227973.0,0.8627,-0.2352,0.0991,78.64142208242376,,99.81339720087624,
235304.0,228010.0,0.8767,-0.2412,0.0961,74.03881894354151,,99.4882313222363,
