"TIME","IR","RED","X","Y","Z"
1511230040026,228165,215652,-0.1601,-0.7986,-0.5825
1511230040046,228149,215721,-0.1571,-0.7946,-0.5835
1511230040066,228133,215675,-0.1591,-0.7876,-0.5735
1511230040085,228084,215584,-0.1601,-0.7856,-0.5725
1511230040105,228090,215610,-0.1581,-0.7876,-0.5735
1511230040126,228109,215694,-0.1591,-0.7896,-0.5725
1511230040146,228138,215697,-0.1551,-0.7926,-0.5765
1511230040166,228140,215621,-0.1501,-0.7906,-0.5765
1511230040186,228196,215688,-0.1521,-0.7896,-0.5755
1511230040207,228301,215731,-0.1561,-0.7896,-0.5755
1511230040226,228305,215730,-0.1561,-0.7806,-0.5725
1511230040246,228344,215708,-0.1501,-0.7796,-0.5755
1511230040266,228394,215668,-0.1551,-0.7846,-0.5735
1511230040286,228399,215803,-0.1521,-0.7876,-0.5765
1511230040306,228436,215706,-0.1471,-0.7836,-0.5725
1511230040326,228449,215756,-0.1541,-0.7846,-0.5765
1511230040347,228442,215759,-0.1531,-0.7956,-0.5765
1511230040367,228409,215789,-0.1521,-0.7956,-0.5795
1511230040386,228440,215703,-0.1531,-0.7936,-0.5765
1511230040406,228434,215749,-0.1551,-0.7916,-0.5775
1511230040427,228465,215815,-0.1611,-0.7876,-0.5765
1511230040446,228505,215731,-0.1621,-0.7866,-0.5725
1511230040467,228503,215722,-0.1551,-0.7906,-0.5765
1511230040486,228363,215616,-0.1531,-0.7936,-0.5815
1511230040506,228167,215551,-0.1551,-0.7916,-0.5825
1511230040527,228012,215574,-0.1591,-0.7896,-0.5835
1511230040546,227958,215504,-0.1611,-0.7886,-0.5805
1511230040567,227929,215549,-0.1601,-0.7876,-0.5785
1511230040587,227965,215548,-0.1621,-0.7846,-0.5805
1511230040606,227947,215502,-0.1601,-0.7896,-0.5795
1511230040627,227909,215510,-0.1561,-0.7906,-0.5795
1511230040647,228003,215564,-0.1561,-0.7846,-0.5765
1511230040667,227955,215525,-0.1591,-0.7786,-0.5725
1511230040687,228048,215588,-0.1531,-0.7806,-0.5785
1511230040708,228115,215610,-0.1541,-0.7876,-0.5795
1511230040727,228094,215602,-0.1591,-0.7886,-0.5795
1511230040747,228100,215529,-0.1591,-0.7876,-0.5785
1511230040768,228058,215601,-0.1581,-0.7846,-0.5745
1511230040787,228021,215548,-0.1541,-0.7826,-0.5775
1511230040807,228026,215461,-0.1571,-0.7856,-0.5775
1511230040827,227983,215509,-0.1551,-0.7856,-0.5745
1511230040847,228025,215491,-0.1541,-0.7786,-0.5725
1511230040867,227997,215521,-0.1531,-0.7806,-0.5755
1511230040888,228076,215569,-0.1541,-0.7876,-0.5755
1511230040908,228086,215597,-0.1541,-0.7916,-0.5785
1511230040927,228154,215586,-0.1561,-0.7916,-0.5795
1511230040947,228169,215524,-0.1581,-0.7876,-0.5795
1511230040968,228136,215675,-0.1571,-0.7846,-0.5745
1511230040987,228233,215575,-0.1591,-0.7836,-0.5765
1511230041008,228251,215621,-0.1571,-0.7816,-0.5795
1511230041148,228305,215626,-0.1541,-0.7866,-0.5705
1511230041168,228292,215618,-0.1551,-0.7836,-0.5685
1511230041188,228356,215716,-0.1551,-0.7816,-0.5745
1511230041208,228369,215653,-0.1531,-0.7826,-0.5765
1511230041228,228332,215664,-0.1531,-0.7876,-0.5845
1511230041248,228191,215507,-0.1521,-0.7876,-0.5855
1511230041268,228037,215543,-0.1531,-0.7896,-0.5815
1511230041288,227897,215432,-0.1541,-0.7886,-0.5815
1511230041309,227870,215482,-0.1601,-0.7856,-0.5805
1511230041328,227844,215458,-0.1591,-0.7856,-0.5815
1511230041348,227860,215379,-0.1571,-0.7896,-0.5835
1511230041368,227829,215396,-0.1511,-0.7916,-0.5855
1511230041388,227915,215404,-0.1461,-0.7846,-0.5815
1511230041409,227909,215545,-0.1511,-0.7836,-0.5765
1511230041428,227902,215435,-0.1581,-0.7836,-0.5755
1511230041448,228020,215465,-0.1561,-0.7866,-0.5775
1511230041468,227964,215459,-0.1541,-0.7846,-0.5715
1511230041489,228034,215565,-0.1551,-0.7856,-0.5715
