"TIME","IR","RED","X","Y","Z"
1511231499409,234322,218496,-0.006,-0.8167,-0.5605
1511231499429,234373,218463,-0.006,-0.8157,-0.5625
1511231499450,234403,218514,-0.006,-0.8157,-0.5625
1511231499470,234316,218510,-0.005,-0.8137,-0.5625
1511231499489,234334,218485,-0.008,-0.8157,-0.5625
1511231499510,234356,218471,-0.008,-0.8177,-0.5615
1511231499530,234407,218591,-0.01,-0.8197,-0.5615
1511231499549,234454,218501,-0.009,-0.8207,-0.5605
1511231499569,234384,218463,-0.011,-0.8177,-0.5625
1511231499590,234392,218591,-0.01,-0.8187,-0.5645
1511231499609,234453,218523,-0.009,-0.8167,-0.5595
1511231499630,234450,218569,-0.008,-0.8167,-0.5605
1511231499650,234369,218501,-0.008,-0.8167,-0.5635
1511231499669,234529,218556,-0.005,-0.8157,-0.5615
1511231499689,234542,218489,-0.005,-0.8157,-0.5615
1511231499710,234499,218538,-0.006,-0.8177,-0.5715
1511231499730,234529,218551,-0.007,-0.8127,-0.5675
1511231499750,234556,218492,-0.007,-0.8167,-0.5635
1511231499770,234512,218506,-0.007,-0.8167,-0.5635
1511231499790,234539,218631,-0.006,-0.8237,-0.5655
1511231499810,234581,218544,-0.005,-0.8187,-0.5705
1511231499830,234574,218497,-0.006,-0.8167,-0.5645
1511231499851,234433,218517,-0.009,-0.8167,-0.5635
1511231499870,234249,218437,-0.012,-0.8197,-0.5645
1511231499890,234232,218419,-0.009,-0.8147,-0.5625
1511231499910,234133,218411,-0.009,-0.8167,-0.5605
1511231499930,234188,218410,-0.007,-0.8157,-0.5625
1511231499950,234307,218430,-0.008,-0.8187,-0.5585
1511231499970,234292,218411,-0.007,-0.8177,-0.5605
1511231499991,234200,218515,-0.008,-0.8147,-0.5635
1511231500010,234242,218418,-0.01,-0.8167,-0.5575
1511231500030,234299,218410,-0.01,-0.8147,-0.5605
1511231500051,234322,218502,-0.009,-0.8207,-0.5615
1511231500070,234291,218426,-0.004,-0.8187,-0.5715
1511231500090,234339,218410,-0.008,-0.8207,-0.5655
1511231500110,234374,218414,-0.01,-0.8217,-0.5625
1511231500130,234314,218442,-0.009,-0.8257,-0.5595
1511231500150,234366,218393,-0.007,-0.8237,-0.5585
1511231500170,234393,218400,-0.008,-0.8177,-0.5625
1511231500191,234299,218416,-0.008,-0.8147,-0.5645
1511231500211,234237,218412,-0.007,-0.8167,-0.5635
1511231500231,234270,218428,-0.008,-0.8157,-0.5625
1511231500251,234294,218442,-0.008,-0.8177,-0.5615
1511231500271,234293,218441,-0.012,-0.8137,-0.5645
1511231500291,234286,218437,-0.009,-0.8167,-0.5645
1511231500311,234343,218445,-0.003,-0.8167,-0.5585
1511231500331,234320,218457,-0.006,-0.8167,-0.5585
1511231500351,234346,218456,-0.008,-0.8177,-0.5625
1511231500371,234390,218460,-0.008,-0.8177,-0.5605
1511231500391,234375,218448,-0.007,-0.8157,-0.5645
1511231500552,234224,218407,-0.01,-0.8147,-0.5595
1511231500571,234271,218362,-0.007,-0.8137,-0.5615
1511231500592,234119,218345,-0.007,-0.8187,-0.5635
1511231500612,234137,218325,-0.009,-0.8187,-0.5645
1511231500632,234050,218356,-0.008,-0.8167,-0.5595
1511231500652,234123,218429,-0.007,-0.8197,-0.5595
1511231500672,234079,218364,-0.009,-0.8147,-0.5645
1511231500692,234121,218382,-0.007,-0.8137,-0.5625
1511231500712,234134,218364,-0.004,-0.8167,-0.5655
1511231500731,234246,218392,-0.004,-0.8157,-0.5565
1511231500753,234204,218416,-0.003,-0.8147,-0.5585
1511231500772,234209,218337,-0.004,-0.8147,-0.5585
1511231500793,234184,218361,-0.004,-0.8107,-0.5635
