"TIME","IR","RED","X","Y","Z"
1511232455379,228235,209164,-0.004,-0.8517,-0.5144
1511232455398,228276,209169,-0.002,-0.8507,-0.5144
1511232455418,228307,209181,-0.008,-0.8457,-0.5154
1511232455438,228390,209182,-0.012,-0.8357,-0.5134
1511232455458,228399,209216,-0.007,-0.8517,-0.5114
1511232455479,228430,209292,-0.01,-0.8507,-0.5114
1511232455499,228450,209329,-0.009,-0.8547,-0.5154
1511232455518,228440,209220,-0.006,-0.8507,-0.5144
1511232455539,228425,209304,-0.004,-0.8457,-0.5094
1511232455559,228484,209330,-0.004,-0.8467,-0.5154
1511232455578,228477,209257,-0.004,-0.8567,-0.5094
1511232455599,228470,209316,-0.002,-0.8587,-0.5134
1511232455619,228500,209261,-0.002,-0.8557,-0.5134
1511232455639,228452,209276,-0.002,-0.8507,-0.5104
1511232455659,228461,209294,-0.003,-0.8507,-0.5044
1511232455678,228487,209237,-0.005,-0.8517,-0.5084
1511232455699,228528,209287,-0.004,-0.8547,-0.5074
1511232455719,228569,209230,-0.006,-0.8607,-0.5064
1511232455740,228595,209356,-0.004,-0.8627,-0.5054
1511232455759,228609,209354,-0.003,-0.8637,-0.5054
1511232455779,228646,209307,-0.003,-0.8617,-0.5094
1511232455799,228619,209313,-0.005,-0.8537,-0.5054
1511232455819,228534,209258,-0.007,-0.8427,-0.5024
1511232455840,228410,209227,-0.006,-0.8457,-0.5074
1511232455860,228191,209168,-0.006,-0.8467,-0.5054
1511232455879,228121,209096,-0.01,-0.8497,-0.5084
1511232455900,228082,209097,-0.009,-0.8497,-0.5144
1511232455919,228096,209129,-0.006,-0.8457,-0.5064
1511232455940,228167,209152,-0.006,-0.8487,-0.5084
1511232455959,228173,209087,-0.004,-0.8527,-0.5064
1511232455979,228223,209114,-0.004,-0.8527,-0.5064
1511232456000,228224,209169,-0.003,-0.8547,-0.5024
1511232456019,228253,209105,-0.001,-0.8537,-0.5014
1511232456039,228288,209167,-0.004,-0.8507,-0.4994
1511232456059,228304,209149,-0.006,-0.8537,-0.5064
1511232456080,228350,209200,-0.007,-0.8507,-0.5044
1511232456100,228383,209155,-0.006,-0.8497,-0.5044
1511232456120,228364,209269,-0.006,-0.8497,-0.5044
1511232456139,228383,209171,-0.009,-0.8457,-0.5014
1511232456160,228367,209244,-0.004,-0.8437,-0.5044
1511232456180,228376,209222,-0.012,-0.8467,-0.5054
1511232456200,228380,209210,-0.009,-0.8507,-0.5114
1511232456220,228394,209201,-0.006,-0.8547,-0.5084
1511232456240,228413,209205,-0.005,-0.8497,-0.5084
1511232456260,228421,209261,-0.003,-0.8447,-0.5084
1511232456280,228483,209295,0,-0.8397,-0.5114
1511232456300,228483,209219,0,-0.8437,-0.5114
