"TIME","IR","RED","X","Y","Z"
1511234188004,220563,208934,0.9618,-0.2782,0.1531
1511234188024,220562,208885,0.9628,-0.2782,0.1531
1511234188044,220631,208940,0.9648,-0.2812,0.1531
1511234188064,220677,208868,0.9668,-0.2812,0.1491
1511234188084,220667,208898,0.9658,-0.2822,0.1491
1511234188105,220677,208946,0.9638,-0.2832,0.1531
1511234188124,220537,208879,0.9598,-0.2822,0.1481
1511234188144,220629,208854,0.9598,-0.2782,0.1491
1511234188165,220526,208897,0.9578,-0.2792,0.1481
1511234188184,220670,208861,0.9588,-0.2832,0.1491
1511234188204,220561,208865,0.9598,-0.2852,0.1491
1511234188224,220677,208829,0.9618,-0.2912,0.1511
1511234188244,220634,208895,0.9648,-0.2882,0.1511
1511234188265,220613,208936,0.9668,-0.2892,0.1521
1511234188285,220644,208901,0.9658,-0.2862,0.1491
1511234188305,220725,208940,0.9588,-0.2862,0.1551
1511234188325,220805,209003,0.9548,-0.2882,0.1521
1511234188344,220751,208918,0.9558,-0.2862,0.1591
1511234188365,220718,208938,0.9568,-0.2862,0.1561
1511234188385,220832,209024,0.9548,-0.2812,0.1581
1511234188405,220842,209039,0.9598,-0.2782,0.1581
1511234188425,220862,208938,0.9678,-0.2772,0.1551
1511234188445,220779,208948,0.9698,-0.2752,0.1561
1511234188465,220671,208872,0.9658,-0.2782,0.1521
1511234188485,220594,208833,0.9628,-0.2802,0.1521
1511234188505,220456,208868,0.9608,-0.2742,0.1531
1511234188525,220473,208899,0.9588,-0.2742,0.1461
1511234188545,220507,208862,0.9588,-0.2832,0.1491
1511234188565,220378,208847,0.9558,-0.2852,0.1511
1511234188585,220424,208855,0.9568,-0.2902,0.1531
1511234188605,220510,208896,0.9588,-0.2892,0.1501
1511234188625,220541,208874,0.9648,-0.2832,0.1491
1511234188646,220590,209000,0.9658,-0.2792,0.1541
1511234188665,220656,208932,0.9628,-0.2762,0.1511
1511234188686,220614,208999,0.9598,-0.2752,0.1521
1511234188705,220611,208888,0.9578,-0.2772,0.1521
1511234188726,220546,208910,0.9578,-0.2802,0.1521
1511234188745,220526,208891,0.9608,-0.2782,0.1551
1511234188765,220548,208864,0.9608,-0.2792,0.1531
1511234188786,220515,208963,0.9598,-0.2802,0.1511
1511234188805,220573,208868,0.9588,-0.2782,0.1521
1511234188825,220584,208864,0.9618,-0.2852,0.1541
1511234188845,220613,208918,0.9608,-0.2842,0.1521
1511234188865,220607,208933,0.9618,-0.2832,0.1511
1511234188886,220575,208951,0.9628,-0.2822,0.1491
1511234188906,220618,208941,0.9628,-0.2852,0.1441
1511234188926,220692,209018,0.9608,-0.2902,0.1471
1511234188945,220725,208951,0.9598,-0.2852,0.1471
1511234188966,220732,208973,0.9648,-0.2762,0.1471
1511234188986,220655,208948,0.9638,-0.2762,0.1471
1511234189127,220415,208966,0.9678,-0.2732,0.1461
1511234189146,220374,208890,0.9668,-0.2722,0.1531
1511234189166,220299,208856,0.9648,-0.2712,0.1541
1511234189186,220334,208886,0.9598,-0.2732,0.1541
1511234189206,220303,208849,0.9598,-0.2792,0.1551
1511234189227,220450,208953,0.9568,-0.2832,0.1571
1511234189247,220442,208994,0.9578,-0.2842,0.1641
1511234189267,220461,208988,0.9608,-0.2812,0.1571
1511234189287,220480,209014,0.9658,-0.2792,0.1591
1511234189307,220465,208925,0.9668,-0.2792,0.1561
1511234189326,220561,208929,0.9668,-0.2742,0.1511
1511234189346,220512,208915,0.9608,-0.2732,0.1541
1511234189367,220520,209023,0.9578,-0.2692,0.1521
1511234189387,220434,208924,0.9608,-0.2732,0.1541
1511234189407,220460,208939,0.9598,-0.2742,0.1581
1511234189426,220479,208880,0.9618,-0.2752,0.1561
1511234189446,220502,208957,0.9728,-0.2792,0.1581
1511234189467,220476,208993,0.9788,-0.2822,0.1681
1511234189487,220450,208933,0.9688,-0.2812,0.1621
1511234189508,220539,209014,0.9558,-0.2762,0.1571
1511234189528,220566,209049,0.9558,-0.2652,0.1541
1511234189548,220602,209048,0.9648,-0.2552,0.1561
1511234189567,220617,209031,0.9588,-0.2662,0.1571
1511234189587,220619,209008,0.9508,-0.2922,0.1481
1511234189607,220597,208985,0.9398,-0.2962,0.1501
1511234189628,220659,209109,0.9518,-0.2862,0.1571
1511234189648,220696,209072,0.9668,-0.2742,0.1541
1511234189668,220654,209096,0.9708,-0.2702,0.1421
1511234189688,220690,209082,0.9768,-0.2642,0.1421
1511234189707,220742,209019,0.9708,-0.2622,0.1451
1511234189728,220734,209122,0.9678,-0.2692,0.1451
1511234189748,220687,209011,0.9658,-0.2722,0.1501
1511234189767,220570,208968,0.9598,-0.2712,0.1541
1511234189787,220542,208922,0.9498,-0.2722,0.1601
1511234189807,220447,208963,0.9478,-0.2742,0.1561
1511234189828,220423,208995,0.9478,-0.2732,0.1481
1511234189848,220374,209025,0.9538,-0.2702,0.1541
1511234189868,220366,208948,0.9518,-0.2732,0.1531
1511234189890,220372,208972,0.9548,-0.2792,0.1551
1511234189908,220391,209063,0.9568,-0.2842,0.1481
1511234189928,220475,209066,0.9588,-0.2802,0.1461
1511234189948,220490,208967,0.9658,-0.2772,0.1441
1511234189967,220608,209012,0.9688,-0.2682,0.1441
1511234189988,220545,209088,0.9668,-0.2672,0.1421
1511234190008,220553,208974,0.9658,-0.2692,0.1411
1511234190028,220439,208974,0.9628,-0.2682,0.1481
1511234190048,220451,208974,0.9608,-0.2712,0.1531
1511234190068,220443,208938,0.9628,-0.2732,0.1541
1511234190088,220409,208963,0.9588,-0.2692,0.1531
1511234190108,220456,208964,0.9578,-0.2692,0.1511
1511234190258,220519,209116,0.9748,-0.2712,0.1521
1511234190279,220585,209093,0.9708,-0.2742,0.1561
1511234190298,220565,209035,0.9628,-0.2692,0.1561
1511234190319,220616,209099,0.9578,-0.2682,0.1571
1511234190339,220623,209076,0.9538,-0.2632,0.1611
1511234190359,220579,209040,0.9578,-0.2642,0.1541
1511234190379,220634,209116,0.9638,-0.2682,0.1531
1511234190398,220599,208978,0.9668,-0.2742,0.1521
1511234190419,220454,209011,0.9658,-0.2772,0.1551
1511234190439,220389,209010,0.9608,-0.2772,0.1591
1511234190459,220316,208950,0.9588,-0.2732,0.1551
1511234190479,220321,208980,0.9618,-0.2722,0.1501
1511234190499,220331,209055,0.9578,-0.2672,0.1451
