"TIME","IR","RED","X","Y","Z"
1511235740433,227737,217649,0.8247,-0.6445,-0.2372
1511235740453,227777,217668,0.9288,-0.5084,-0.2262
1511235740474,227784,217650,1.0469,-0.4614,-0.2712
1511235740494,227806,217681,1.0669,-0.5104,-0.3573
1511235740514,227832,217694,1.0428,-0.5905,-0.4514
1511235740534,227783,217761,1.0078,-0.6105,-0.4804
1511235740554,227777,217708,0.9578,-0.5785,-0.4754
1511235740574,227674,217646,0.9167,-0.5464,-0.4714
1511235740594,227548,217612,0.8757,-0.5595,-0.4794
1511235740614,227524,217737,0.8137,-0.5645,-0.4704
1511235740634,227495,217704,0.7926,-0.5585,-0.5054
1511235740655,227517,217713,0.7436,-0.5334,-0.4904
1511235740674,227520,217696,0.7256,-0.5144,-0.4764
1511235740694,227578,217681,0.7216,-0.5114,-0.4864
1511235740715,227555,217725,0.7226,-0.5324,-0.4714
1511235740735,227594,217717,0.7236,-0.5394,-0.4634
1511235740755,227646,217726,0.7536,-0.5244,-0.4574
1511235740775,227694,217749,0.7866,-0.5024,-0.4324
1511235740794,227760,217685,0.8157,-0.4904,-0.4203
1511235740815,227811,217773,0.8317,-0.4994,-0.4003
1511235740834,227852,217755,0.8477,-0.4954,-0.3783
1511235740855,227815,217723,1.0078,-0.4824,-0.3923
1511235740875,227769,217679,1.239,-0.4944,-0.4173
1511235740895,227732,217742,1.3621,-0.5565,-0.4093
1511235740914,227706,217659,1.278,-0.6325,-0.3963
1511235740934,227707,217779,1.172,-0.6375,-0.3793
1511235740955,227767,217769,1.1259,-0.5975,-0.3343
1511235740974,227797,217680,1.1609,-0.5595,-0.2932
1511235740995,227813,217757,1.258,-0.5364,-0.3113
1511235741015,227827,217678,1.2961,-0.5304,-0.3233
1511235741034,227813,217684,1.247,-0.5114,-0.2992
1511235741055,227714,217635,1.1359,-0.4584,-0.2642
1511235741075,227610,217556,1.0378,-0.3563,-0.2132
1511235741095,227574,217574,0.9518,-0.2562,-0.1401
1511235741116,227579,217633,0.8617,-0.1821,-0.0711
1511235741135,227629,217655,0.7876,-0.1691,-0.057
1511235741155,227699,217608,0.7196,-0.1781,-0.057
1511235741175,227771,217637,0.6695,-0.1791,-0.0631
1511235741195,227822,217624,0.6515,-0.1621,-0.047
1511235741216,227888,217723,0.6545,-0.1621,-0.035
1511235741235,227947,217698,0.6715,-0.1741,-0.045
1511235741256,228001,217790,0.6966,-0.2142,-0.058
1511235741275,228025,217760,0.7026,-0.2762,-0.0791
1511235741296,228052,217829,0.7276,-0.3303,-0.1241
1511235741316,228037,217800,0.7666,-0.3953,-0.1701
1511235741335,228035,217771,0.8307,-0.4694,-0.2092
1511235741355,228009,217798,0.8647,-0.5284,-0.2112
1511235741375,228015,217782,0.9578,-0.5695,-0.2992
1511235741396,228018,217863,0.9898,-0.5915,-0.3173
1511235741415,228033,217806,0.9898,-0.6585,-0.2472
1511235741566,227707,217763,1.0128,-0.6125,-0.4664
1511235741586,227669,217779,0.9658,-0.6295,-0.5104
1511235741606,227710,217782,0.9258,-0.5975,-0.5474
1511235741625,227702,217752,0.8737,-0.5635,-0.5364
1511235741645,227844,217795,0.8307,-0.5645,-0.5304
1511235741666,227864,217798,0.8067,-0.5755,-0.5504
1511235741687,227963,217809,0.7846,-0.5835,-0.5575
1511235741706,227985,217803,0.7656,-0.5494,-0.5464
1511235741726,227888,217832,0.7796,-0.5004,-0.5234
1511235741746,227963,217823,0.7566,-0.4784,-0.4794
1511235741766,227979,217829,0.7236,-0.4754,-0.4464
1511235741787,228041,217937,0.6986,-0.4824,-0.4263
1511235741807,228153,217895,0.6996,-0.4764,-0.4233
1511235741827,228060,217888,0.7126,-0.4494,-0.4083
1511235741846,228106,217821,0.7466,-0.4163,-0.3943
1511235741866,228175,217813,0.7816,-0.3973,-0.3723
1511235741887,228102,217866,0.8137,-0.3943,-0.3833
1511235741906,228094,217827,0.9848,-0.4003,-0.4283
1511235741927,228133,217811,1.25,-0.4083,-0.4314
1511235741946,228132,217782,1.4662,-0.4724,-0.4474
1511235741966,228168,217893,1.3481,-0.5625,-0.4524
1511235741987,228096,217922,1.1439,-0.6225,-0.4344
1511235742006,228058,217878,1.0469,-0.5805,-0.4093
1511235742026,228004,217770,1.0458,-0.5044,-0.3113
1511235742047,227935,217848,1.1119,-0.4734,-0.2652
1511235742067,227910,217877,1.189,-0.5194,-0.3052
1511235742087,227930,217821,1.2,-0.5785,-0.3513
1511235742106,227945,217773,1.1669,-0.5675,-0.3283
1511235742128,227921,217769,1.1109,-0.4764,-0.2702
1511235742147,227942,217821,1.0018,-0.3513,-0.1771
1511235742167,227942,217677,1.0018,-0.3513,-0.1771
1511235742187,227997,217742,0.9147,-0.2492,-0.1351
1511235742207,228070,217680,0.7886,-0.2152,-0.02
1511235742227,228141,217722,0.7886,-0.2252,-0.06
